1931193
/m/06709h
/m/06709h
William Nicholson
2002
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
8 1
a 6
action 1
after 1
agrees 1
albard 2
all 2
allow 1
alone 1
along 2
also 1
amongst 1
and 17
annihilate 1
another 1
are 2
army 1
as 3
at 2
awaits 1
be 1
because 1
becomes 1
been 1
before 1
begins 1
best 1
betrothed 1
birthright 1
book 1
bowman 6
but 1
by 1
can 1
change 1
come 2
defeat 1
deliberating 1
descendant 1
destination 1
destined 1
destiny 1
destroy 1
die 1
displaced 1
due 1
eagerly 1
end 1
ending 1
ends 2
epilogue 1
especially 1
established 1
eventually 1
evil 2
fact 1
families 1
finally 1
finds 1
firesong 2
food 1
for 2
forms 1
fresh 1
friend 1
from 1
fulfilled 1
gang 2
give 2
go 1
great 4
guidance 1
hands 1
happy 1
has 3
hath 1
have 1
having 1
he 4
her 3
himself 1
his 2
home 1
homeland 4
however 1
humanity 1
in 6
ira 4
is 11
it 1
journey 1
jumper 2
kestrel 5
kindness 1
knowing 1
last 1
later 1
let 1
life 3
little 1
long 1
manth 7
manwoman 1
married 1
master 2
mastery 2
meeting 1
morah 2
mother 1
mumpo 1
must 2
new 2
no 1
now 2
of 13
once 1
one 4
only 1
other 1
over 1
people 10
personalities 1
picked 1
pinto 1
place 1
please 1
point 1
preparation 1
prepare 1
princess 1
prophecy 1
prophetess 1
reach 1
reaching 1
ready 1
real 1
revealed 1
ruined 1
ruins 1
rulers 1
sacrifice 1
save 1
seek 1
sees 1
set 1
she 2
singer 2
singers 1
singing 1
sirene 1
sisi 2
sister 1
some 1
spirit 1
start 1
strange 1
summons 1
take 1
teacher 1
teachings 1
that 2
the 38
their 2
them 1
they 2
this 2
throughout 1
to 9
too 2
tough 1
trained 2
travel 1
true 1
up 1
upon 1
various 1
very 1
vision 1
was 1
way 1
ways 1
weaker 1
well 1
what 1
which 1
who 4
will 2
with 5
world 2
years 1
young 1
zars 1
