534882
/m/02ml87
/m/02ml87
Astrid Lindgren
1981
a 9
acknowledge 1
across 1
afterwards 1
ages 1
almost 1
although 1
and 7
are 2
as 4
away 1
be 2
become 2
being 1
between 1
birk 5
birth 1
bolt 1
borka 2
borkas 2
borkason 1
both 1
brings 1
but 2
by 4
cannot 1
captured 2
castle 3
character 1
chasm 2
chief 1
chieftain 1
child 2
clan 4
clans 1
close 1
cold 1
company 1
counterparts 1
daughter 1
day 2
different 1
disowns 1
does 1
down 1
early 1
end 1
enemy 1
engages 1
ever 1
everyone 1
exchanged 1
expected 1
faeries 1
falls 1
families 2
father 2
fed 1
feuding 1
following 1
food 1
fort 1
friends 1
from 1
game 1
get 1
girl 1
gives 1
growing 1
grows 1
has 1
he 3
her 5
herself 1
him 1
himself 1
his 1
idling 1
in 7
is 8
jumping 1
know 1
later 1
leader 1
lightning 1
lives 1
long 1
main 1
mattis 4
met 1
middle 1
mountain 1
much 1
must 1
not 1
of 13
on 2
one 1
only 5
other 3
parts 2
passageway 1
refuses 1
repent 1
result 1
resulting 1
reunited 1
robbers 4
ronia 10
run 1
saves 2
scandinavia 1
secret 1
sees 1
set 1
settles 1
she 4
side 2
so 2
someday 1
son 1
soon 1
sorry 1
split 1
splits 1
strife 1
suffering 1
tell 1
that 4
the 24
their 5
they 3
through 1
to 6
two 3
ultimately 1
until 1
up 2
very 1
well 1
which 1
who 1
winter 1
with 1
woodlands 1
woods 1
year 1
