23096195
/m/064m_qp
/m/064m_qp
Katherine Howe
2009-06-09
a 7
abandoned 1
an 1
ancient 1
and 2
artifact 1
as 2
asks 1
begin 1
begins 1
bible 1
book 1
but 1
by 1
cant 1
connie 4
connies 1
contains 1
could 1
dane 1
dark 1
deeper 1
deliverance 1
deliverances 1
discovers 1
discovery 1
dissertation 1
doctoral 1
doing 1
drawn 1
ever 1
fall 1
family 1
fear 1
find 1
for 2
fragment 1
goodwin 1
graduate 1
grandmothers 1
handle 1
harrowing 1
harvard 1
haunted 1
have 1
hazeltine 1
her 4
home 1
house 1
imagined 1
into 2
is 3
it 1
its 1
key 2
knowledge 1
launches 1
longago 1
lost 1
more 1
mother 1
mysteries 1
name 1
near 1
needs 1
of 6
on 1
out 1
pages 1
parchment 1
past 1
physick 1
pieces 1
place 1
power 1
questto 1
rare 1
refuse 1
repository 1
research 1
sale 1
salem 1
salems 1
secret 1
seventeenthcentury 1
she 5
singular 1
spend 1
story 1
student 1
summer 1
that 1
the 6
then 1
this 2
tied 1
to 6
trials 1
unearth 1
upon 1
visions 1
was 1
when 1
who 1
witch 1
with 1
within 1
woman 1
written 1
yellowing 1
