2907127
/m/08bs5n
/m/08bs5n
John Varley

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
20 1
25000 1
a 46
aback 1
ability 1
about 1
above 1
accompanying 1
accompli 1
according 1
activate 1
activates 1
activity 1
actual 1
add 1
after 1
again 1
age 1
air 1
alarms 1
all 6
allow 1
along 1
alpha 1
also 1
alter 1
altered 1
alternative 1
always 1
among 1
amounts 1
an 6
and 38
animals 1
announces 1
another 9
anything 1
apparently 1
appears 2
are 12
arises 1
army 1
arrive 1
artificial 1
as 11
ask 1
assured 1
asteroid 10
at 3
atmosphere 1
attack 1
attacked 1
available 2
awakes 5
away 1
back 2
bad 1
bananameat 1
be 7
beach 1
beam 4
because 3
become 4
becoming 1
been 4
before 1
beings 2
between 1
beyond 1
bizarre 1
black 3
blaze 1
blurs 1
board 1
body 3
bodyguard 1
bodyguards 1
bond 1
bonded 1
boosts 1
boss 1
both 1
break 1
broadcasts 1
brought 1
but 4
by 8
called 1
can 4
cannot 1
cant 1
captive 1
careful 1
cathay 5
centauri 1
chance 1
change 1
changed 1
child 1
chooses 1
clandestine 1
clear 1
clone 5
clones 1
cloning 1
coast 1
cog 1
cold 1
comes 2
coming 1
committing 1
companion 2
companions 2
compensation 1
connection 1
consists 1
copy 2
corpse 1
created 1
creations 1
crew 1
cube 2
cut 1
dangerous 1
deadly 1
deal 1
deciding 1
decoders 1
deep 1
demands 1
depths 1
despite 1
details 1
detect 1
determine 1
determines 2
devoting 1
diana 3
did 1
die 2
dimensions 1
disappearing 1
dish 1
dive 1
dives 2
dna 1
do 2
does 1
down 3
downfall 2
dreams 2
earth 3
easily 1
east 1
ego 1
eight 1
ejected 1
elects 1
element 1
eliminate 2
else 1
encounters 2
end 1
energy 2
enough 1
entire 2
entirely 1
entrusted 1
escape 3
escapes 1
escaping 1
evacuate 1
eve 1
even 1
eventually 3
everyone 1
evict 1
examines 1
execution 2
experience 1
experimented 1
expunged 1
face 1
faced 1
facing 1
fait 1
fake 1
fall 2
falling 1
features 1
fell 1
female 1
field 1
finally 1
first 1
fish 1
flesh 1
folding 1
food 1
for 20
former 1
formidable 1
found 1
four 1
free 2
fresh 1
from 11
full 1
future 3
garbage 1
general 1
generally 1
generates 1
generating 1
generator 2
genetic 1
geneticist 1
gift 1
give 1
given 1
glory 1
go 3
goes 1
going 1
governments 1
great 1
grotesque 1
growth 1
guarding 1
guide 1
had 1
half 1
happened 1
has 11
have 6
having 1
he 3
head 2
held 1
helping 1
hence 1
her 15
hidden 2
hire 1
his 8
hole 9
holes 1
home 1
homes 1
hotline 9
however 3
human 3
humanity 4
humans 4
humansymb 1
hundreds 1
hunt 2
hunter 1
hunters 2
huntress 2
hygeia 1
if 3
illegal 1
implanted 1
in 28
individual 1
inertia 1
information 2
inhabit 1
instruments 1
