9341218
/m/028554z
/m/028554z
MaryJanice Davidson

{"/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/072lff": "Paranormal romance"}
500 1
a 21
adoption 1
advice 1
after 5
alive 1
all 3
also 5
an 3
and 19
annoy 1
ant 2
antonia 2
as 6
aside 1
attacks 1
attempt 1
attention 1
back 1
being 1
berry 1
best 2
besty 1
betsy 11
birth 1
blond 1
blood 1
blooddrinking 1
book 1
boy 2
break 1
brightbetsy 1
brother 1
but 3
by 3
called 2
can 1
causes 1
christmastime 1
close 1
column 1
committed 1
complicated 1
connect 1
course 1
created 1
creatures 1
crocheting 1
daughter 3
dead 2
death 1
decidedly 1
decides 1
deem 1
demand 1
devil 1
different 1
discover 1
doctor 1
doesnt 2
doing 1
door 1
driveway 1
dropdead 1
dubbed 1
during 1
earlier 1
enjoying 1
eric 3
everyone 1
exactly 1
exposure 1
exvampire 1
family 1
feed 1
feeds 1
fiction 1
fiend 2
fight 3
find 1
finds 1
first 1
fits 1
flame 1
for 2
forged 1
former 1
free 2
friend 3
friends 1
frightend 1
from 5
fully 1
gang 1
gave 1
gay 1
george 3
ghost 1
ghosts 1
gives 1
goes 1
going 1
goodman 1
gorgeous 1
halfsister 1
has 3
hasnt 1
he 1
hear 1
hellfire 1
help 1
her 19
herself 1
him 9
his 6
holidays 1
hostage 4
house 1
however 3
human 4
hurt 1
in 9
intended 1
ironically 1
is 14
isnt 1
it 6
jessica 2
jon 1
kill 1
killed 1
killer 4
kills 3
kingdom 1
knowledge 1
known 1
knows 1
later 1
laura 8
let 1
life 3
like 1
little 1
loose 1
magical 1
make 1
marc 1
meddle 1
member 1
memory 1
merry 1
minneapolis 1
mistakes 1
mother 1
neighbor 1
new 1
next 1
nick 1
not 1
novel 2
of 6
old 1
on 1
or 1
others 1
out 3
overtake 1
past 3
people 1
plagued 1
plaguing 1
planning 1
point 1
policemen 1
possessed 1
produced 1
profile 1
publish 1
receives 1
rectifying 1
relationship 1
reveals 1
rich 1
room 1
rundown 1
satan 2
save 1
saved 1
scene 1
seems 1
sent 1
serial 3
servants 1
set 3
sex 1
shady 1
she 10
sinclair 2
slayer 1
slayers 1
somewhat 1
sounds 1
spring 1
stabs 1
starts 3
stepmother 3
still 1
stop 1
story 2
stronger 1
stupid 1
such 1
suicide 1
sword 1
taylor 1
teaches 1
technically 2
tell 1
that 6
the 24
their 2
thing 1
things 1
think 1
thinking 1
this 3
thoughts 1
through 1
tina 1
to 16
tries 1
two 1
university 1
up 2
upcoming 1
using 1
vamp 1
vampie 1
vampire 4
vampires 1
victims 1
wedding 1
which 4
who 6
wild 2
wipe 1
with 7
women 1
work 1
write 1
year 1
younger 1
