33825369
/m/0hrcf6f
/m/0hrcf6f
Pittacus Lore
2012-08-21
{"/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature"}
a 35
abandoned 1
abilities 1
ability 1
able 3
about 4
across 2
acts 1
after 9
again 1
agent 2
agents 2
airport 1
alive 1
all 6
almost 1
along 3
also 2
although 2
ambushed 1
an 2
and 61
angered 1
another 1
apart 1
appear 1
appeared 1
are 20
argue 1
arguments 1
as 9
asks 1
assailants 1
associated 1
at 3
attack 1
attacked 1
attackers 1
attacking 1
avatars 1
avoid 1
away 1
back 2
badly 1
base 2
battle 3
battling 1
be 3
becomes 1
been 2
before 2
begin 4
begins 2
being 5
believe 1
belives 1
bernie 4
betrayed 1
between 1
black 3
blue 1
bodies 1
both 1
break 2
burst 1
but 8
by 11
cabinets 1
can 3
cannon 1
captors 1
captured 2
care 1
carry 2
carrying 1
casings 1
cave 4
ceiling 1
cell 1
center 1
cepan 2
challenges 1
chest 1
chicago 2
chimra 1
citywide 1
claiming 1
coast 1
come 1
comes 1
contacts 2
contains 1
convinces 1
convulse 1
crayton 2
dart 1
dead 1
deaths 2
decide 1
defeating 3
defending 1
dehydrated 1
delhi 1
demands 1
desert 2
developing 1
dies 1
disagree 1
discover 1
do 2
doesnt 1
doomed 1
door 1
dots 4
drop 1
due 1
during 2
dying 2
each 2
earth 2
easily 2
edge 1
egypt 1
eight 16
ella 7
else 1
embrases 1
end 1
enter 1
equipment 1
escape 2
even 1
events 1
eventually 3
except 1
experienced 1
explosion 1
face 3
fake 1
fall 1
false 1
farther 1
fate 1
fbi 5
fight 7
fighting 1
fights 1
find 7
finding 2
fires 1
first 1
fits 1
five 1
floor 1
fond 1
for 2
forcing 1
form 1
forms 1
found 3
four 24
freight 1
from 4
front 1
garde 7
get 1
girlfriend 1
giving 1
go 5
god 1
goes 2
gone 2
green 1
greet 1
group 3
grow 1
had 3
hancock 1
hand 1
happen 1
happened 1
hart 3
has 5
have 3
he 11
heading 1
healed 1
healing 2
heals 1
heat 1
held 2
helps 1
her 10
herself 1
him 9
himalayas 3
his 8
hit 1
hitchhikers 1
hits 1
holds 1
home 1
hope 1
horror 1
house 3
how 1
however 1
human 1
hurried 1
if 1
in 27
including 1
india 3
injured 1
inspect 1
instead 2
intense 1
into 5
is 23
it 10
jamaica 1
john 1
just 2
kill 2
killed 1
killing 1
kills 1
kisses 1
kosar 4
land 1
large 2
later 2
learns 1
legacies 3
legacy 4
lets 1
life 1
little 1
lives 1
living 1
location 1
locations 2
lola 1
long 1
loralite 2
lord 1
lore 1
loric 4
lose 1
loses 1
love 1
made 2
make 2
manages 3
map 1
marina 5
mass 1
meantime 1
meanwhile 1
member 5
members 1
men 1
mexico 9
mog 1
mogadorian 3
mogodorians 2
mogs 7
mountain 3
move 1
multiple 1
named 1
new 10
newly 1
next 3
night 1
nine 21
notices 1
novel 1
now 1
nowhere 1
number 8
of 33
off 7
ohio 1
on 7
once 4
one 7
oneonone 1
only 1
onto 2
open 1
other 5
out 5
outside 1
over 1
overpowered 1
overpowers 1
painting 2
paintings 1
pair 3
paradise 2
perform 1
picked 1
piece 1
pittacus 1
places 1
plan 2
plane 1
poison 1
power 2
prepares 1
previous 2
previously 1
process 2
properly 1
pull 1
pulsing 1
questioning 1
ra 13
reach 3
real 1
realise 1
realised 1
realises 1
realize 1
really 2
reappear 1
red 1
reengages 1
reincarnation 1
remaining 1
remove 1
removes 1
removing 1
rescue 1
resistance 1
rest 1
return 1
returns 2
reunite 1
revealed 2
reveals 1
reynolds 1
ripped 2
rips 1
rock 1
roof 3
room 1
rooms 2
rushes 1
safe 2
sam 4
same 2
sarah 12
save 1
school 1
second 1
see 6
seeing 1
seemingly 1
seems 2
seriously 1
setrakus 13
seven 4
several 2
shapeshifting 2
she 6
ship 1
ships 1
shoot 1
shot 2
showed 1
shows 2
since 1
six 14
so 1
soldiers 2
somalia 2
soon 1
stabbed 1
statue 1
stone 3
stonehenge 1
stop 1
storms 1
story 1
stranded 1
stunned 1
suddenly 1
summit 1
supposedly 1
surveillance 1
sword 1
systems 1
tablet 3
take 2
taken 1
talk 1
telepathy 1
teleport 3
teleported 1
teleports 1
tell 1
telling 1
tells 1
ten 3
tenth 2
testing 1
thanks 1
that 24
the 86
their 12
them 8
then 9
there 3
these 1
they 40
this 2
those 1
threating 1
three 3
through 3
thrown 1
throws 1
time 1
timeline 1
to 72
together 2
told 3
top 1
towards 2
town 1
train 1
training 1
transforms 1
transit 1
travel 2
travelling 1
tree 1
trick 1
tries 1
try 2
trying 2
turn 2
turned 1
two 4
unarmed 1
unknown 1
up 4
upper 1
use 3
used 1
uses 1
using 1
van 1
violent 1
vishnu 3
vision 2
wakes 1
walker 4
walls 1
want 1
wanting 2
was 4
watch 2
way 5
weapon 3
were 1
west 1
what 3
when 4
where 8
whether 1
which 5
while 2
whilst 2
whip 2
whiplike 1
who 10
with 14
witnesses 1
work 1
working 1
world 1
worship 1
wounding 1
