664298
/m/030yv8
/m/030yv8
Daniel Handler
2001-05
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/06www": "Steampunk", "/m/0pym5": "Absurdist fiction"}
13th 1
a 30
about 2
accused 1
accuses 1
acquainted 1
acronym 1
after 2
against 1
air 1
alibis 1
all 4
allow 1
allowing 1
allows 1
also 3
an 7
and 35
ankle 1
announces 1
are 12
arrive 1
arrives 1
article 1
as 7
associates 1
at 10
attached 1
away 1
balloon 3
barn 2
base 1
based 1
battering 1
baudelaire 2
baudelaires 13
be 6
beak 3
become 1
been 3
before 2
begins 1
being 2
bench 2
birthday 1
body 1
book 2
books 1
bottom 1
bread 3
break 2
breaking 3
brick 1
brings 1
brochure 1
build 1
burn 1
burned 1
burning 1
burnt 1
bus 2
but 5
button 1
by 5
can 8
cannot 3
captured 3
catches 1
cell 2
child 1
children 6
choose 1
chores 1
claims 1
climb 1
climbing 1
clue 3
collected 1
come 4
comes 5
coming 2
consider 1
construct 1
contains 2
continuing 1
council 2
count 10
couplet 4
couplets 1
crow 1
crows 5
daily 3
damp 1
dawn 3
day 3
daybreak 1
dead 1
decide 1
delivering 1
deluxe 1
demand 1
depart 1
detective 2
device 2
devotees 1
died 1
discover 3
discovered 1
discovers 2
discuss 1
do 3
down 4
dry 1
dupin 2
dusty 1
each 2
earth 1
elders 2
end 2
ends 1
entire 2
escape 3
escaping 1
esme 1
evening 1
every 1
everyone 1
explain 1
explaining 1
eye 4
eyebrow 1
fact 2
fear 2
fearsome 1
feet 1
fell 1
few 1
figure 1
filled 1
final 1
finds 1
finish 1
first 4
fixes 1
flee 1
fleeing 1
following 3
for 12
forever 1
fortune 2
found 2
fountain 3
fowl 2
free 1
freed 1
friends 2
from 7
full 1
get 1
gives 2
glasses 1
go 1
goodbye 1
great 1
guardian 1
gun 1
had 2
hair 1
hall 1
handyman 1
harpoon 2
has 6
have 2
he 12
heads 1
hector 7
held 3
help 2
helps 1
here 2
him 1
himself 1
his 7
home 4
horizon 1
hot 2
hotair 5
house 2
if 3
ignore 1
immediately 1
imprisoned 1
in 13
inherit 1
initial 5
inside 5
insist 1
instead 1
is 9
isadora 1
it 5
jacques 7
jail 2
jump 1
keeping 1
keeps 1
kept 1
killed 1
klaus 4
ladder 2
learn 2
leaves 1
lens 1
letter 1
letters 2
library 1
lies 1
line 1
listen 1
living 1
locked 3
long 1
looking 1
luciana 4
make 4
making 1
man 2
manage 1
manages 1
marks 1
masquerading 1
members 1
might 1
mob 3
mobile 3
morning 2
mortar 2
motorcycle 1
mr 2
murdered 1
murdering 1
named 1
naturally 1
nearby 2
nevermore 4
new 3
newspaper 1
next 1
night 4
no 2
not 5
notebooks 1
number 1
of 26
off 1
office 1
officer 4
olaf 11
on 6
one 3
only 2
onto 1
opens 1
orphans 3
our 2
out 6
outskirts 2
over 1
paper 1
part 1
people 2
pierces 1
pitcher 1
plan 1
plea 1
poe 2
poem 1
poems 2
point 1
police 1
poorly 1
possible 1
pouring 1
press 1
preventing 1
prior 1
prison 2
process 1
proclaim 1
program 1
psychology 1
punctilio 2
quagmire 1
quagmires 10
quickly 1
raise 1
ram 1
rather 1
reach 2
read 5
reads 1
ready 1
realizes 1
refer 1
related 1
repeated 1
repeatedly 1
report 2
research 1
results 1
revealed 1
revealing 1
ribbon 1
roost 1
rope 3
rule 1
rules 3
run 3
running 1
rush 1
sad 2
sail 1
same 1
sapphires 3
say 1
saying 2
says 1
scatters 1
scene 1
searches 1
secret 3
see 3
sending 1
serve 1
shoots 1
shows 2
sight 1
slowly 1
snicket 1
so 2
soften 1
solid 1
somehow 3
something 2
speak 7
speech 1
spells 1
squalor 1
squeezing 1
stake 2
stands 1
start 1
starts 1
still 1
stop 1
suggest 1
sunny 4
surveillance 1
survive 1
takes 2
tattoo 1
teeth 1
tell 1
tells 2
than 1
that 22
the 133
their 2
them 17
then 4
these 2
they 20
theyve 1
thick 1
thing 3
things 1
this 4
though 1
through 1
throw 1
throws 1
thus 1
time 1
to 44
together 1
towards 1
tower 1
town 6
townspeople 1
tree 6
triplets 1
trouble 1
two 2
under 2
unknown 1
until 4
up 3
uptown 2
useful 1
uses 1
using 2
verse 1
vfd 9
village 4
violet 4
waiting 1
walk 1
wall 2
walls 1
was 4
watch 1
water 4
way 4
we 4
weakened 1
weakening 1
were 2
when 3
where 6
which 7
while 1
whilst 1
who 6
whole 1
will 7
window 1
with 5
wooden 2
words 2
working 1
written 2
yield 1
you 7
your 2
