9065049
/m/027wc5h
/m/027wc5h
Algis Budrys
1958
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 8
abode 1
about 1
allen 1
although 1
an 2
and 7
anomalously 1
army 1
as 2
be 2
been 1
body 1
bribery 1
building 1
businessman 1
by 2
colony 2
commanding 1
concludes 1
conquer 1
corporation 1
created 1
desperate 1
doncaster 3
drafted 1
earth 3
emigrant 1
enough 1
escape 1
extraterrestrial 1
for 2
fortune 1
go 2
has 1
he 2
him 3
his 1
however 1
identity 1
in 2
indicted 1
instead 1
intends 1
into 2
invade 1
is 5
it 3
its 1
large 1
left 1
like 1
machine 1
makes 1
man 1
marketable 1
men 1
misfits 1
mother 1
mysterious 1
narcissistic 1
neerdowells 1
neglected 1
neglectful 1
new 4
no 1
of 2
official 1
on 1
only 1
pays 1
persona 1
personality 1
planet 2
pleasant 1
plunder 1
pluto 4
plutonian 1
prison 1
public 1
rancid 1
rank 1
rebuilt 1
reveals 1
rise 1
sending 1
settle 1
sibley 3
skills 1
soon 1
stars 1
steppingstone 1
suddenly 1
swiftly 1
terraformed 1
that 3
the 7
them 1
thoroughly 1
to 8
tricks 1
universe 1
unwilling 1
war 1
was 1
which 1
while 1
who 1
will 1
with 2
