2830275
/m/02wv9hj
/m/02wv9hj
Gillian Rubinstein
2004
2 1
a 12
abduction 1
abducts 1
about 1
accompany 1
across 1
adults 1
after 4
against 2
agreement 1
ahead 1
akio 1
alive 1
alliance 3
almost 1
also 1
ambush 1
an 7
and 35
arai 9
are 2
armies 1
army 8
around 1
arrive 2
arrives 1
as 5
assassinate 1
assistance 1
at 4
away 1
bandits 1
barbarians 1
be 2
because 1
become 1
before 3
behalf 1
being 1
belief 1
betrays 1
between 1
blade 1
boat 1
born 1
boy 1
bridge 1
bring 2
brings 1
burns 1
but 12
by 8
castle 1
caught 1
celibate 1
child 1
childhood 1
coast 2
come 3
comes 1
compiled 1
concerning 1
concocts 1
consequences 1
countries 1
cousin 1
cut 1
daughter 2
dead 1
death 1
decide 1
declares 1
defeat 1
defeated 1
delayed 1
delays 1
delirium 1
demand 1
demonstrates 1
despite 2
destroys 2
deus 1
did 1
discovers 1
dispel 1
domain 1
dr 1
drowns 1
earthquake 1
enter 1
entire 1
escapes 1
estates 1
ex 1
example 1
executed 1
existence 1
families 1
family 2
father 2
fears 1
feeling 1
find 2
finds 1
fingers 1
firearm 2
for 1
forced 2
forces 1
friend 1
from 5
fujiwara 5
fumio 5
futures 1
gauge 1
gets 1
given 1
goes 1
had 1
hagi 2
hair 1
happened 1
has 2
have 2
he 13
head 1
healing 1
hears 1
help 1
her 15
hidden 2
hides 1
him 9
hiroshi 2
his 17
hoping 1
hostage 1
house 1
household 1
how 1
huge 1
husband 1
ichiro 1
iida 3
illegal 1
illegitimate 1
in 8
interested 1
into 4
invade 1
invention 1
is 6
ishida 1
island 1
it 4
joan 2
just 1
kaede 10
kenji 6
kibi 1
kiichi 1
kikuta 5
kill 2
killing 1
kondo 2
kotaro 1
lady 2
land 2
later 1
lead 1
leads 1
learns 1
leave 1
left 1
lies 1
life 1
local 1
locked 1
lords 2
loses 1
machina 1
made 1
makes 1
marched 1
marches 2
marriage 5
married 1
marring 1
marry 1
maruyama 8
masahiro 1
master 1
meanwhile 1
meet 1
meets 1
members 1
men 1
messengers 1
mind 1
minor 1
moment 1
mountains 1
murder 1
muto 1
nariaki 1
near 1
nearby 1
neck 1
new 1
news 2
north 1
not 2
now 1
objections 1
obtained 1
of 14
old 1
on 4
one 1
only 2
onset 1
oshima 1
otori 2
outcast 1
outcasts 1
over 1
own 1
pirates 1
plan 1
plans 1
poisoned 1
prays 1
rash 1
rather 1
reaction 1
recently 1
records 4
recovers 1
remain 1
restoring 1
retainer 1
retreat 1
return 2
returned 1
returns 1
reunited 1
rides 2
river 1
rocks 1
rounded 1
rumors 1
rushes 1
ryoma 1
sadamu 1
safe 1
sails 1
save 1
sea 1
seek 1
send 1
she 3
shigeru 3
shirakawa 4
shizuka 4
shocked 1
shoji 1
shoots 1
shorn 1
shrine 2
sisters 2
skirmish 1
sneak 1
sneaks 1
snow 1
so 2
some 2
son 3
soninlaw 1
sons 2
soon 1
south 1
spring 1
start 1
starts 1
stay 1
storm 1
submits 1
sugita 1
surrenders 1
take 1
takeo 17
taku 2
teacher 1
tells 2
terada 1
terayama 1
terrible 1
than 1
that 5
the 48
their 3
them 3
they 9
threat 1
threatened 1
three 1
to 45
towards 2
travels 1
treasure 1
tribal 1
tribe 4
truce 1
turned 1
turns 1
two 1
typhoons 1
uncle 2
uncles 2
up 2
use 1
using 1
village 1
wait 1
wants 1
was 3
way 1
weather 1
what 1
when 1
white 1
who 1
whose 1
will 2
winter 1
with 11
woman 1
would 1
years 1
younger 1
yuki 1
