20294090
/m/04zvzhd
/m/04zvzhd
Javier Marías
1992
a 4
ambivalence 1
an 1
and 4
anew 1
antidetective 1
are 1
becomes 1
begins 1
but 2
chronicles 1
civility 1
colour 1
considers 1
convenience 1
costs 1
doesnt 1
elegantly 1
even 1
father 2
fraudulent 1
genuine 1
hands 1
he 2
heart 3
his 1
human 1
i 1
inquisitory 1
insistence 1
interior 1
into 1
intrigue 1
its 3
juan 2
know 1
knows 1
life 1
light 1
little 1
macbeth 1
maras 1
marriage 1
marries 1
my 1
nature 1
novel 1
of 10
past 2
permeates 1
ponder 1
possible 1
power 1
price 1
ranz 1
really 1
reckons 1
relentless 1
repetitions 1
secrecy 1
sends 1
shadows 1
shafts 1
shameto 1
sins 1
so 3
sort 1
story 1
strange 1
the 10
to 2
unnerving 1
violence 1
want 1
wear 1
what 1
when 1
white 3
with 1
your 1
