3260842
/m/091xzq
/m/091xzq
Clive Cussler
1981-08
{"/m/017rf8": "Techno-thriller", "/m/08sdrw": "Adventure novel"}
114 2
15 1
150 2
18 1
50 1
70 1
a 26
abandoned 2
above 2
accidentally 1
across 2
actually 1
address 1
after 1
again 1
against 1
agents 1
agreement 1
agrees 1
all 3
allowed 1
allowing 1
almost 1
along 3
alternative 1
american 5
an 5
and 30
announces 1
another 2
any 1
appear 1
approach 1
archives 1
are 3
arrives 1
as 6
ascertain 1
asquith 1
assignments 1
at 6
atmosphere 1
attempt 1
attempts 1
audacious 1
australia 1
away 1
bankruptcy 1
be 2
becomes 2
been 2
before 1
best 1
between 2
billion 1
billions 1
black 1
blown 1
border 1
both 3
bottom 2
brian 1
bridge 5
british 4
bullion 2
but 1
by 12
cabinet 1
cableway 1
canada 11
canadian 2
capital 1
cargo 1
caused 1
chance 2
charges 1
charles 1
cia 1
clue 1
collier 1
coming 1
commander 1
concealing 1
cooperation 1
copies 2
copy 5
cornerstone 1
costs 1
covering 1
cross 1
crucial 1
damage 1
day 1
deal 1
death 1
decades 1
decides 1
decisive 1
declares 1
deliver 1
delivers 1
demand 1
demolished 1
depletion 1
deposit 1
desperately 1
despite 1
destroyed 1
destruction 1
developed 1
difference 1
dirk 1
discover 1
discovered 1
discovers 1
disintegrate 1
disintegration 1
disused 1
diverted 1
diving 1
document 1
dollars 1
down 1
downed 2
dwindling 1
east 1
economic 2
efforts 2
either 2
elaborate 1
elected 1
electricity 1
elsewhere 1
emerged 1
empire 2
empress 1
energies 1
energy 1
ensure 1
entrance 1
equipment 1
erased 1
estimated 1
estimates 1
even 1
exclusive 1
experimental 1
extensive 1
extra 1
eye 1
fact 3
fail 1
failed 2
faked 1
fate 1
fearing 1
fears 1
fight 1
finds 3
flashed 1
flooded 1
floor 1
flq 1
follow 1
for 7
forgotten 1
former 1
foss 1
freak 1
freefall 1
from 7
further 1
gang 1
george 1
ghost 2
give 1
gives 1
gly 1
gramophone 1
grounds 1
group 2
guard 1
gunpoint 1
had 3
hard 1
has 4
have 4
having 1
he 4
headlight 1
heavy 1
heidi 1
henri 1
her 1
herbert 1
hijacked 1
him 3
hired 1
his 1
history 1
holdup 1
hoping 1
horizon 1
howls 1
hudson 2
hydroelectric 1
if 2
immersion 1
impression 1
in 20
increasingly 1
independence 3
infusion 1
intact 1
intelligence 1
into 5
intrigued 1
investing 1
ireland 1
is 15
it 9
itself 1
just 2
keep 1
kept 1
kind 1
king 1
kingdom 1
knowledge 2
lain 1
landmark 1
lantern 1
large 1
later 1
lawrence 2
leave 1
led 1
leisure 1
letter 1
lies 1
lieutenant 1
limited 1
line 1
liner 1
load 1
loan 1
locates 1
locomotive 3
long 1
looming 1
loss 1
lost 1
make 2
makes 1
manhattan 1
massive 1
material 1
matters 1
may 1
means 2
meanwhile 1
merge 1
middle 1
might 1
milligan 1
million 2
mined 1
minister 2
misleading 1
moment 1
more 2
mp 1
mystery 2
nation 3
national 2
naval 1
navy 1
nearest 1
new 1
newly 1
night 1
nights 1
north 3
northeast 1
norwegian 1
not 1
now 3
nuclear 1
numa 2
of 52
off 2
offer 1
oil 2
oilfields 1
old 1
on 11
once 1
one 6
or 3
orders 3
other 2
out 1
outraged 1
outside 1
pa 1
packed 1
panicked 1
particular 1
passable 1
passengers 1
passes 2
passing 1
payment 2
pays 1
petition 1
phd 1
pitt 6
plan 2
plant 1
played 1
playing 1
plunges 2
policies 1
possession 2
possibly 1
potentially 1
powder 1
power 1
president 5
presidents 1
prevent 1
primarily 1
prime 2
project 1
proposing 1
provided 1
provinces 1
pulp 1
pushing 1
put 1
quarry 6
quebec 5
quickly 1
quietly 1
races 1
radicals 1
railroad 1
rammed 1
reaching 1
real 1
recalls 1
receives 1
recently 1
record 1
records 2
recover 2
recovered 1
reference 1
referendum 1
remained 1
remove 1
researching 1
resembling 1
retirement 1
revealed 1
richest 1
risk 1
river 3
rms 1
rob 1
robber 1
robbers 3
running 1
sabotage 1
salvage 2
same 2
sarveux 1
save 1
saved 1
scheme 1
scotland 1
sea 1
seal 1
searches 1
secret 1
secretly 1
see 1
sees 1
sell 1
service 1
several 1
shaw 3
she 2
short 1
similar 1
site 1
skin 1
so 1
sold 1
solves 1
some 1
sounds 2
spur 1
st 2
staged 1
start 1
starve 1
statehood 1
states 11
station 1
stationmaster 2
steam 1
stormy 1
stratigraphic 1
strikes 1
strung 1
stumbles 1
sub 1
submerged 1
suddenly 1
sum 1
supplier 1
supplies 1
supply 1
survive 1
suspense 1
team 1
teeth 1
territorial 1
than 2
that 11
the 126
their 4
them 2
then 3
there 1
they 3
thinking 1
this 3
through 3
thug 1
times 1
to 37
too 1
topsecret 1
total 1
trace 1
traces 1
trackbed 3
tragedy 1
train 11
transpires 1
trap 1
trapping 1
treaty 16
try 2
trying 1
tumbling 1
tunnels 3
turned 1
two 1
uk 1
unable 1
unacceptable 1
underground 1
united 12
unthinkable 1
up 5
us 3
v 1
vanishes 1
ventilation 2
victim 1
victorious 1
villon 1
voyage 1
wales 1
walking 1
war 2
was 3
waterproof 2
waters 1
were 2
when 4
whereabouts 1
whether 1
which 5
while 2
who 1
will 5
wilson 3
windows 1
with 4
without 2
withstand 1
woodrow 1
working 1
worlds 1
worldwide 1
worse 1
would 1
wreckage 1
wrecked 1
years 2
