2671263
/m/07wv_s
/m/07wv_s
Shirley Jackson
1958
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 28
about 3
acquaintance 1
adolescent 1
after 6
afterwards 1
again 1
aged 1
air 1
alerting 1
alike 1
all 4
allowed 1
allows 1
alone 1
already 1
also 1
amid 1
an 4
and 32
announcement 1
another 2
anymore 1
appears 1
arabella 1
are 5
around 1
arrives 2
artificial 1
as 10
asks 1
asymmetrical 1
at 5
attend 1
attributed 1
aunt 1
away 4
back 1
barely 1
be 6
bears 1
beauty 1
because 1
become 1
been 1
before 2
befriended 1
begin 1
begins 3
behaviour 1
bein 1
believe 1
betrays 1
body 1
books 1
both 1
brave 1
bribes 1
brought 1
built 1
burn 1
but 4
by 9
cabbie 1
came 1
canterbury 1
captain 3
carefully 1
carry 1
catalogue 1
caught 1
certainly 1
chance 1
character 2
characters 1
chaucer 1
child 1
claiming 1
claims 2
come 1
coming 4
commands 1
comment 1
concept 1
convince 1
convinced 1
coronation 1
country 1
cousin 1
covering 1
crown 3
daddy 1
dashes 1
daughter 1
daughters 1
day 1
days 1
dead 2
death 2
delight 1
described 1
describes 1
destroyed 1
destruction 4
detailed 1
details 2
dies 1
different 1
discover 1
dismissed 1
dissenter 1
dissenters 1
does 1
dollhouse 2
dolls 1
doubt 1
down 2
downstairs 1
dream 1
dubs 1
due 1
eden 1
edenlike 1
edicts 1
elder 1
employed 1
end 4
endless 1
ends 2
enough 2
enter 1
essex 4
evening 2
everyone 1
excited 1
exert 1
expressed 1
eyesore 1
fanciful 1
fancy 8
fanny 8
father 4
feast 1
few 1
final 1
finally 1
finds 1
first 2
flees 1
floor 1
following 1
for 7
friend 1
frightened 1
frightening 1
from 4
funeral 2
future 1
game 1
gardens 1
garishness 1
gather 2
ghost 2
gloria 7
go 1
goes 2
going 1
gold 1
good 1
governess 1
graces 1
gradually 1
grandmother 4
granny 1
great 2
grounds 2
group 3
grow 2
halloran 14
hallorans 2
happen 1
happened 1
has 4
have 4
he 1
head 1
hear 1
heart 1
her 20
hers 1
herself 1
him 3
hired 2
his 4
hours 1
house 17
how 1
i 2
idea 1
ignore 1
immediately 1
implied 2
imposing 1
in 18
increasingly 1
inherit 2
inheritance 1
inside 1
instructions 1
insulated 1
intent 1
interiors 1
into 3
invites 1
is 21
issue 1
it 10
items 2
its 1
itself 2
jackson 1
julia 4
kept 3
killed 1
knight 1
landing 1
last 1
late 1
lavish 1
laws 1
least 1
leave 1
leaving 1
legend 1
less 2
library 2
life 1
lifeno 1
lights 1
like 1
lionel 3
live 3
living 1
lording 1
luxuries 1
make 1
making 1
males 1
man 4
manifest 1
manor 1
maryjane 3
master 1
mathematically 1
matter 1
maybe 1
meanwhile 2
meet 1
member 1
men 1
middle 1
might 4
mirrora 1
miss 4
model 1
money 3
more 5
morning 1
mother 1
move 1
mrs 4
much 1
murdered 1
must 1
my 1
name 1
named 1
need 1
needing 1
never 2
new 1
next 3
night 2
no 2
nonetheless 1
not 1
novel 2
nurse 1
observes 1
obsessively 1
obvious 2
occupants 1
of 41
ogilvie 3
oilcoated 1
old 1
omen 1
omenthe 1
on 11
one 5
only 5
opening 1
opportunity 1
ordering 1
orianna 19
others 3
ours 1
out 3
outdoors 1
over 2
overlooking 1
overwhelm 1
own 1
ownership 1
pampered 1
paradise 2
parlor 1
party 4
passes 1
perfect 1
place 1
plans 2
players 1
plays 1
point 2
position 1
possible 1
postures 1
power 1
preparations 1
prepare 1
pressure 1
promise 1
pushed 1
put 1
queen 1
quote 1
random 1
rather 1
reader 1
real 2
realising 1
receives 1
reconsiders 1
refuse 1
regarding 1
remain 2
remove 1
repeat 1
resents 1
residents 4
rest 1
revealed 1
richard 2
ride 1
ridiculous 1
ridiculousness 1
room 2
rules 1
sadistic 1
safety 1
scarabombardon 1
scare 1
see 2
seem 1
seems 1
seizes 1
sending 1
sends 1
sent 2
servants 1
setting 1
seventeen 1
shaken 1
shattering 1
she 9
short 1
single 1
sister 1
small 3
smash 1
snake 1
so 2
solely 1
son 1
soon 3
spared 1
specifically 1
speculate 1
spend 2
spent 1
spoiled 1
spontaneous 1
stairs 1
stands 2
stay 2
stock 1
storm 2
story 1
stranger 1
suggested 1
suggests 1
sundial 3
sundialis 1
supplies 2
swept 1
symbolise 1
take 1
taken 2
takes 2
taking 1
tale 1
tales 1
talks 1
taught 1
tells 2
terrify 1
terrifying 1
than 2
that 14
the 111
their 1
them 1
then 1
there 1
these 1
they 8
think 1
thinking 1
this 6
those 2
though 1
three 1
through 1
time 1
titular 1
to 46
together 1
try 2
two 4
until 2
up 4
upon 3
uproar 1
useful 1
using 1
view 1
village 2
violent 1
vision 1
visions 3
volunteers 1
vows 1
wait 1
walking 1
warns 1
was 4
way 1
wealth 1
wearing 1
what 2
wheelchair 1
when 5
where 1
which 2
whilst 2
who 6
whole 1
whom 2
wife 1
will 12
willow 3
window 1
windows 1
winning 1
wishes 1
with 6
woman 2
women 1
wondering 1
wont 1
world 13
years 1
young 6
