4649413
/m/0cffqp
/m/0cffqp
William Dalrymple
2002-03-29
18th 3
1th 1
1thcentury 1
a 9
about 2
achilles 1
actually 1
affair 1
after 2
also 1
among 2
an 3
and 18
another 1
as 2
at 1
attitude 2
attitudes 1
balance 1
based 1
beautiful 1
becomes 1
been 1
between 3
book 2
british 7
captain 1
carlyle 1
century 2
charles 1
children 1
christianity 2
cipher 1
class 1
coda 1
company 2
contact 1
context 1
convert 1
cultures 1
dalrymples 1
daughter 1
dealings 1
death 1
descent 1
diaries 1
dignitary 1
dismissive 1
dispatches 1
documents 1
doomed 1
draws 1
early 2
east 2
emphasizing 1
employers 1
engender 1
england 1
etiquette 1
evangelical 1
examines 1
existed 1
fascinating 1
finding 1
friend 1
from 1
geopolitical 1
gradual 1
grandmother 1
had 1
he 2
heart 1
her 1
his 2
history 1
holy 1
hyderabad 4
hyderabadi 1
ideas 1
in 8
increasingly 1
india 6
indian 2
indians 1
indicates 1
interactions 1
interracial 1
is 4
islam 2
it 3
its 1
james 2
khair 1
khairunnissa 1
kirkpatrick 4
kitty 1
late 2
leading 1
letters 1
level 2
liaisons 1
like 1
love 2
lovers 1
majorgeneral 1
married 1
marry 1
men 1
military 1
minglings 1
mixed 1
most 1
mountain 1
move 1
much 1
mughals 2
muse 1
muslim 1
nizam 1
noblewoman 2
novelists 1
of 21
officers 1
offspring 1
on 4
one 2
optimistic 1
orientalised 1
out 1
paces 1
part 1
peoples 1
period 1
persian 1
picture 1
political 1
porous 1
premodern 1
race 1
racist 1
reestablishes 1
relations 1
relationship 1
reports 1
requirements 1
researches 1
resident 3
revelations 1
rise 1
royal 1
ruling 1
saddest 1
saw 1
sexual 1
shown 1
skills 1
social 2
some 1
sources 1
story 4
stuart 1
subject 1
succession 1
such 1
surprisingly 1
sympathetic 1
tells 1
that 1
the 31
their 1
there 1
these 1
thomas 1
thoroughly 1
three 1
times 1
title 1
to 6
towards 1
trade 1
tragic 2
two 2
unexpected 1
unplanned 1
us 1
very 1
warm 1
was 1
when 2
where 1
which 1
white 2
whole 1
with 3
woman 1
women 1
work 1
young 1
