7314998
/m/025yxyh
/m/025yxyh
Alex Sanchez
2006
{"/m/0dwly": "Children's literature"}
15 1
a 6
about 2
after 1
alive 1
alliance 1
amoroso 1
an 1
and 5
any 1
asking 1
at 2
because 1
but 2
carlos 7
course 1
desire 1
do 2
dying 1
embarrassing 1
enough 1
even 2
everyone 1
exactly 1
favor 1
finally 1
for 1
friends 1
from 1
gay 3
gaystraight 1
get 1
gets 1
girl 1
gorgeous 1
got 1
guy 2
guys 1
hanging 1
harder 1
has 1
he 2
help 1
him 2
his 2
idea 2
if 2
in 1
is 9
it 3
kissed 1
learns 1
life 1
love 1
makeover 2
making 2
never 1
no 1
object 1
of 3
old 1
out 1
over 3
popular 1
return 1
rodriguez 1
roxy 1
sal 4
school 1
schoolnot 1
see 1
seems 1
show 1
something 1
starting 1
starts 1
straight 1
television 1
than 1
that 3
the 4
their 1
they 1
think 1
thinks 1
to 3
too 1
wants 1
watching 1
what 1
who 2
will 1
with 1
worried 1
years 1
