26035816
/m/0b6l10l
/m/0b6l10l
Melina Marchetta
2008-09-29
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 4
able 1
abundant 1
accounts 1
affected 1
again 1
age 1
alive 1
all 2
also 1
an 1
and 7
angered 1
are 2
arroganceand 1
as 1
at 1
away 1
balthazar 2
bathalzar 1
be 2
been 1
begins 1
believe 1
believes 1
beloved 2
best 1
bloody 1
but 3
by 2
can 1
carnage 1
childhood 1
claim 1
curse 2
cursed 1
dark 2
days 1
determined 1
door 1
enter 1
evanjalin 3
even 1
executed 1
faith 1
family 2
father 2
find 1
finnikan 1
finnikin 5
for 1
forest 2
friend 1
guardian 1
handprints 1
happy 1
have 1
he 4
heir 2
her 3
himself 1
his 4
home 2
hope 1
imprisoned 1
in 2
incredible 1
inside 2
into 1
is 9
it 1
jail 1
journey 1
kingdom 3
lead 1
little 1
lost 1
lumatere 4
meet 1
murdered 2
nine 1
not 4
of 9
on 2
one 1
only 2
pair 1
pass 1
people 5
presumably 1
prince 3
proclaims 1
put 1
remains 1
return 1
reunited 1
rock 1
royal 2
safe 1
see 1
seems 1
sees 1
seranonna 1
she 2
since 1
sir 1
slaughtered 1
summoned 1
ten 2
terrible 1
test 1
that 2
the 20
their 2
them 1
then 1
they 1
this 1
those 2
throne 1
thrown 1
times 1
to 7
together 1
topher 1
torn 1
trapped 1
trapping 1
treason 1
truth 1
under 1
was 4
wealth 1
were 1
what 1
when 1
while 1
who 1
wife 1
will 4
with 2
woman 1
years 2
young 1
