1789839
/m/05x3zs
/m/05x3zs
Janusz Zajdel
1982
0 2
4 1
a 22
able 1
about 5
achieves 1
adam 1
addition 1
adi 1
after 1
agent 1
agroland 1
alice 3
alien 1
aliens 2
all 2
also 2
amazement 1
amount 1
an 6
and 12
another 1
answers 3
anything 1
are 1
argoland 1
arrested 1
artificially 1
as 7
at 1
attention 1
attract 1
be 1
become 1
before 1
being 1
black 2
but 4
by 6
can 1
central 1
chameleons 1
cheat 1
cherryson 1
city 1
class 2
clear 1
clues 1
communicator 1
computer 1
controlled 1
correct 1
could 1
counterfeited 1
dealers 1
dealing 1
designed 1
didnt 1
different 1
discovers 2
dissent 1
doctor 1
doesnt 1
doorman 1
downer 4
downers 1
during 1
easily 1
eat 1
electrohipnosis 1
end 1
etc 1
even 1
everything 1
exactly 1
exam 1
exams 1
experience 1
experiment 1
faces 1
fact 4
facts 1
fearful 1
fellow 1
few 2
fiction 2
figures 1
finally 1
find 1
finds 1
for 3
form 1
found 1
freedom 1
friend 2
from 1
further 1
gallery 1
gives 2
giving 1
goes 3
government 2
group 1
having 2
he 18
help 2
helps 1
hero 1
hiding 1
him 3
hired 1
his 12
history 1
hours 1
how 2
human 1
humanity 2
if 1
illegal 1
imposed 1
in 11
inside 1
institute 2
intelligence 2
iq 3
irregularities 1
is 15
it 3
karl 2
keep 1
key 10
keymakers 1
keys 3
kinds 1
know 1
knowing 1
known 1
lab 2
lake 1
largely 1
later 2
learns 2
leaving 1
level 3
life 1
lifter 3
lifters 1
like 1
listen 1
local 1
locked 1
look 1
low 2
makes 1
market 2
meanwhile 2
medium 1
meeting 1
meets 2
microradio 1
minutes 1
misery 1
monitor 1
morning 1
much 1
mysterious 2
mystical 1
named 1
nature 1
new 1
not 2
notice 1
now 1
object 1
obtains 1
of 17
official 1
officially 1
officials 1
old 1
on 3
one 1
only 1
or 2
ordered 1
outside 1
overzeroes 1
owner 1
parents 1
people 2
permits 1
point 1
points 2
police 2
prefers 1
presented 1
preserving 1
press 1
prevent 1
prohibited 1
pron 2
provide 1
providing 1
purpose 1
questioned 1
reader 1
realistic 1
reality 1
release 1
report 1
reported 1
result 1
retrieves 1
revealing 1
reveals 1
ruling 1
ruse 1
saving 1
science 1
scientific 1
secured 1
see 1
sees 2
shelter 2
should 1
singer 1
situation 1
sneer 14
so 1
social 1
solicits 1
some 4
song 2
songs 1
sorts 1
special 1
specialist 1
spying 1
starts 2
station 3
story 1
street 2
studying 1
subjects 1
succeeds 1
such 1
suggests 1
suitable 1
super 1
suppresses 1
system 1
taken 1
takes 1
taking 1
test 1
testing 2
tests 1
that 7
the 41
their 3
them 4
theoretical 1
there 1
they 2
thinks 1
this 2
those 1
though 1
through 4
tibigan 1
to 17
told 2
top 2
tries 1
true 1
tupid 1
uncomfortable 1
undercover 2
unintentionally 1
unlimited 1
upon 2
use 1
used 1
visits 1
waiting 1
wandering 1
want 1
was 1
way 1
were 1
when 2
where 1
which 5
who 7
whole 1
winiewskisnerg 1
with 4
without 2
work 1
working 1
world 2
writers 1
zajdel 1
zero 1
