1496334
/m/055y1t
/m/055y1t
Victor Hugo

15 2
160 2
1682 1
2 1
25 1
a 42
abandoned 2
abduction 2
able 1
about 1
abruptly 1
absence 1
accepting 1
accidentally 1
across 1
action 2
addresses 1
admits 1
adrift 1
after 5
against 1
age 1
alive 4
all 1
alms 1
also 2
although 3
always 2
among 1
an 6
and 46
anne 3
another 1
appears 1
are 8
aroused 2
arranged 2
arrives 1
as 8
assumes 1
at 5
attempt 1
attempts 1
attends 1
attention 2
authorities 1
away 1
band 2
bare 1
barefoot 1
barely 1
barkilphedro 1
baron 3
based 1
be 4
bear 1
bearing 1
bearskins 1
beautiful 1
beauty 1
because 1
become 1
becomes 1
been 7
before 1
beg 1
behind 1
being 1
belatedly 1
belong 1
between 1
blind 2
board 1
bored 1
boredom 1
bound 1
boy 12
breast 1
brought 1
but 7
by 11
called 1
calls 1
cannot 1
caravan 4
carnival 1
carnivals 1
carved 1
cast 2
ceremonial 2
challenges 2
channel 1
character 1
charles 1
chastised 1
chief 1
childbuyers 1
children 2
christened 1
clancharie 1
clancharlie 2
clear 1
clouded 1
clown 1
clownish 1
clutching 2
coast 1
combination 1
come 1
comes 1
command 1
commanded 1
commits 1
companion 1
company 1
compelling 1
comprachicos 3
concealed 1
condemn 1
condition 1
confession 1
confidant 1
containing 1
continent 1
conveys 1
corleone 2
corpse 1
court 2
criminal 1
crowds 1
crown 1
cure 1
daughter 1
david 6
dea 10
dead 3
death 6
defends 1
deformed 2
deformity 2
delighted 1
demeanor 1
departure 1
describes 1
desperate 1
dies 1
directs 1
dirrymoir 2
discovers 1
disfigured 2
disfigurement 1
disfiguring 1
distant 1
divulge 1
does 1
domesticated 1
domicile 1
dozen 1
dressed 2
dresses 1
drop 1
duchess 2
duel 2
dull 1
dungeon 1
during 2
each 1
earlier 1
earn 1
edge 1
eight 1
elaborate 2
emigrated 1
encounter 1
encounters 1
end 1
enemies 1
engaged 1
england 3
english 4
estates 1
even 1
ever 2
everywhere 1
excited 1
exhibited 1
exile 1
explains 1
eyes 2
face 5
facial 1
fainted 1
fairgrounds 1
fairs 2
faithful 1
fall 1
falsely 1
family 1
father 1
feature 1
features 1
fermain 7
fiance 1
fiery 1
find 2
finds 2
fingers 1
first 4
flashback 1
flask 1
folk 1
follow 1
for 13
forced 1
formal 1
formally 1
forward 1
found 1
foundling 1
frail 1
freaks 1
from 2
frozen 2
fur 1
future 1
garments 2
gibbet 1
girl 3
gives 1
go 1
goddess 1
grace 1
greyer 1
grief 1
grin 1
gross 1
grotesque 2
group 1
gwynplaine 31
had 2
half 1
hands 1
hanged 1
happy 1
hardquannone 3
has 12
haughty 1
having 4
he 22
hears 1
heir 2
her 9
heritage 1
hideous 1
him 11
himself 2
his 25
hobbesian 1
holiday 1
homini 1
homo 4
horrified 1
house 2
however 1
howling 1
hugo 2
husband 1
identifies 1
identities 1
ii 3
illegally 1
illegitimate 3
in 31
inequality 1
infancy 1
infant 3
insists 1
instated 1
instead 1
into 5
intriguer 1
introduced 1
invariably 1
invention 1
investiture 1
is 43
isolated 1
it 1
jaded 1
james 2
january 1
josiana 5
keep 1
keeps 1
kept 1
kindly 1
king 6
known 3
large 1
last 2
later 1
latin 3
laughing 2
laughter 2
leads 1
leave 1
left 1
legitimate 2
letter 1
light 1
linnaeus 3
lives 1
living 2
loading 1
london 1
long 1
look 1
lord 5
lords 4
lost 1
love 2
lover 2
lower 1
lupus 1
major 1
make 1
man 5
manages 1
manhood 1
markets 1
marquis 2
marriage 1
marry 1
mask 1
matured 1
meaning 1
meantime 1
meets 1
might 1
milk 1
minute 1
mistress 1
moments 1
monarch 1
more 2
mother 1
mountebank 1
mournfully 1
mouth 1
move 1
moves 1
must 2
mutilated 1
mutilating 1
name 2
named 2
narration 1
narrative 1
nature 1
nearly 2
nearlydead 1
night 2
nipple 1
not 3
now 11
of 39
off 1
old 4
older 1
on 5
once 1
one 3
only 4
onward 1
or 2
order 1
other 1
out 2
outraged 1
over 2
own 1
pain 1
palace 1
passing 1
passion 1
past 1
pearl 1
peerage 1
peeress 1
peers 1
performance 3
performances 1
perpetual 1
perpetually 1
perversely 1
physical 1
physician 1
point 1
possession 2
precious 1
principal 1
promised 1
proscribed 1
protracted 1
provoked 2
pun 1
purposefully 1
queen 4
ragged 1
rail 1
reaches 1
reader 2
readying 1
receives 1
recognizes 1
reflection 1
reign 2
rejects 1
remained 1
remedies 1
renaming 1
renounces 1
repentance 1
replacement 1
