17526164
/m/047qsws
/m/047qsws
Leo McKay, Jr.
2003-04-15
{"/m/02xlf": "Fiction"}
12 1
a 4
against 1
albion 1
and 4
around 1
arvel 1
at 1
backdrop 1
backward 1
based 1
beginning 1
burrows 1
changed 1
characters 1
coal 1
college 1
corruption 1
disaster 1
dropout 1
each 1
eastyard 1
ennis 1
explosion 3
family 1
father 1
fictional 1
followed 1
footsteps 1
former 1
from 1
fundamentally 1
government 1
greed 1
has 3
his 2
how 1
in 2
incident 1
kills 1
like 1
lives 1
local 1
loosely 1
mine 5
miner 1
miners 1
mines 1
nova 1
novel 3
now 1
of 8
on 1
operator 1
organizer 1
other 1
place 1
primarily 1
reallife 2
revolves 1
scotia 1
set 1
show 1
sons 1
stories 1
story 1
supporting 1
takes 1
that 1
the 14
their 2
themes 1
those 1
to 1
town 1
tragedy 1
twentysix 1
unfold 1
union 1
westray 1
who 1
with 1
working 2
zellers 1
ziv 1
