2738284
/m/0801v_
/m/0801v_
John Twelve Hawks
2005
{"/m/06n90": "Science Fiction"}
188 1
3b3 1
a 41
abandoned 1
able 9
about 1
achieving 1
advanced 1
after 1
aiming 1
air 1
alive 1
all 7
allies 1
ally 1
ambush 1
american 1
an 8
and 23
angeles 2
animal 1
animals 1
another 1
any 1
anything 1
are 11
arizona 1
arm 1
as 4
at 4
away 1
background 1
badly 1
barrier 1
barriers 2
battle 2
be 1
beach 1
because 2
become 1
been 1
before 1
behind 1
beings 1
between 1
birth 1
body 2
book 1
brethren 17
brother 3
brought 1
but 8
by 11
called 4
calls 1
can 3
capable 1
cape 1
capoeira 1
captured 1
careful 1
carry 2
centre 1
church 2
citizen 1
city 1
civilization 2
cliffhanger 1
cod 1
community 1
computer 1
condemned 1
consequence 2
contact 1
control 2
convince 4
corrigan 1
counterstrike 1
creator 1
cross 3
crossing 2
daughter 1
day 1
defeats 1
defend 2
describe 1
desert 1
designed 1
desire 1
destroy 1
determined 1
dies 1
drug 1
dwelling 1
each 1
earth 3
else 1
ending 1
enemies 1
engineered 1
enter 1
epic 1
equipped 1
everything 2
exciting 1
experiences 1
facility 1
false 1
famous 1
father 3
favored 1
fifth 2
find 6
finds 1
fire 1
first 3
five 1
flight 1
followers 1
for 8
forever 1
former 1
fought 1
four 2
fourth 2
free 1
freedom 1
from 3
fulfilling 1
full 1
gabriel 7
gabriels 1
gains 1
gave 1
genetically 1
german 1
get 2
ghosts 2
gifted 1
give 1
god 1
gods 3
goldman 1
great 1
grid 1
group 1
guide 2
had 2
half 1
halfgods 1
hand 1
handicapped 1
harlequin 5
harlequins 3
has 2
have 1
he 6
hell 1
help 5
helps 1
her 6
herself 1
hide 1
high 1
highend 1
him 11
himself 1
his 10
hold 1
hollis 3
hours 1
house 2
how 1
however 1
human 1
hungry 2
i 1
if 1
ignorant 1
immediate 1
immediately 1
imprisoned 1
in 16
inhabited 1
injured 1
instead 1
into 2
is 28
isaac 2
it 2
japanese 1
jealousy 1
join 1
jones 3
kept 1
kill 2
killed 2
killing 1
kind 1
kinds 1
king 1
knowledge 1
known 1
knows 2
last 4
leave 4
left 1
life 2
light 1
like 4
lion 1
little 2
live 2
lives 1
living 1
los 2
lucky 1
mafia 1
mankind 1
maya 8
meant 1
meantime 1
meets 1
member 3
men 1
michael 7
missile 1
mission 1
modern 1
money 1
must 1
named 2
necessary 1
need 1
never 1
new 3
normal 2
not 2
now 1
object 1
objects 1
of 37
off 1
offer 2
offering 1
officials 1
old 1
on 6
one 8
ones 1
only 3
or 1
other 10
others 1
our 2
over 5
own 1
parallel 1
parents 1
passing 1
past 1
pathfinder 4
person 1
place 1
plans 1
point 1
politicians 1
power 2
prague 1
pretty 1
pride 1
process 1
program 1
protection 1
quantum 1
real 1
realities 3
reality 2
realize 1
realizes 1
realm 12
realms 5
recently 1
recover 1
refuge 1
research 2
researching 1
resists 1
risk 1
save 1
search 1
second 1
separated 1
shadows 1
she 9
shepherd 2
show 1
side 3
silo 1
sin 3
since 1
six 1
sixth 2
slaughtered 1
snakes 1
society 1
some 1
someone 1
soul 1
special 1
splicer 1
standing 1
started 1
states 1
stay 1
stays 1
such 1
supported 2
supporting 1
surveillance 1
sword 3
t 3
takes 1
talismans 1
teacher 1
teaching 1
technologically 1
technology 3
tells 2
temple 1
temptation 1
that 6
the 78
their 5
them 9
themselves 1
then 1
there 1
these 1
they 12
third 1
this 3
thorn 1
those 2
threat 1
three 1
through 1
tibetans 1
time 4
to 39
together 1
town 1
track 1
trained 2
trainer 1
travel 2
traveler 7
travelers 6
tried 1
tries 3
try 3
trying 1
two 2
unique 1
until 1
up 1
us 1
use 3
using 1
usual 1
vikki 2
visiting 1
visits 1
want 1
wants 1
was 1
water 1
way 1
weapon 1
weapons 2
were 1
when 1
where 5
while 2
who 6
will 1
wish 1
with 9
within 2
without 2
woman 4
work 1
working 1
worlds 1
would 1
yakuza 1
young 2
zachary 1
