4534918
/m/0c7mgd
/m/0c7mgd
Laurie Lee

11 1
a 33
abandoned 2
ability 1
able 1
about 2
accompanied 1
ad 1
admittance 1
adolescent 1
adolescents 1
affair 1
affecting 1
affectionate 1
after 5
albert 1
all 1
allowing 1
almanacs 1
almost 1
also 8
among 1
amuse 1
an 3
and 59
annie 1
annual 2
another 1
answered 1
any 1
anything 1
anywhere 1
apparent 1
appearance 1
applause 1
apple 1
approved 1
arcade 1
are 6
army 1
around 1
arrange 1
arrangements 1
arriving 2
as 16
at 8
attackers 1
aunt 1
australia 1
authority 2
avoid 1
away 3
b 1
back 2
bad 1
baker 1
bank 1
beach 1
because 1
bed 1
been 1
before 1
beggar 1
beginning 1
being 2
berkeley 1
bet 1
bicycle 1
big 1
bike 1
bill 1
biological 1
birmingham 1
bite 1
blows 1
boasting 1
boney 1
bottles 1
box 1
boy 3
boys 7
bread 1
break 1
breaks 1
breed 1
bring 1
brink 1
brith 1
brother 2
brothers 3
bruiser 1
burdock 1
burly 1
burning 1
bushes 1
but 7
by 11
cabbagestump 1
called 1
calls 1
canada 1
canadian 1
candles 1
car 1
carol 1
case 1
cavalrymen 1
ceilings 1
celebrating 1
chapter 2
chapters 1
charabancs 1
charlie 3
children 4
choir 1
chores 1
christmas 1
chronological 1
church 4
cider 1
civil 1
classroom 1
clear 1
closed 1
clothes 1
clown 1
cocoatins 1
coins 1
cold 1
colourful 1
combing 1
comfort 1
community 1
complain 1
confront 1
continuously 1
cooking 1
corps 1
cotswolds 1
cottage 4
countryside 1
courage 1
courted 1
crabby 1
cupboards 1
daily 1
dame 1
damp 1
dandy 1
daughter 1
day 3
days 4
deaf 1
death 7
deep 1
delicious 1
describes 9
description 2
deserter 1
despoiling 1
devil 1
devoted 1
did 1
died 1
different 2
disappear 1
disapproved 1
do 1
doctors 1
domestic 2
down 3
downpour 1
dozen 1
drain 1
drinking 1
dropped 1
drunken 1
dry 1
dynamite 1
each 2
early 1
eileen 1
elder 1
elderly 1
eldest 1
elsie 1
emergence 1
emigrated 1
end 2
ending 1
ends 1
entered 1
entertainment 1
erdownunder 1
erupatop 1
even 1
evenings 1
events 1
eventually 2
every 1
everything 2
experiences 1
extraordinary 1
fades 1
fails 1
family 8
farmer 1
farmers 1
fat 2
father 4
ferment 1
festivals 1
fiddle 1
fields 1
fills 1
finally 2
find 1
first 6
five 1
flagon 1
flaunting 1
floods 1
floors 1
flourished 1
flow 1
follow 1
followed 1
follows 1
food 2
for 10
foraging 1
forced 2
forest 1
fought 1
found 1
four 4
frances 1
free 1
from 4
frozen 1
fruit 1
fruits 1
furniture 1
gain 1
games 1
gathering 1
gentry 1
get 2
girl 1
girls 3
glass 1
gloucestershire 1
go 2
goes 1
going 1
good 2
gorge 2
gossiping 1
gradual 1
grandfather 2
grannies 1
granny 6
great 2
grew 1
grow 1
grows 1
growth 1
had 1
hair 1
half 1
hand 1
handler 1
happy 1
harassed 1
harold 1
have 1
having 4
hay 1
he 14
heavy 1
helping 1
her 17
hike 1
hill 1
him 2
himself 1
his 28
hit 1
home 2
homework 1
hopkins 1
hot 1
house 3
housekeeper 1
houses 2
how 1
however 2
idyll 1
ill 1
illnesses 1
in 31
incest 1
individuals 1
infant 1
influence 1
inhabitants 1
inn 1
inside 1
into 7
involves 1
is 28
it 3
its 4
jack 1
jam 1
jars 1
jaunts 1
jewellery 1
jo 1
just 1
keep 1
kind 1
kitchen 3
knew 1
laid 1
land 1
large 1
larger 1
last 2
lathe 1
laurie 8
leave 2
leaves 1
lee 16
left 1
life 1
light 3
like 1
likes 1
live 1
lived 1
liveliest 1
lizzy 1
local 5
location 1
london 1
long 1
look 1
looming 1
looms 1
looser 1
lose 1
loses 1
love 3
lusty 1
machines 1
made 2
maid 1
make 1
makes 3
male 1
man 1
married 1
match 1
mayors 1
meet 1
meets 1
members 1
men 3
