10225520
/m/02q5ttp
/m/02q5ttp
Jerry Pournelle

{"/m/06n90": "Science Fiction"}
06716564x 1
176 1
2000 1
2050 1
a 10
after 1
an 1
and 9
are 1
arriving 1
as 1
baen 1
before 1
begins 1
being 1
between 1
birth 1
book 1
but 1
by 3
caught 2
city 1
colony 1
comes 1
commander 1
conditions 1
crater 1
ends 1
erica 1
events 1
excellent 1
fall 1
farm 2
farmers 1
farr 1
find 1
fire 1
for 2
forest 1
found 1
friend 1
gang 2
garret 1
garrett 2
gets 1
go 1
group 1
has 1
hasnt 1
he 3
hemisphere 1
her 1
him 4
his 2
in 6
is 2
isbn10 1
it 1
jerry 1
kiss 1
large 1
lawyer 1
learns 1
led 1
life 1
love 1
mars 2
meet 1
member 1
middle 1
more 2
multiple 1
noticed 1
of 5
offer 1
on 2
once 1
out 3
path 1
pay 1
pittson 1
playing 1
police 1
pournelle 1
prison 1
private 1
prominent 1
psuit 1
references 1
respected 1
revolution 1
rim 1
role 1
rough 1
says 1
sentenced 1
she 1
shipped 1
should 1
someone 2
sometime 1
southern 1
spend 1
starts 1
stir 1
student 1
suited 1
takes 1
tells 1
the 10
then 1
they 3
time 2
to 9
together 1
travel 1
trips 1
twenty 1
two 2
unfair 1
up 4
wait 2
wake 1
war 1
where 2
who 2
with 2
year 1
years 1
