1844480
/m/060fjw
/m/060fjw
Jean Rhys
1934
{"/m/02xlf": "Fiction"}
a 47
abhorrence 1
abortion 5
about 4
acceptance 1
accommodation 1
accommodations 1
accuses 1
accusing 1
act 1
address 1
adverts 1
afford 1
afraid 1
after 2
again 4
agrees 1
all 7
almost 1
along 2
alright 1
also 1
altogether 1
always 2
ambivalently 1
american 1
an 3
and 57
angry 1
anna 50
annoyed 1
any 2
apartment 1
apologises 2
appearance 1
appears 1
approve 3
are 4
argues 1
argument 1
around 1
arrange 1
arranging 1
arrive 1
arrives 1
as 10
asking 1
asks 2
assist 1
assures 1
at 7
attached 1
attend 1
awake 1
away 1
baby 1
back 4
be 5
because 2
becomes 2
bed 4
bedroom 2
begins 3
being 1
better 3
between 1
bigotry 1
bit 1
black 2
blackwhite 1
bo 1
book 1
bored 1
borrows 1
botched 1
both 3
boyfriends 2
brave 1
break 1
breaks 1
bringing 1
broken 1
business 1
but 9
buy 2
buys 1
by 2
called 1
can 1
cannot 2
caribbean 5
carl 2
chance 1
cheating 1
childhood 1
children 2
chorus 2
clearly 1
close 1
clothes 2
clothing 1
cold 1
colourful 1
comes 2
commands 1
compares 1
complains 1
concern 1
condition 1
consciousness 1
contrast 1
could 1
country 2
cousin 1
coverlet 1
cry 1
cut 1
dancing 1
dark 1
day 8
decide 1
decides 1
denies 1
depicted 2
describes 1
desperately 1
despite 1
destroying 1
dining 1
dinner 1
disapprove 1
discuss 1
disgust 1
dislikes 1
do 1
doctor 2
does 3
doesnt 5
dog 1
dont 2
door 1
doubt 1
down 1
dressing 1
drinks 1
each 1
early 2
else 1
end 1
ends 2
england 3
enough 1
estate 1
ethel 13
ether 1
even 1
eventually 1
everything 2
expected 2
expecting 1
experience 1
explicitly 2
extremely 1
fact 1
failing 1
fall 1
fallen 1
family 2
fare 1
father 1
feeling 1
filled 1
financially 1
first 1
fit 1
flat 1
food 1
for 18
forwarding 1
francine 1
french 1
friend 1
friendship 1
from 7
gas 1
get 4
girls 1
gives 1
glass 1
go 6
goes 14
going 4
good 2
got 2
gowns 1
greyish 1
guy 1
had 1
half 2
hallucinates 1
hand 3
has 8
have 2
he 17
heard 1
hears 1
help 1
her 48
hers 1
herself 2
hester 8
him 7
himself 1
his 6
hits 1
home 2
hot 1
hotel 1
hour 1
husband 1
hyde 1
hysterics 1
idea 1
identical 1
if 2
ill 3
illicit 1
imagines 1
implication 1
implied 1
impropriety 2
in 21
inheritance 1
injured 1
injures 1
inquisitive 1
into 3
intolerant 1
invites 1
is 37
isnt 1
it 6
itself 1
ive 1
job 3
joe 2
jumps 1
keep 1
kept 1
knee 1
landlady 4
last 2
laurie 7
learn 1
leave 3
leaves 1
leaving 2
letter 6
letters 2
lies 2
life 1
like 2
line 1
little 1
living 1
lodging 1
london 1
long 2
longer 2
loses 1
love 3
lover 1
madam 1
major 1
make 1
makes 1
man 4
manicure 1
manicurist 1
marry 1
masquerade 1
massage 3
maudie 4
meal 1
meant 1
meet 4
meeting 1
meets 5
men 3
mentions 1
might 1
mind 1
miscegenation 1
mismanaging 1
money 6
moody 1
more 2
morning 1
moves 1
mrs 2
much 3
must 2
name 1
narrative 1
need 1
needs 1
negatively 1
never 1
new 4
next 2
no 6
not 6
nothing 1
novel 1
now 1
obviously 2
of 26
off 1
offers 1
old 1
on 5
one 7
only 1
open 1
opposite 1
or 2
orders 1
other 2
out 8
outsider 1
over 2
overtly 1
owes 1
paid 1
paragraph 1
park 1
part 2
pass 1
pay 2
pays 1
peach 1
persuading 1
picture 1
pictures 1
place 3
polo 1
pondering 1
possibilities 1
possible 1
private 1
professionals 1
property 1
prostitute 2
prostitutes 1
puts 1
quarters 1
racist 1
racket 1
raise 1
ready 1
reason 1
receives 3
recent 1
redman 3
refurnished 1
relieved 1
rendezvous 1
rent 1
repeatedly 1
reply 1
responsibility 1
restaurant 1
return 2
returns 2
right 1
robinson 1
room 3
running 1
runs 1
said 1
say 1
saying 4
says 6
scene 1
scenes 1
seductions 1
see 2
seek 1
seem 1
sells 1
sends 1
sent 2
servant 1
shattering 1
she 52
shell 1
shoe 1
short 1
should 1
show 1
shuts 1
sickness 1
sign 1
sleep 1
smirking 1
so 3
sold 1
some 6
soon 3
sorry 1
southsea 1
stand 1
start 1
states 2
staying 1
stepmother 2
still 2
stream 1
suddenly 2
suggestive 1
support 2
supported 1
sure 1
sympathy 1
table 1
take 3
taken 1
takes 2
taking 1
talking 1
taxi 1
tea 1
tell 1
tells 6
text 1
than 1
that 30
the 57
their 3
them 3
then 2
there 3
they 17
thinks 1
this 2
though 1
throughout 1
throws 3
time 4
times 1
tipsy 1
to 54
together 2
too 3
tours 1
towns 1
tries 1
trip 2
trouble 1
turn 1
two 2
uncle 4
unwell 1
up 7
upset 1
us 1
used 1
utterly 1
vehemently 1
very 3
vincent 6
virginity 1
visit 4
visits 3
voice 1
waited 1
waits 1
walk 4
walks 1
walter 15
want 1
warm 1
was 4
water 1
way 2
we 1
wealthy 1
what 1
when 7
where 2
which 5
while 3
whilst 1
white 1
who 5
whom 1
will 5
wishing 1
with 15
within 1
without 1
wives 1
woman 2
wonderful 1
wont 2
would 1
