352645
/m/01zgw0
/m/01zgw0
David Almond
1998
{"/m/0dwly": "Children's literature", "/m/0127jb": "Magic realism", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
27 1
53 1
a 8
about 1
across 1
after 1
air 1
ale 1
all 1
amid 1
and 21
angel 1
anxious 1
apart 1
are 2
arthritic 1
arthritis 1
as 3
asks 1
aspirin 1
assumes 1
attending 1
baby 6
become 2
being 1
birds 2
blades 1
blake 1
born 1
boxes 1
boy 1
brown 1
but 1
by 1
care 1
chinese 1
close 2
come 1
comes 1
condition 1
course 1
crotchety 1
cure 1
dangerously 1
dead 1
death 1
debris 1
decides 2
demanding 1
distant 1
doctors 1
drawing 1
dreams 1
due 1
emaciated 1
falling 1
family 1
finds 1
food 2
friends 2
from 3
garage 2
garden 1
girl 1
gives 1
goes 2
had 1
have 1
he 5
hear 1
hears 1
heart 2
her 4
high 1
him 2
himself 1
his 6
hold 1
home 1
homeless 1
hospital 2
house 1
how 1
human 1
in 5
insects 1
interested 1
into 2
introduce 1
introduced 1
introduces 1
is 6
it 2
less 1
little 1
live 2
look 1
man 3
may 1
meanwhile 1
meets 1
menu 1
michael 12
mina 3
more 2
mother 2
moved 2
must 1
named 1
nature 1
new 2
night 1
not 1
numbers 1
of 3
old 2
or 1
order 1
over 1
parents 1
patients 1
person 1
pick 1
poems 1
prematurely 1
road 1
saving 1
school 2
schooled 1
sees 1
she 1
shoulder 1
sister 4
skellig 2
so 1
some 1
sounds 1
spends 1
stay 1
stops 1
story 2
strange 2
surgery 1
takes 1
talking 1
teaches 1
that 4
the 12
their 1
them 1
they 1
though 1
time 1
tiny 1
to 12
treated 1
undergo 1
up 1
very 2
vestige 1
was 1
when 1
where 1
which 1
who 1
whom 1
william 1
wings 1
with 2
