2008234
/m/06dnpv
/m/06dnpv
Robin Jarvis
1989
a 12
after 1
albert 4
albino 1
alive 1
along 1
also 2
among 1
an 1
and 15
are 2
arthur 2
as 3
at 1
audrey 5
aware 1
back 1
banish 1
bat 1
be 1
begin 1
behind 1
bidding 1
black 2
brings 1
brother 1
brought 1
brown 4
but 1
by 4
captured 1
cat 1
celebrate 1
chamber 1
cheeky 1
chitter 1
city 1
conquer 1
cornish 1
cousin 1
dark 7
daughter 1
daydreaming 1
dead 1
death 2
defeats 1
deity 1
depart 1
deptford 2
despairs 1
destroyed 1
devoured 1
did 1
do 1
doom 1
down 1
downfall 1
drag 1
during 1
ears 1
enabling 1
enchantments 1
escapes 1
evil 3
except 1
explodes 1
eyes 1
falls 1
father 2
fear 1
fieldmouse 1
fills 1
firstly 1
flinging 1
flooding 1
floods 1
for 3
foretells 1
friends 1
from 2
funny 1
glimpses 1
glowing 1
god 3
grate 1
grave 1
green 1
gwen 1
has 3
hates 1
he 5
her 3
him 3
his 7
home 2
however 1
humans 1
in 4
inside 1
into 4
is 10
it 2
journey 1
jupiter 9
known 2
knows 1
lair 1
large 1
leave 1
legion 1
lieutenant 2
lord 1
lost 1
lurks 1
malevolent 1
many 1
meets 2
mice 4
midshipmouse 1
monstrous 1
more 1
morgan 2
mother 1
mouse 2
mousebrass 1
no 1
none 1
not 1
number 1
of 9
old 1
on 1
once 2
one 2
only 1
or 1
orfeo 1
oswald 1
other 1
piccadilly 3
piebald 1
plan 1
plump 1
portal 1
presence 2
pulled 1
rapidly 1
rat 2
rats 3
realising 1
really 1
resolving 1
return 1
revealed 1
ridding 1
rings 1
rise 1
runt 1
scuttle 1
seen 1
sewer 1
sewers 3
sickly 1
simple 1
skirtings 1
spirits 2
spring 1
stump 1
surface 1
surviving 1
tail 1
talisman 1
tenseconfrontation 1
than 1
thankful 1
that 5
the 36
then 2
there 5
they 5
this 1
thomas 1
throneroom 1
through 2
to 8
tortured 1
triton 1
truly 1
tunnel 1
tunnels 2
twit 1
unleash 1
up 1
venture 1
wall 1
water 1
watery 1
when 1
where 2
which 1
who 4
william 1
with 4
world 2
worship 2
woven 1
