6350429
/m/0g24vv
/m/0g24vv
Tamora Pierce
2005-11
a 38
abilities 1
ability 3
able 2
about 1
accept 1
accepted 1
access 2
accesses 1
accompany 1
accustomed 1
acquaintance 1
addition 1
adult 1
advances 1
adventure 1
after 7
again 2
against 2
agree 1
agrees 1
ahead 2
aid 1
all 2
allow 1
allowing 1
allows 1
alluded 1
alone 1
although 1
amicable 1
amplified 1
an 4
and 63
anderran 1
another 1
anyone 1
apart 1
appeal 1
appeals 1
are 9
arsonist 1
as 13
asks 2
assuage 1
at 3
attempt 1
attempted 1
attempting 2
attentions 1
aware 1
awkwardness 1
back 1
barrier 4
battle 1
be 2
beautiful 1
beauty 1
because 3
become 1
becomes 1
bedroom 1
been 5
before 2
behind 2
being 1
believes 1
ben 1
benefit 1
benefits 1
berenene 9
betrayed 1
between 1
bibliophily 1
bind 1
binds 1
bond 5
bones 1
book 4
books 1
border 6
both 2
box 2
breach 1
briar 21
bride 2
but 3
by 15
bypass 1
caidy 2
calling 1
calls 2
can 1
captive 1
captors 2
carry 1
castle 1
casts 1
catch 1
causes 1
causing 1
chandler 1
chapters 1
characters 2
charity 1
charms 2
childhood 1
choose 1
circle 8
circular 1
citadel 1
clarified 1
clehamat 1
climactic 1
close 1
clothing 1
cocoon 1
cold 1
combine 1
come 1
commenting 1
comments 2
common 1
communicate 1
companion 1
companions 2
company 2
compete 1
complete 1
completely 1
confronted 2
connection 3
continue 1
contract 1
coping 1
cottage 1
country 1
court 5
courted 1
courtship 2
cousin 1
covered 1
created 1
cross 1
crossing 1
curse 1
custom 2
daja 22
dalach 1
dance 1
dancing 1
dancruan 3
dark 1
dead 1
decide 1
decides 2
departure 1
desire 2
despite 2
develop 1
developing 1
develops 3
disappears 1
discipline 1
discourteous 1
discovered 1
discuss 1
disorder 1
dissuade 1
distance 1
distancing 1
doesnt 1
dont 1
down 1
drained 1
draining 1
droughtwort 1
ducal 1
duke 1
during 4
duties 1
each 6
earldom 1
eater 1
efforts 1
emelan 4
emotions 1
empress 16
encounter 1
encouraged 1
ending 1
engage 1
enjoys 1
entails 1
entice 1
entourage 1
escape 1
escort 1
estate 6
estrangement 1
eventually 1
experienced 1
experiences 3
extent 1
extracting 1
fa 2
face 1
fall 1
families 1
family 1
fantastic 1
favor 1
fear 1
feel 1
feeling 2
feelings 2
fer 3
few 1
fight 1
fin 5
finds 2
finlach 1
fire 1
first 5
flirtatiousness 1
flustered 1
for 5
forced 2
former 1
fostersiblings 1
found 1
four 13
fracture 1
free 1
frequently 1
friend 1
friendly 1
friends 1
friendship 3
from 13
frustrated 1
funds 1
gardener 1
gesture 1
go 1
gone 1
greenhouses 1
guards 2
gyongxe 2
had 8
halfnamornese 1
halfway 1
hand 1
has 4
have 4
having 3
he 12
head 1
hears 1
heartbroken 1
help 1
her 49
herself 1
him 6
his 9
holding 1
home 2
horse 1
house 1
housekeeping 1
hurich 1
hurt 1
identities 1
if 1
ill 1
illegalize 1
imperial 1
in 34
incarceration 2
including 3
income 1
increasing 1
ineffectual 1
infatuation 1
inherited 1
injured 1
inner 1
insists 1
intense 1
interests 1
into 1
introduces 1
invested 1
invitation 1
invited 1
invites 1
inviting 1
involve 1
involved 1
is 18
ishabal 4
it 3
itself 1
jak 2
jakuben 1
joint 1
julih 1
just 1
keep 2
keeping 1
kidnapped 2
kidnapping 2
kidnaps 1
kiss 1
kisses 1
kisubo 1
known 1
ladradun 1
ladyhammer 2
landreg 2
large 1
later 2
lays 1
lead 1
learn 1
learned 1
learns 2
leave 2
leaves 3
leaving 3
left 2
legal 1
less 1
level 1
levying 1
library 1
lies 1
lieu 1
live 2
living 1
locking 1
lover 1
low 1
lump 1
lumps 1
mage 2
mages 5
magic 4
magical 4
magically 3
magicdampening 1
magicproof 1
main 1
mainly 1
maintain 1
maintaining 1
makes 1
man 1
manifests 1
manner 1
many 1
marriage 3
marriages 1
marry 1
may 1
means 1
meeting 1
meets 1
mental 3
merchant 1
might 1
minds 1
mistress 1
more 1
morning 1
moss 1
most 2
mother 1
move 1
much 2
naked 1
namorn 10
namornanderran 1
namornese 5
nearly 1
never 1
new 1
newly 1
nightmares 1
nobleman 1
nobles 1
noblewoman 1
none 1
not 1
novel 2
now 1
of 51
off 1
offer 1
offering 1
offers 1
on 10
once 1
one 2
only 2
open 1
openly 1
opens 1
or 2
order 1
orders 1
original 1
other 5
others 1
out 4
over 2
own 1
palm 1
paralyzed 1
part 3
party 1
pennun 1
perceives 1
pershan 1
personal 1
persuades 1
plant 1
plot 1
portrait 1
position 1
postclimactic 1
posttraumatic 1
pouch 1
power 3
powerful 3
powers 1
prepares 1
prevent 2
previous 1
primary 1
private 1
proposal 1
prospective 1
protagonists 2
public 2
punctuated 1
pursue 1
quartet 1
quen 1
quenaill 3
quickly 1
raises 1
rarely 1
realizes 1
reassures 1
rebuffs 1
