9976510
/m/02pyp02
/m/02pyp02
Ralph Salaway

{"/m/0lsxr": "Crime Fiction"}
157 1
a 19
acquaintance 1
acquainted 1
action 1
adventures 1
after 3
afterschool 1
agrees 1
along 1
also 1
altered 1
amass 1
ambition 1
an 1
and 14
angeles 1
another 1
appealing 1
army 1
artful 1
artist 1
as 1
ashamed 1
at 4
attempted 1
attended 1
bar 1
bartender 1
beating 1
beautiful 1
became 1
because 1
become 1
been 1
being 2
between 1
big 1
blackmail 2
blackmailers 1
boarding 1
book 1
bring 1
bulk 2
but 2
buy 2
california 1
calls 1
camera 1
can 1
car 1
casually 1
caught 2
characters 1
chase 1
cities 1
city 1
climax 1
close 1
closet 1
comes 1
committed 1
company 1
compromising 1
con 3
confidence 1
conflict 1
connerthe 1
conscience 1
contact 1
conventiongoers 1
conventions 1
convinces 2
correct 1
craps 2
crooked 1
danny 12
dice 3
disaffected 1
disdain 1
dishonest 1
displays 1
distant 1
doesnt 1
dozen 1
drinks 1
driver 1
earnings 1
earns 1
end 1
enough 2
ensue 1
enthusiasm 1
enticed 1
enticing 1
eventually 1
expelled 1
extortedor 1
extorthushup 1
extraordinary 1
fatal 1
feel 1
film 1
firm 1
first 1
fleecing 1
for 1
former 1
friend 1
from 3
gambling 1
game 2
games 1
gay 1
good 1
greed 1
has 4
have 1
he 5
help 1
her 4
high 2
him 2
his 7
hogan 1
home 1
hoping 1
hotel 1
in 15
including 1
infrared 1
into 1
it 1
its 1
jill 1
job 1
joe 4
keeping 1
las 1
last 1
later 2
left 1
legit 1
likely 1
loaded 1
loftier 1
lonely 1
longer 1
los 1
loses 1
lovelli 1
mails 1
male 1
manager 1
masculinity 1
meets 1
men 3
mindbuying 1
mobrelated 1
money 4
more 1
mostly 1
motel 1
near 1
no 1
novel 2
now 2
number 1
of 12
office 1
one 1
only 2
operate 1
order 1
ordinary 1
own 2
photographs 1
pickup 1
placed 1
politically 1
positions 1
pregnant 1
pretty 1
probably 1
propels 1
purpose 1
quit 1
realize 1
received 1
recognize 1
recognizes 1
reed 1
reluctant 1
remains 1
renews 1
room 1
run 1
same 1
school 4
second 1
seedy 1
seems 1
separate 1
she 6
shill 1
short 1
shot 1
sideline 1
skills 1
snapped 1
so 1
some 1
son 2
soon 1
start 2
struggling 1
subsequent 1
suckers 1
support 1
surrounds 1
tells 1
than 1
that 4
the 16
their 6
them 3
then 1
they 1
time 2
to 18
too 1
torgus 2
toward 1
town 1
truck 2
trucking 3
truckingcan 1
twice 1
two 1
unaware 1
unbeknownst 2
until 1
use 1
used 1
using 3
various 1
vegas 1
velma 13
victim 1
victims 1
waited 1
wants 1
was 2
way 2
were 1
when 1
where 3
whom 2
with 7
working 1
years 1
young 3
