1122051
/m/047yzb
/m/047yzb
Jon Krakauer
1996
{"/m/014dsx": "Travel", "/m/017fp": "Biography", "/m/04z2hx": "Travel literature", "/m/014dfn": "Speculative fiction", "/m/05h83": "Non-fiction", "/m/0xdf": "Autobiography"}
10 1
11 1
12 1
134 1
16 1
17 1
20 1
2007 2
30 1
6 1
a 18
abandoned 1
according 1
accordingly 1
account 1
acids 1
actually 2
adaptation 1
addition 2
adopting 1
after 3
age 1
aided 1
alaska 6
alaskan 1
alexander 1
alkaloid 1
all 1
alpinum 3
also 3
although 1
amino 1
an 4
analysis 2
and 22
anyone 1
approximately 1
are 1
area 1
around 1
artist 1
as 9
ascetic 1
assortment 1
at 3
attempt 1
attempted 1
author 1
bag 2
based 1
basis 1
be 2
became 2
because 1
become 2
bed 1
been 2
before 1
being 1
berries 1
between 2
biochemist 1
blocked 1
blocking 1
body 4
boggy 1
book 2
botany 1
bus 3
but 1
by 9
camp 1
can 1
carthage 1
cause 2
caused 1
causes 1
chemical 1
choosing 1
chris 3
chriss 1
christopher 1
claims 1
clausen 1
clausens 1
clausenthe 1
climb 1
coast 1
college 1
commonly 1
complete 1
compounds 1
confused 1
confusing 1
consume 1
contained 2
coordination 1
could 2
dakota 1
damp 1
david 1
davies 1
days 1
death 2
decade 1
decided 1
demise 1
derelict 1
describes 1
desert 1
detail 1
devils 1
died 1
diet 1
different 1
difficult 1
digestion 1
dr 3
during 2
early 1
eat 2
eaten 1
eating 1
edible 2
elevator 1
entry 2
eskimo 2
ethnobotany 1
even 2
ever 1
everett 1
every 1
examined 1
excerpt 1
exhaustive 1
experiences 1
explores 1
extremly 1
fairbanks 2
false 1
fat 1
fault 1
favorite 1
fend 1
fiction 1
film 2
filmhas 1
find 1
first 1
flora 1
for 6
foraging 1
found 3
friends 1
from 3
further 1
gameincluding 1
gathered 1
get 1
glucose 1
graduation 1
grain 1
grief 1
growing 1
guide 1
h 1
had 5
hand 1
happened 1
have 6
he 12
hedysarum 4
henry 1
hike 1
himself 1
his 7
hitchhiking 1
however 4
hypotheses 1
hypothesis 2
hypothesized 2
hypothesizes 1
if 2
impending 1
in 27
incorrect 1
indicating 1
influenced 1
inside 1
instead 3
intensely 1
interprets 1
into 2
is 11
it 1
its 1
itself 1
jack 1
jon 2
journal 2
journey 1
july 2
just 1
kari 1
keeping 1
kept 1
known 2
krakauer 15
krakauerconcluded 1
laboratory 1
laboring 1
later 4
lean 1
leave 1
legal 1
leguminicola 2
length 1
less 1
likely 2
likewise 1
literature 1
lived 1
livestock 1
local 1
locoweed 1
london 1
lore 1
loss 1
mackenzii 1
mackenziigiven 1
made 2
man 1
may 3
mccandless 19
meat 1
medical 1
melted 1
men 1
metabolism 1
might 1
missing 1
mistake 1
mistakenly 1
modern 1
modified 1
mold 5
moldy 1
moniker 1
months 1
mooseand 1
more 1
moreover 1
motivations 1
name 1
neither 1
neurological 1
next 1
no 3
nor 1
not 5
nourishing 1
now 1
nutrient 1
of 24
off 1
on 5
one 1
only 1
onscreen 1
or 2
other 1
otherwise 1
out 1
over 1
own 2
owned 1
parents 1
part 1
pea 4
penn 3
penns 1
person 1
personality 1
photograph 1
planned 1
plant 4
plantlore 1
plants 3
pnbsp128 1
poison 2
poisoned 4
poisonous 2
portrayed 1
possibly 2
potato 5
potatoes 1
powered 1
priscilla 1
problems 1
proved 3
puzzlement 1
rather 1
reads 1
recounting 1
relates 1
reported 1
reprinting 1
rest 1
retraced 1
rhizoctonia 2
rice 1
rid 1
river 1
roots 3
route 1
ruess 1
russell 1
scenario 1
sean 2
seed 1
seeds 8
september 1
shed 1
shooting 1
shows 2
sick 1
similar 1
similarities 1
simply 1
since 1
single 1
sister 1
so 1
some 2
something 2
south 1
species 1
speculates 1
spent 1
spring 1
starvation 2
starved 1
states 1
steps 1
stores 1
stories 1
subsequent 1
such 2
suggested 1
suggesting 1
suggests 2
summer 1
supertramp 1
survive 1
survived 1
swainsonine 1
sweet 5
symptoms 1
tanaina 1
terrain 1
tested 1
testing 1
text 1
than 2
that 14
the 52
theory 1
there 2
this 6
thomas 2
thoreau 1
thumb 1
thus 3
time 1
to 17
too 2
tough 1
toxic 3
toxins 2
tragically 1
tram 1
tried 1
turned 1
two 3
unable 2
unfortunate 1
university 2
unlikely 1
up 2
upstream 1
use 1
using 1
utah 1
vanished 1
variety 1
wanderer 1
was 8
way 1
wayne 1
weak 1
weakness 1
wellnourished 1
went 1
were 4
westerberg 1
wh 1
when 3
which 5
who 3
wild 9
wilderness 2
would 1
writer 1
writings 1
wrote 1
year 1
years 1
young 2
