7553568
/m/0265658
/m/0265658
Frank Norris
1903
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
able 1
abroad 1
accustomed 1
action 1
admits 2
affair 1
affairs 1
after 3
again 1
agrees 1
all 10
alone 1
am 1
an 2
analysis 1
and 40
any 1
anything 1
apparently 1
are 10
around 1
arrival 1
art 1
artist 1
as 5
asks 1
at 7
attitude 1
auditorium 1
aunt 2
awaiting 1
away 2
battle 1
be 7
beauty 1
becomes 2
been 3
before 2
begins 2
behaving 1
being 1
best 1
board 4
book 1
both 2
broken 1
broker 1
building 2
bulls 1
bushels 1
but 3
by 6
came 1
can 3
cannot 3
cant 1
captivated 1
captures 1
cares 1
chapter 1
charm 1
chase 1
chicago 2
clear 1
companionship 1
complain 1
concentrate 1
concern 1
confessesi 1
confessing 1
continues 2
control 1
conversation 1
coquettishly 1
corner 2
corthell 9
counting 1
couple 2
court 1
courting 1
crazed 1
cressler 4
cresslers 1
curtis 3
dangers 1
day 2
days 1
dazzle 1
deafening 1
deal 1
dear 2
dearborn 2
dearest 1
decides 2
declares 1
dedicate 1
described 1
desires 1
despite 2
destroyed 1
dictate 1
discover 1
discovers 2
dismisses 1
distressful 1
do 1
does 2
doing 1
dont 4
down 2
drives 1
during 1
each 2
eclipses 1
else 1
end 1
enjoys 1
enough 1
enraged 1
even 3
evening 1
ever 2
every 1
everything 1
exacting 1
excitement 1
exhilaration 1
expresses 1
extent 1
extravagant 1
extremity 1
exuberant 1
fact 1
feeling 2
feels 1
final 1
finally 2
financially 1
first 2
for 12
forces 1
found 1
friend 2
friendship 1
from 3
frustration 1
fun 1
game 1
getting 1
girls 1
give 1
glorious 1
go 1
going 2
good 1
grain 1
great 1
greatest 1
greedy 1
gretry 2
grows 2
guests 1
had 2
happiness 2
happy 1
has 4
have 2
having 4
he 9
head 1
health 1
hear 1
her 12
here34 1
herself 2
high 1
him 5
himself 1
his 16
horrors 1
hosts 1
hour 1
house 2
however 2
huge 1
husband 3
husbands 1
i 13
if 3
im 1
impossible 1
in 9
including 1
increasingly 1
individual 1
inescapable 1
infatuation 1
inside 1
insist 1
intentions 1
interested 1
internal 1
intimacy 1
is 18
it 7
italy 1
its 1
jadwin 15
jadwins 3
joined 1
joseph 1
june 1
just 1
kind 2
know 1
knowing 1
knowledge 1
known 1
la 1
landry 3
last 2
laura 15
lauras 2
learn 1
leave 1
left 2
let 2
library 1
life 1
literature 1
little 2
lonely 1
lonesome 1
long 1
lost 1
love 9
loved 2
loves 4
made 1
maintain 1
makes 1
man 6
many 2
market 2
marriage 2
married 2
marry 1
marrying 1
mature 1
mcelrath 1
me 2
mean 1
meanwhile 1
men 2
mental 1
mind 1
miss 1
money 1
more 5
mr 7
mrs 4
much 1
murmur 1
myself 1
mysterious 1
natures 1
needs 1
neglected 1
nervecurtis 1
nerves 1
never 3
new 1
night 2
no 1
not 6
nothing 1
novel 1
nowadays 1
object 1
observes 1
obsessed 1
obsession 1
of 35
often 1
oh 1
on 4
once 2
only 4
opens 1
opera 1
or 3
other 3
others 1
outside 1
over 1
own 1
page 1
papers 1
passage 2
passion 1
past 1
people 1
persistence 1
physical 1
pieces 1
pit 3
position 1
poverty 1
power 1
price 1
problems 1
promises 1
provide 1
reader 1
rediscover 1
reduced 1
reenters 1
refuses 1
regardless 1
renews 1
replaced 1
reports 1
reservations 1
resist 1
return 1
richer 1
roar 1
romance 1
ruined 1
salle 1
see 2
seems 2
selfish 2
sends 1
sensitive 1
serious 1
shake 1
she 19
sheldon 2
shows 1
sister 1
sisters 1
sleep 1
sleeps 1
so 4
something 2
sometimes 3
soon 3
source 1
speaks 1
speculating 2
speculation 1
spends 1
spent 1
street 2
suitors 1
summed 1
sure 2
taking 1
talking 1
tell 1
than 5
that 22
the 58
theatre 1
their 7
them 1
then 1
there 5
these 1
they 1
theyve 1
think 2
this 9
though 5
thought 2
three 2
through 3
time 5
times 2
to 29
together 1
toll 1
towards 1
trade 4
trading 2
trends 1
tries 1
troubles 1
truly 1
unbelievably 1
unparalleled 1
until 2
up 4
uplifting 1
used 2
values 1
very 3
vulnerable 1
want 2
wants 1
warned 1
was 3
way 1
we 1
wealthy 1
weary 1
weekend 1
well 1
wellacquainted 1
wess 1
west 1
what 1
whatever 1
wheat 4
wheatwheatwheat 2
when 8
which 1
while 1
who 3
wife 3
will 4
willing 2
with 11
woman 2
wonder 1
wont 1
working 1
world 1
worries 1
would 2
years 1
you 5
young 1
your 2
