817035
/m/03dwx_
/m/03dwx_
Charles Dickens
1841
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
13 1
1775 1
1780 1
20yearold 1
22 1
27th 1
a 26
advances 1
after 2
again 1
ago 1
all 1
along 2
american 1
an 2
and 51
anniversary 1
annuity 1
anticatholic 1
apprentice 1
are 12
area 1
arm 2
arrested 1
arrive 1
as 5
assumed 1
at 10
attempt 2
attempts 1
back 2
bad 2
barnaby 15
be 6
because 1
become 1
becomes 2
beds 1
been 3
begins 1
being 1
believing 1
bell 1
betrayed 1
blind 1
body 1
boot 1
both 1
bounty 1
break 1
bridge 1
brother 1
burn 4
but 2
by 12
captive 1
capture 1
captured 2
catholic 3
changed 1
chester 5
chigwell 2
child 1
chosen 1
churches 1
churchyard 1
city 1
clients 1
clock 1
clothes 2
commits 1
compelled 1
composed 1
conceivable 1
continent 1
convinces 1
country 1
crime 1
criminal 1
cronies 1
crowd 1
crushed 1
daisy 2
daughter 2
day 2
dead 1
debtors 1
deceased 1
decides 1
dennis 6
depart 1
departs 1
describes 1
despite 2
detachment 1
dickens 1
die 1
dishonorable 1
dolly 4
doubtless 1
duel 1
duped 1
early 1
edward 7
efforts 1
emma 6
enemies 1
enough 1
escape 2
escapes 1
estate 1
evening 2
event 1
exacting 1
expensive 1
explanation 1
families 1
farm 1
father 6
feels 1
fighting 1
finally 1
find 1
finding 2
finds 1
fire 1
five 1
flee 1
for 8
former 1
fostered 1
foul 1
found 2
friends 1
from 5
gabriel 5
gardener 4
gashford 2
gathered 1
geoffrey 8
george 2
get 2
ghost 1
gives 1
go 1
goes 1
gone 1
goodbye 1
gordon 2
grip 1
ground 1
growth 1
grueby 1
guard 1
guide 1
had 5
hairraising 1
handbill 1
hanged 1
hangman 2
haredale 14
has 3
haunting 1
have 3
having 1
he 8
head 1
heading 1
headquarters 1
hear 1
held 3
help 2
her 1
here 1
highwayman 1
himself 1
his 19
home 1
homes 1
honest 1
hoping 2
hostler 1
household 1
hugh 8
identified 1
idiot 1
ill 1
in 16
inciting 2
indies 2
inn 3
innocent 1
intent 1
intentions 2
interitance 1
into 2
is 11
it 1
jailer 1
jewelry 1
joe 6
john 10
join 1
joining 1
joins 1
judged 1
killed 2
later 4
laws 1
leaders 1
leaves 3
leaving 1
led 1
left 1
legs 1
lifestyle 1
live 1
living 1
local 2
locksmith 2
london 4
loots 1
lord 2
lose 1
lost 1
love 1
loves 1
maid 1
man 2
many 1
march 1
married 2
marry 1
maypole 12
meanwhile 1
meeting 1
member 1
men 2
met 1
miggs 2
miles 1
military 1
missing 1
mob 3
money 1
most 1
mother 6
mrs 1
murder 3
murderer 2
mysterious 2
ned 1
needing 1
never 1
newgate 3
next 1
niece 1
night 1
now 2
occurred 1
of 31
off 3
on 8
one 3
onearmed 1
only 2
oppose 1
order 1
out 6
owner 1
pair 1
pardoned 1
parliament 2
part 1
patrolling 1
pay 1
pet 1
plans 1
pleas 1
police 1
position 1
prepared 1
prison 2
prisoner 1
prisoners 2
proprietor 2
proprietors 1
protect 1
protestant 2
prove 1
pursuer 1
quarrels 2
quietly 1
raven 1
rebuilt 1
receive 1
receiving 1
recruiting 1
refuge 1
refuse 1
refuses 1
regulations 1
rejected 1
release 1
reports 1
rescue 1
rescued 1
rescuers 1
residence 1
returned 1
reuben 7
revenge 1
revolution 1
rich 1
rioters 7
riots 2
river 1
round 1
rudge 3
ruins 1
say 1
scatter 1
scum 1
secretary 1
see 1
seek 1
seeking 1
sees 1
sends 1
sentenced 1
sentiment 1
servant 1
several 1
shadowy 1
she 3
shoeblack 1
should 1
side 1
sides 1
simon 2
sir 3
smoldering 1
soldier 1
soldiers 2
soloman 2
son 1
special 1
sprinkled 1
sr 1
stagg 1
steward 2
stopping 1
storm 1
story 3
stranger 3
streets 1
suicide 1
support 1
surrey 1
suspects 1
suspicion 1
switched 1
sworn 1
taken 2
takes 1
taking 1
tale 1
talents 1
tappertit 2
tavern 1
tells 1
tending 1
that 3
the 89
their 5
them 6
then 4
there 1
these 1
they 3
this 2
three 4
throng 1
through 1
throw 1
to 37
tower 2
treatment 1
treats 1
tries 1
turn 1
turns 3
two 1
tyburn 1
uncle 1
union 1
unknown 1
untruthfully 1
unwanted 1
up 1
use 1
varden 8
very 2
village 2
visitor 1
visitors 1
visits 1
volunteers 1
wanders 1
warren 3
was 4
way 4
weather 1
wellknown 1
were 2
west 2
westminster 1
when 1
where 2
whereabouts 1
which 4
who 1
whom 2
whose 1
wife 1
will 1
willet 4
winding 1
winter 1
wintry 1
with 11
without 1
woman 2
women 1
worst 1
year 1
years 3
zealots 1
