4956449
/m/0cw_pf
/m/0cw_pf
Roger Zelazny
1981
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 4
ability 1
an 1
and 1
arduous 1
but 2
come 1
complete 1
control 1
det 1
detson 1
ever 1
fantastic 1
father 1
has 1
he 1
his 2
home 1
implied 1
in 1
initiation 1
into 1
is 1
lord 1
madwand 1
must 1
natural 1
necessary 1
no 1
now 1
of 4
place 1
pol 2
powerful 1
powers 1
rites 1
rule 1
sequel 2
society 1
son 1
sorcerer 1
still 1
story 2
survive 1
take 1
talent 1
that 1
the 3
to 3
training 1
unsurpassed 1
untrained 1
was 2
written 1
