2040389
/m/06gzsr
/m/06gzsr
Judy Blume
1980
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/09kqc": "Humour"}
11 1
178 1
a 22
about 4
absence 1
accepts 1
according 1
accustomed 1
acts 2
advertising 1
after 1
afterwards 1
age 2
agency 1
alex 4
all 3
allergic 1
already 1
also 4
although 1
always 2
an 1
and 25
anne 5
announce 1
announces 1
are 3
art 1
as 2
assembly 1
assigned 1
at 9
attention 1
author 1
away 2
awkward 1
babies 1
baby 2
back 2
bakery 1
be 7
beautiful 1
because 1
become 3
becomes 1
believing 1
best 1
better 1
big 1
biggest 1
bike 1
bird 3
birth 1
blame 1
book 4
boring 1
born 1
boy 1
brian 1
bright 1
bring 1
brother 2
budge 1
but 4
butter 1
by 3
cabinetry 1
called 1
can 1
cant 1
carbon 1
cartoon 1
causes 2
cds 1
christmas 2
city 3
claims 1
class 2
classroom 1
climbing 1
cold 1
come 1
comes 2
coming 1
company 1
contain 1
copy 1
course 1
courses 1
crush 1
curiosity 1
daniel 2
debuted 1
decides 4
develops 1
different 1
disapproved 1
discovering 1
down 1
dry 1
each 1
eat 1
edited 1
edits 1
electric 1
elementary 1
end 1
enrolled 1
even 1
event 1
eventually 1
ever 1
experience 1
expert 1
family 1
far 1
fargo 2
farley 1
fast 1
father 1
favorite 1
fears 1
feather 1
feeling 1
feels 1
film 2
finds 1
following 1
for 12
forward 1
found 1
fouryearold 1
friend 2
friends 3
from 4
fudge 20
furthermore 1
gained 1
gets 1
getting 1
girl 2
girlboy 1
gives 1
goals 1
goes 1
going 1
gotten 2
grade 1
grows 2
had 2
has 2
have 3
having 1
he 27
help 1
her 1
high 1
highs 1
him 5
his 16
history 1
home 1
how 1
however 2
ice 1
idea 1
in 14
including 1
inspired 1
instead 1
into 1
invented 1
is 15
isnt 1
it 7
jealous 1
jersey 1
jewish 1
jimmy 5
joanne 2
job 1
joke 1
kindergarten 1
kinds 1
kissing 1
known 1
knows 1
krypton 1
lane 1
later 1
learns 1
leave 1
left 1
legal 1
life 2
like 2
likes 2
list 1
local 3
lois 1
looks 1
lot 1
loved 1
lows 1
made 1
makes 1
making 1
manheim 1
may 1
mcfadden 1
meet 1
meets 2
mentions 2
missing 1
moment 1
mother 1
moved 1
moving 2
mp3 1
muppet 1
myna 1
name 2
named 3
names 1
napkins 1
nemesis 1
network 1
new 5
nickelodeon 1
nickname 2
normal 1
not 3
novel 1
nuts 1
of 12
off 1
offers 1
old 1
older 1
on 3
one 2
only 1
onscreen 1
order 2
original 1
other 1
out 3
over 1
owing 1
own 2
pain 1
parents 2
part 1
peanut 1
peter 25
picnic 1
plans 1
played 1
players 2
plays 1
possible 1
post2003 1
pours 1
practical 1
pregnant 1
presumably 1
princeton 5
promises 1
proves 1
pursue 2
real 1
receives 1
record 1
references 1
refers 1
refuses 1
refusing 1
relationship 1
relationships 1
replaced 1
reprints 1
resentful 1
resents 1
respective 1
resulting 1
return 1
roxanne 1
run 1
same 4
santa 1
santo 1
saw 1
says 2
school 5
second 1
secretthat 1
see 1
seen 3
selfproclaimed 1
sesame 1
she 3
sheila 1
shirt 1
shocking 1
shot 1
show 1
side 1
sits 1
sixth 1
so 2
soon 1
start 1
still 1
story 2
street 1
superman 3
take 1
talk 1
talks 1
tamara 1
tapes 1
teacher 3
tease 1
tells 1
that 10
the 37
their 3
then 2
there 2
they 4
thinks 1
third 1
this 2
time 3
timeframe 1
to 36
tootsie 1
top 1
tree 1
tries 1
trouble 1
tubman 1
tumkin 1
twice 1
unable 1
uncle 1
unenthusiastic 1
unfounded 1
university 1
until 2
up 2
visit 2
vocabulary 1
wants 1
warren 2
was 5
watch 2
water 1
when 7
where 1
which 2
while 1
who 4
whose 1
will 4
with 4
worries 1
worse 1
write 1
year 3
years 1
yet 3
york 2
younger 1
