5337106
/m/0d0h9_
/m/0d0h9_
Philip Pullman
1992
{"/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 40
able 1
about 9
above 1
abroad 1
abuse 1
abusive 1
accent 1
accepts 1
ache 1
act 1
address 1
advantage 1
after 10
again 3
against 1
ago 1
agrees 2
all 1
although 1
an 4
and 48
anger 1
another 2
answering 1
answers 1
anyone 1
approaches 1
are 2
around 1
arrive 1
arrives 3
as 17
asked 1
asks 6
at 14
attentions 1
avenging 1
avoid 1
away 4
babysits 1
babysitting 1
barry 16
be 7
beast 1
beautiful 1
because 2
become 1
bed 4
bedroom 1
been 2
before 3
begins 1
behind 1
being 1
believes 1
belong 1
beloved 1
betray 1
betraying 1
better 1
big 1
bike 4
birthday 2
blinded 1
blood 2
boat 1
book 2
boss 7
bought 1
boy 1
boyfriend 1
breast 1
bring 1
brother 1
brothers 5
bullets 1
but 4
butterfly 1
by 4
call 3
called 2
calls 1
came 1
canal 1
cannabis 1
captured 1
carson 8
carsons 2
catch 1
celebrating 1
chalet 6
changed 1
chaos 1
character 1
chasing 1
checking 1
chess 1
chills 1
chris 32
class 1
clearing 1
coincidence 1
come 1
comes 2
company 1
completely 1
confirms 1
confronted 1
conscience 1
contact 1
contents 1
continues 1
control 1
cool 1
cosmos 1
course 1
court 1
covers 1
crestfallen 1
criminalthe 1
curtains 1
custody 1
dad 2
dangerous 1
dark 1
date 2
dave 2
day 3
deafening 1
dealings 1
deals 1
decides 2
deed 1
deliberately 1
demon 1
despite 1
diane 1
died 2
dim 1
disappeared 1
disgusted 1
divorced 1
do 3
does 2
doomed 1
down 1
downstairs 1
drama 1
dress 2
driving 1
drugs 1
drunk 1
each 2
earlier 1
edward 1
either 1
eleven 1
emotionless 1
empty 1
ending 1
ends 1
england 1
ensuing 1
enters 2
enthuses 1
epitome 1
even 1
evening 1
eventually 1
evidence 1
exiting 1
expensive 1
experienced 1
explains 1
face 1
failed 2
fate 1
father 10
fears 1
feeds 1
feeling 1
feels 1
felt 1
few 1
find 2
finds 5
first 4
five 1
fix 2
flatmates 1
flees 1
fletcher 1
for 22
forced 1
forgotten 1
found 1
frantic 1
friend 3
friends 2
from 6
front 1
full 1
gang 2
gatecrashed 1
gave 1
get 2
getting 1
giant 1
girl 2
girls 1
gives 1
glimpses 1
go 3
gods 1
goes 6
going 3
goodnight 1
grumble 1
guards 1
gun 1
gunfight 1
had 5
hands 3
hang 1
happy 1
has 9
hasnt 1
have 2
having 2
he 43
hear 1
hearing 1
hears 2
hed 1
heist 1
hell 1
help 1
hence 1
her 40
herself 1
hes 1
hesitation 1
him 20
himself 1
hippie 1
his 36
home 3
hopes 1
hoping 1
house 7
how 1
however 1
hunting 1
husband 1
if 3
illegally 1
immediately 2
in 24
inadvertently 1
indeed 1
infra 1
innocence 2
inquest 1
intensifies 1
into 5
ira 1
ireland 1
ironically 1
is 19
isnt 1
it 6
its 1
jail 1
jenny 22
job 2
joy 1
juliet 1
jumps 1
just 1
kaleidoscopic 1
keep 1
kill 1
killed 2
killing 1
kiss 1
kisses 1
kissing 1
knife 1
