29344469
/m/0drzq2p
/m/0drzq2p

2001-09-18
{"/m/02xlf": "Fiction"}
a 14
activities 1
ad 1
age 3
alike 1
american 1
and 9
another 1
arguably 1
around 1
arrives 1
art 1
as 4
at 1
basis 1
begins 1
believes 1
both 3
boyfriend 1
broken 1
builds 1
built 1
burntout 1
by 2
calls 1
campaign 2
care 1
center 1
chas 4
city 2
clothing 1
coffee 2
coincide 1
come 1
comes 1
comic 1
concept 1
consisting 1
contrast 1
coworker 1
customers 1
cynical 1
darkly 1
defeat 1
delreal 1
desires 1
diet 1
eponymous 1
every 2
exclusive 1
expeditions 1
exphilosophy 1
fashion 1
fictional 1
firm 1
focus 1
food 1
for 6
former 1
forms 1
girl 2
harbinger 1
has 1
he 2
her 7
homeless 1
hunts 1
in 2
insane 1
introduces 1
invention 1
irony 1
is 3
it 1
ivy 2
ivys 1
javier 3
lacouture 1
light 1
lives 1
ltd 1
makes 1
manic 1
marketing 1
megatrend 1
meltdown 1
metropolis 1
middle 1
model 1
modeling 1
much 1
muchpublicized 1
mutually 1
new 3
not 1
of 12
on 3
opposing 1
optimist 1
own 2
owner 1
paradessence 2
park 1
partycrashing 1
pigeons 1
postirony 1
predicting 1
product 2
professor 1
promise 2
recently 1
relaxation 1
renaissance 1
resumes 1
revelations 1
rollerblading 1
satisfy 1
savage 1
schizophrenic 2
selfcreation 1
serves 1
shakars 2
she 1
simultaneously 1
sister 1
skulk 1
so 1
soon 1
soul 1
spy 1
states 1
still 1
stimulation 1
story 1
student 1
successful 1
suffered 1
supermarkets 1
takes 2
terms 1
that 1
the 10
this 2
those 1
to 8
tomorrow 1
tragic 1
trained 1
trendspotter 1
trendspotting 2
two 1
unironic 1
urden 1
ursula 2
ursulas 1
van 1
volcano 1
water 1
which 1
who 2
will 3
with 1
work 1
working 1
younger 1
