33159863
/m/0h67_ry
/m/0h67_ry
Joshua Foer
2011-03-03
{"/m/05h83": "Non-fiction"}
13th 1
188 1
2005 1
2006 1
87point 1
a 11
abilities 1
ability 1
advanced 1
advertising 1
after 1
all 1
also 2
and 14
andersson 1
are 4
around 1
as 7
assessment 1
at 3
attain 1
attempts 1
attitudes 1
autobiography 1
baroncohen 1
barriers 1
basis 1
ben 1
blue 1
book 2
born 1
bronze 1
buzan 1
by 1
cached 1
calculations 1
can 1
capacity 1
cards 1
champion 1
championship 2
championships 2
claims 1
colors 1
common 1
competing 1
competitive 1
complex 1
confronts 1
corney 1
course 1
courses 1
covers 1
creation 1
daniel 3
danieltammetcom 1
data 1
day 1
declares 1
decomposable 1
deliberate 1
delineate 1
describes 2
details 1
developed 2
discovers 1
discusses 1
do 1
documentary 1
during 1
educational 1
enhanced 1
espouses 1
event 2
expertise 1
experts 1
explores 1
faces 2
facial 2
fails 1
feats 1
finding 1
finds 1
finger 1
foer 11
for 5
form 2
forum 2
from 1
gold 1
grandmaster 1
had 1
he 10
him 1
himself 1
his 3
historical 1
how 1
human 2
images 1
imply 1
improved 1
improving 1
in 11
inborn 1
including 1
index 1
indicator 1
inspiration 1
interviews 1
into 1
investigate 1
involving 1
iq 1
is 3
its 1
journalism 1
kim 1
lanka 1
largely 1
largest 1
latter 1
legal 1
loci 1
london 1
lot 1
major 1
man 1
mapping 1
medal 1
memorable 1
memorization 1
memorizing 1
memory 12
mental 2
method 1
methodical 1
methods 1
mind 3
mnemonic 1
mnemonists 1
morphing 1
movie 1
multiplication 1
name 1
names 2
negative 1
notes 1
notetaking 1
numbers 1
numerical 1
obstacles 1
occasions 1
of 15
omitted 1
on 3
opposed 2
original 1
out 1
over 1
pao 1
participatory 1
path 1
peek 1
people 1
perception 1
performance 1
performs 1
phone 1
places 1
poor 1
poorly 1
posts 2
power 1
practice 1
practicing 1
previous 1
pridmore 1
prodigious 1
pseudonym 1
psychic 1
psychological 1
questionable 1
rain 1
readings 1
reciters 1
recognition 2
relating 1
represents 1
reputation 1
rhetoricians 1
roman 1
savant 1
savantlike 1
scientific 1
selfpromotional 1
sequence 1
sets 1
several 2
shapes 1
simon 1
skills 1
slides 1
soon 1
speaks 1
sri 1
standing 1
states 1
status 2
stored 1
suitable 1
synesthetic 2
system 3
table 1
tammet 7
tannaim 1
technique 1
techniques 2
tells 1
tested 1
tests 1
that 7
the 29
their 1
there 1
these 1
things 1
those 2
through 1
to 7
tony 1
tools 1
towards 1
traditional 1
training 1
tricks 1
under 3
underpinnings 1
us 3
version 1
weeks 1
well 1
western 1
where 1
which 3
wins 2
with 3
won 1
world 5
year 1
