4559056
/m/0c8vzb
/m/0c8vzb
Terrance Dicks

a 5
accompanied 1
after 2
against 1
agency 1
agrees 1
allow 1
ambitious 1
and 9
army 1
as 1
assassination 1
assist 1
at 2
attacks 1
back 1
battle 1
been 1
bonaparte 1
by 3
campaigns 1
celestial 1
charles 1
cia 1
city 1
coming 1
commander 1
conviction 1
countess 4
de 1
deliver 1
despite 1
discovering 1
doctor 5
duke 1
each 1
earth 1
end 2
english 1
europe 1
european 1
execution 1
experiments 1
figures 1
first 1
for 1
french 1
gallifrey 1
games 1
get 1
grand 1
granted 1
had 1
halt 1
has 1
he 1
her 4
him 1
himself 1
his 2
if 1
imitates 1
in 3
intervention 1
investigate 1
is 6
kartz 1
key 1
killed 1
known 1
lady 1
lines 1
lords 1
many 1
maurice 1
mission 2
missions 1
napoleon 3
new 1
of 6
on 3
orders 1
other 1
past 1
plan 3
plans 1
player 1
prevent 1
preventing 1
prussian 1
prussians 1
raston 1
reencounters 1
reimer 1
relief 1
reprieve 1
returning 1
robot 1
scheme 1
scoop 1
sent 1
serena 3
set 1
setting 1
states 1
stopped 1
struggles 1
supervised 1
talleyrand 1
the 25
their 1
threat 1
three 1
through 1
thwarted 1
time 3
to 13
traitor 1
travel 1
under 1
undertake 1
up 1
upon 1
using 1
vampire 1
various 1
war 1
warrior 1
waterloo 1
wellington 2
when 1
who 1
win 1
