3409167
/m/099_d5
/m/099_d5
Larry Niven
1998-05-15
10 1
a 18
able 1
access 1
accident 1
adolescent 1
adult 1
adventures 1
after 2
again 1
age 1
all 3
along 3
an 2
and 16
andrew 2
appearance 1
are 2
area 1
areas 1
around 2
arrange 1
as 5
ashore 1
at 6
attempt 1
back 1
be 1
beach 2
becomes 1
begin 1
beyond 2
birthplace 1
boat 1
book 1
break 2
burned 1
but 1
by 5
candy 2
caravan 4
caravans 1
cavorite 1
changes 2
character 1
chef 3
children 1
clothing 1
come 2
comes 1
community 1
computer 1
contrive 1
cook 1
course 1
covered 1
death 1
destiny 2
dies 1
different 1
discovery 1
distance 2
distributes 1
distributing 1
down 2
drop 1
during 1
dyed 1
elders 1
end 2
ending 1
escape 1
evade 1
farm 1
fatherinlaw 1
fertile 1
finally 1
first 1
fishing 1
fled 1
flee 1
flees 2
floats 1
for 2
forced 2
former 1
forties 1
found 2
from 5
gets 1
goal 1
goes 1
graveyards 1
gumdrop 1
had 1
hardens 1
harlow 2
has 2
have 1
he 20
hideout 1
hiding 1
him 3
hire 1
his 14
history 1
in 10
including 1
infertile 1
instead 1
into 1
irradiation 1
is 11
isthmus 1
it 1
jemmy 13
jeremy 1
join 1
joins 1
kill 1
kills 2
knows 1
landing 1
late 1
later 1
learn 1
leave 1
leaves 1
led 1
left 1
library 1
lies 1
lifetime 1
like 1
literally 1
lives 1
locals 1
main 1
mainland 2
maintained 1
makes 1
manure 1
marries 1
merchant 1
merchants 2
money 1
monopoly 2
must 1
name 2
neck 3
next 2
no 2
novel 3
now 1
of 12
on 5
once 1
one 3
other 2
others 1
out 2
over 2
owner 1
part 1
peninsula 2
permitted 1
piles 1
pit 1
place 2
planned 1
planted 1
plot 1
point 1
population 1
potassiumrich 1
prisoners 4
proceeds 2
pursuit 1
reaches 1
refuge 1
rendered 1
resort 2
return 2
returns 1
rigorously 1
road 6
salvaged 1
same 1
sea 1
secret 1
sections 1
seeds 2
seeing 1
selfdefense 2
sentenced 1
several 1
sharing 1
short 1
site 1
skip 1
some 1
someone 1
sows 1
speckle 2
speckles 6
spiral 5
start 1
still 1
storm 1
such 1
supply 1
surprise 1
survive 1
takes 2
taking 2
teenage 1
that 1
the 50
then 2
there 3
they 6
through 2
time 3
times 1
to 19
told 1
town 8
townsfolk 1
trip 1
true 1
try 1
turns 1
twentyseven 1
two 1
unknown 1
up 1
use 1
various 1
village 1
violent 1
what 1
when 3
where 2
which 4
who 1
widow 1
wife 3
will 1
windfarm 1
winds 1
with 3
withhold 1
working 1
years 2
young 1
