16766544
/m/0405ff0
/m/0405ff0
Darren Shan
2008-03
a 8
afterwards 1
aid 1
all 1
and 8
anything 1
arranged 1
as 5
ayuamarcans 1
became 1
because 1
before 1
begin 1
begins 1
behind 1
birth 1
business 1
by 2
capac 6
cardinal 3
central 1
child 1
city 3
controlled 1
dead 1
deal 1
depressed 1
died 1
discovered 1
during 1
eventually 1
face 1
gangster 4
gangsters 2
getting 1
got 1
group 1
guards 2
hailed 1
he 1
head 1
headed 1
heir 1
him 1
his 8
home 1
identity 1
in 4
individuals 1
joined 1
known 2
learnt 1
leaving 1
life 1
lost 1
man 2
massively 1
meet 1
most 1
new 1
of 5
off 1
party 1
past 1
power 1
powerful 1
raimi 1
real 1
secrets 1
severely 1
shortly 1
shot 1
simply 1
slipped 1
soon 1
station 1
story 1
taken 1
taxi 1
that 1
the 17
their 1
them 1
theo 4
they 1
this 1
three 1
to 5
trade 1
train 2
tricks 1
uncle 2
under 1
was 3
went 1
were 1
who 2
wife 1
with 1
worked 1
would 1
