9954727
/m/02px_k8
/m/02px_k8
Fannie Flagg
1981
11 1
152 1
156 1
16 1
500 1
6th 1
a 52
abject 1
abortion 1
about 2
absolutely 1
accepted 1
achieves 1
actor 2
actress 1
add 1
added 1
africanamerican 2
after 10
afterwards 1
again 1
aid 1
aka 1
albino 1
alienates 1
alive 1
all 2
allegedly 1
ally 1
almost 1
along 1
also 6
america 1
among 1
amy 1
an 9
and 73
angered 1
animals 1
ann 1
another 3
antagonist 1
anyway 1
apart 1
apartments 1
are 1
around 1
arrested 1
artist 1
as 9
aside 1
asked 1
at 10
atlantic 1
audience 1
axle 1
baboon 1
baby 1
back 2
backstage 1
bait 1
baptist 1
bar 1
batons 1
bay 1
be 2
beach 5
beat 1
because 5
become 2
becomes 3
been 3
before 2
beginning 1
being 3
believes 1
beneath 1
benson 4
berserk 1
best 1
betrayed 1
better 1
betty 1
biggest 1
bilk 1
billy 1
bingo 1
boarding 2
bob 7
bobcat 1
book 2
both 1
boyfriends 1
bread 1
break 1
breaks 1
bring 1
broken 1
brother 1
buchanan 1
build 1
bundy 1
burns 1
but 5
buying 1
buys 1
by 8
cab 1
cafeteria 1
caldwell 1
called 2
can 1
cancer 1
carried 1
catholic 4
cecil 5
cecilettes 1
characters 1
child 1
cigarette 1
citizens 1
city 1
classmates 2
closest 1
club 2
coast 1
coffee 1
coggins 1
cohort 1
cohorts 1
column 1
come 1
comedy 1
comes 1
community 2
competitor 1
consider 1
consists 1
constant 1
contend 1
contestant 1
contestants 1
costume 1
council 1
country 2
course 1
covered 1
crash 1
crooked 1
crop 1
cropduster 1
crowd 1
cudsworth 1
cups 1
daddy 1
daisy 39
darcy 4
dashes 1
daughter 1
dead 2
debutantes 1
degenerated 1
described 1
designer 2
despite 2
detailed 1
devises 1
diary 5
did 2
didnt 2
died 3
director 1
discovers 1
disgust 1
dixie 2
do 3
does 1
doesnt 1
dolores 1
donations 1
dot 3
dote 1
down 2
drag 1
drank 1
drinking 1
drinks 3
driven 1
driver 1
drops 1
dudley 1
dummy 1
during 4
duster 1
eccentric 1
either 2
elite 1
ellen 1
embarrassment 1
end 1
endearing 1
ended 1
endless 1
ends 1
endure 1
engaged 1
enough 4
enters 2
entries 1
equally 1
errors 1
escape 1
etc 1
even 1
events 1
eventually 2
ever 2
every 1
everyone 1
excepting 1
expansive 1
extremely 1
face 1
fact 3
faithful 1
fall 1
falls 1
family 1
far 1
father 17
fay 24
fear 1
feely 1
fellow 1
felt 1
fetch 1
few 1
fiance 1
fiancee 1
fight 1
final 2
finally 1
find 1
finds 1
fire 1
flamingo 1
florida 1
flowers 1
fools 1
for 9
former 1
four 2
framed 1
freezer 1
friend 6
friends 7
from 9
fulltime 1
furious 1
game 1
gay 2
get 3
gets 5
getter 1
girl 3
girls 1
glory 1
glued 1
go 1
gone 1
good 3
got 1
grade 1
granddaughter 1
grandfather 2
grandma 1
grandparents 1
grease 1
great 1
group 1
gulf 1
had 21
half 1
hamburgers 1
handicapped 1
hands 1
hangs 1
happened 1
harde 1
harper 1
has 5
hat 1
hateful 1
hattiesburg 2
having 2
he 6
head 3
heal 1
hears 1
helen 1
help 2
helping 1
hence 1
her 61
herself 1
hiatus 1
high 2
him 2
his 7
hopefuls 1
hospital 1
hotels 1
house 1
how 2
however 5
hubert 1
humorous 1
husband 1
hypocrite 1
i 3
idolized 1
illworking 1
im 1
imagination 1
impossible 1
in 34
include 1
included 1
increased 1
innocent 1
institutionalized 1
insult 1
insulted 1
insurance 1
into 5
inventions 1
involved 1
involves 1
is 23
it 3
its 1
jackson 1
jamison 1
jilted 1
jimmy 6
jo 2
journalist 1
joy 1
jr 1
judges 3
judging 1
judy 1
junior 2
kay 7
kept 1
kill 1
kind 2
knights 1
knock 1
known 1
lady 2
layne 1
leader 1
league 1
leaves 2
left 2
legitimate 1
lemuel 1
lewis 1
life 2
like 1
list 1
live 1
lives 4
living 2
local 3
long 1
lot 2
louis 1
loved 1
loyal 1
lulie 1
magnolia 2
make 2
makes 3
making 2
male 1
malfunctioning 1
malt 3
man 2
manage 1
manager 1
manages 1
many 2
margaret 6
married 3
marries 1
mary 1
matching 1
maternal 1
maybe 1
mcclay 8
meeting 1
meets 5
member 1
members 1
memory 1
met 1
michael 1
microphones 1
millinery 1
miracle 1
miss 4
mississippi 11
money 2
more 4
morticianbar 1
mother 12
motherdaughter 1
mourned 1
mouth 1
move 1
moved 1
movie 1
mr 5
mrs 11
much 2
musicals 1
must 1
name 1
named 8
names 1
nanny 1
nash 1
nearby 1
neck 2
nemesis 1
news 2
nightspot 1
not 4
now 1
objectionable 2
obsessed 1
of 43
off 2
often 2
old 1
older 1
on 9
once 1
one 2
only 4
or 5
organ 1
other 7
others 3
out 9
outfits 1
outrage 1
over 4
overhearing 1
owner 2
owns 1
pageant 9
paper 1
parents 2
paris 1
paternal 1
patsy 1
peachy 2
peggy 1
penny 1
people 1
perennial 1
perform 1
person 1
pettibone 1
phillips 1
pickle 5
plan 2
plane 1
plays 1
point 3
poole 4
popular 1
porches 1
portion 1
possibly 1
preacher 1
pregnant 2
president 1
preteen 1
professional 1
professor 1
promise 1
promised 1
protagonist 1
pulls 1
put 1
puts 1
quickly 1
quite 1
quits 1
rage 1
ray 1
raymond 1
react 1
really 1
received 1
refined 1
relationship 1
religious 1
reputations 1
rest 1
results 1
resumes 1
returned 1
returns 1
revealed 2
reveals 1
revenge 1
rigged 1
risk 1
romeo 1
room 1
rooting 1
run 1
running 1
ruth 1
sabotaged 4
sang 1
scheme 2
schemes 1
scheming 1
school 7
screamed 1
season 1
secret 1
secretaries 1
secretly 1
seeing 1
seem 1
seen 1
seniors 1
serves 1
set 1
sets 1
share 1
she 36
shell 4
sheriff 1
shock 1
shop 5
show 2
shown 1
shut 1
siblings 1
side 1
singing 1
sister 3
situations 2
smile 1
smoke 1
smoked 1
smoking 2
snipes 1
snobbier 1
snobbish 1
snobby 2
snow 5
so 2
socially 1
some 1
somebody 1
somewhat 1
song 3
soon 2
sour 1
southern 1
speaking 2
spitefully 1
spoiled 1
spotlight 1
springs 2
st 1
stage 1
stagehands 1
starting 1
starts 2
state 2
states 1
still 1
store 1
story 1
strange 1
stuffing 1
stuns 1
such 1
summer 1
supposedly 2
surprised 1
surrogate 1
suspicious 1
sweet 1
takes 1
talent 4
taxidermist 1
taxidermy 1
teasley 2
tempestuous 1
ten 1
than 2
that 14
the 98
theater 10
their 3
them 3
themselves 2
then 1
they 8
thinking 1
this 6
though 1
thought 2
three 2
threeday 1
throughout 1
throwing 1
title 2
to 44
told 2
too 1
tootie 1
touch 1
town 1
trash 1
trials 1
tried 2
tries 1
trouble 1
troupers 1
true 1
truth 1
trying 1
tupelo 3
ula 1
uncle 1
unexpectedly 1
union 1
unplugged 1
until 1
up 3
use 2
vain 1
various 2
vase 1
very 2
vignettes 1
vindinctive 1
virginia 1
vote 1
voted 1
waited 1
walked 1
want 1
wanted 1
was 21
wasnt 4
watkins 1
way 2
wealthy 1
well 3
wellheeled 1
went 1
were 5
what 4
when 6
where 3
whether 1
which 9
while 3
white 3
who 13
whose 1
why 1
wigham 1
wins 1
with 20
woman 1
won 2
wont 2
word 1
work 1
working 1
worse 1
would 1
writes 1
writings 1
year 1
years 4
younger 1
