11914319
/m/02rxspv
/m/02rxspv
Vladimir Lenin
1917

114118 1
120 1
a 2
advanced 1
among 4
an 2
and 15
annexationist 1
aristocracy 1
as 2
background 1
banks 2
be 1
become 1
behaviour 1
bribe 1
business 2
businessmen 1
by 1
can 1
capital 4
capitalism 6
capitalist 3
cartels 1
class 1
colonial 1
colonialism 1
colonies 1
colonizing 1
combines 1
companies 1
concentration 1
conflict 1
countries 2
course 1
critique 1
decay 1
deposing 1
division 3
economic 3
economies 1
economy 1
editions 1
empires 1
engage 1
european 1
eventually 1
exploitation 3
exploited 1
export 1
exportation 2
finance 3
financial 2
first 1
for 2
french 1
function 1
furthermore 1
generate 1
geographic 1
geopolitical 1
german 1
global 1
goods 1
government 1
great 2
greater 1
hence 1
highest 2
historical 1
home 1
homeland 1
i 1
ii 1
iii 1
imperialism 5
in 7
industrial 1
informs 1
integral 1
investment 1
is 2
its 1
iv 1
ix 1
labour 4
large 1
leaders 1
leads 1
lenin 1
market 1
merging 1
model 1
monarchic 1
monopolies 2
monopolist 1
moreover 1
must 1
native 1
naturalresource 1
new 2
occurred 1
of 23
oligarchy 1
order 1
over 1
parasitism 1
people 1
perceived 1
permit 1
place 1
plunderous 1
politically 1
politicians 1
populaces 1
portions 1
postwar 1
powers 3
predatory 1
preface 1
produces 1
production 1
profits 1
proletariat 1
rather 1
reader 1
requiring 1
revolt 1
revolutionary 1
role 1
said 1
special 1
stage 3
stratum 1
strike 1
such 1
superprofits 1
sustain 1
system 1
than 2
that 1
the 38
their 2
therefore 1
third 1
thwart 1
to 7
turn 1
underdeveloped 1
undeveloped 1
upper 1
v 1
vanguard 1
vi 1
vii 1
viii 1
war 2
which 1
will 1
with 1
worker 1
workers 1
working 1
world 6
would 1
x 1
yield 1
yielded 1
