576114
/m/02rq29
/m/02rq29
Judy Blume

a 16
about 3
accept 1
accepting 1
after 1
again 1
also 2
although 1
always 1
am 1
ambiguities 1
and 11
angers 1
angry 1
another 1
are 3
argument 1
arrogance 1
as 8
asks 1
assigned 1
at 4
attracted 1
bathroom 1
be 1
becomes 1
before 2
beginning 1
being 1
belief 1
beliefs 1
believe 1
believing 1
besides 1
between 2
blood 1
book 2
booth 1
born 1
both 1
bottle 1
bought 1
boy 1
boys 1
bra 1
bras 1
but 3
by 1
calls 1
can 1
chooses 1
christian 5
church 2
claiming 1
claims 2
club 1
come 1
comes 1
comprehending 1
concept 1
confession 1
confessional 1
confidential 1
conflict 3
confrontation 1
confused 1
dealing 1
deals 1
denies 1
does 1
encounters 1
end 1
ends 1
enjoys 1
entails 1
eventually 1
excited 1
faith 1
family 1
final 1
finding 2
finds 1
first 1
following 1
for 4
frequently 1
from 2
get 1
girl 4
god 6
goes 1
granddaughter 1
grandmother 3
grandparents 4
growing 1
guarantee 1
handle 1
has 2
heated 1
her 24
heritage 1
herself 1
highlighted 1
him 2
himself 1
i 1
identity 1
immediately 1
in 12
indeed 1
independent 1
inquires 1
interfaith 2
interlaced 1
into 1
introduced 1
is 11
issues 1
it 1
its 1
jersey 1
jewish 4
kisses 1
knew 1
leads 1
leory 1
lot 1
main 1
makes 1
margaret 10
marriage 1
maternal 2
mdash 4
me 1
middle 1
mixed 1
mom 1
more 2
mother 1
moves 1
my 1
nancy 1
nature 1
need 1
new 2
not 2
novel 1
of 10
on 3
one 1
or 1
out 2
pad 1
pads 1
parents 1
particularly 1
party 1
paternal 1
people 1
periods 1
phillip 1
playing 1
prayer 1
praying 1
prepared 1
priest 2
problems 1
project 1
proves 1
purpose 1
puts 1
putting 1
reality 1
referred 1
religion 1
religious 1
remember 1
responds 1
running 1
scene 1
school 2
seems 1
services 1
settle 1
she 23
showing 1
shown 1
sides 1
simply 1
son 1
sorry 1
speaking 1
spending 1
spin 1
spots 1
stops 1
story 1
study 2
suburbs 1
such 1
supposedly 1
synagogue 1
talk 1
talking 1
tears 1
tells 1
than 1
that 4
the 20
there 2
they 1
this 2
though 1
time 1
title 1
to 16
trying 1
underwear 1
unseen 1
up 1
visits 1
was 3
way 1
well 1
what 1
when 2
where 2
which 3
while 1
who 4
with 7
words 1
yearlong 1
york 1
you 1
