1118191
/m/047lk6
/m/047lk6
Michael Shaara

{"/m/02xlf": "Fiction"}
a 8
about 3
after 3
against 1
age 1
all 1
allowing 1
also 1
and 11
are 3
arm 1
arranged 1
as 2
at 3
atlanta 1
attention 1
author 1
aware 1
baseball 3
bay 1
be 2
becomes 2
before 1
behind 1
book 3
boy 1
boyhood 1
by 3
carol 6
celebrations 1
chapel 6
chooses 1
comes 1
conclusion 1
day 1
death 1
deeper 1
delving 1
determined 2
dials 1
did 1
dignity 1
discovered 1
divert 1
does 1
dugout 1
end 1
especially 1
even 2
fact 1
far 2
feelings 1
feels 1
final 1
finally 2
flashbacks 1
forever 1
friend 1
from 6
game 7
girlfriend 1
give 1
go 1
going 1
greatest 1
grown 1
half 1
has 5
hawks 1
he 15
heads 1
held 1
her 1
him 2
his 13
hit 1
home 1
hotel 2
immediately 1
in 2
incidents 1
instead 1
into 3
is 3
it 1
itla 1
jeffrey 1
just 1
key 1
last 2
leaving 1
led 1
life 5
london 1
love 1
loves 1
made 1
make 1
manhood 2
meanwhile 1
media 1
more 1
morning 1
mound 2
move 1
movie 1
never 1
nevertheless 1
new 3
news 1
night 1
nlfor 1
not 2
of 6
on 5
one 2
opponents 1
other 1
out 1
over 1
pain 1
partita 1
passions 1
perfect 2
perfetta 1
personal 1
pitch 1
pitched 1
pitching 2
plans 1
play 1
players 1
proceeds 1
publishing 1
raimi 1
reaches 1
realizes 1
really 1
receives 1
reflects 1
refuses 1
relationship 1
retires 1
room 1
sam 1
season 1
second 1
shaara 2
sharp 1
she 1
short 1
show 1
shown 1
so 1
son 1
soon 2
story 1
strikes 1
superior 1
talented 1
team 3
tell 1
tells 1
that 9
the 27
they 1
this 1
though 2
throughout 1
thus 1
time 1
to 14
told 1
traded 1
transition 1
two 1
up 2
vanish 1
was 5
where 1
who 1
whom 1
will 1
with 5
yankees 4
york 1
young 1
