19767896
/m/04q2ygh
/m/04q2ygh
Eleanor Cameron
1964
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature"}
164 1
64 1
a 5
about 1
accompany 1
add 1
adventures 1
after 1
american 1
an 1
and 2
apparently 1
as 1
bass 2
book 3
boys 1
brumblium 1
brumblydge 2
but 2
by 1
chuck 2
collects 1
company 1
david 2
designed 1
detail 1
discussion 1
dream 1
each 1
etc 1
expedition 1
first 1
further 1
has 1
have 1
in 4
is 2
it 3
journey 1
kindly 1
lady 1
like 1
meet 1
mentioned 1
meteorite 1
more 1
mr 3
mushroom 1
mycetian 1
mysterious 1
of 1
old 1
on 2
pages 1
planet 1
portions 1
prewytt 1
published 1
questions 1
rarely 1
reading 1
recover 1
school 1
second 1
series 1
several 1
short 1
spectacular 1
stories 2
story 1
takes 1
the 7
them 1
they 1
this 1
to 1
two 2
very 1
volume 1
was 2
who 1
