3306513
/m/094mql
/m/094mql
Jack Higgins
1998-07-02
1 1
18 1
a 15
abe 1
accident 1
ace 3
actually 2
after 4
again 1
agree 2
air 1
airborne 1
airplane 1
also 3
although 1
america 2
american 1
amongst 1
an 5
and 21
antiques 1
are 6
argue 1
arranges 1
as 5
assassinate 1
assassins 1
assume 1
assumes 1
at 1
attempt 1
author 2
back 4
baron 1
baroness 1
based 1
be 1
bear 2
because 1
become 2
becomes 1
blackmailed 1
boat 1
book 1
both 2
bought 1
brother 1
brothers 5
but 2
by 7
capture 1
car 1
central 1
channel 1
chapter 1
character 2
characters 2
chateau 1
climbing 1
cold 2
commit 1
continues 1
crashed 1
crashes 1
d 1
danger 1
dead 1
decorated 1
dies 1
ditch 1
do 1
down 2
during 1
duties 1
dwight 1
earlier 1
eisenhower 1
eldest 1
elite 1
elsa 4
england 3
english 3
epilogue 1
escape 1
example 1
experienced 1
exploits 1
face 2
fails 1
family 1
fate 1
father 2
fearing 1
few 1
fighting 1
final 1
finally 1
finland 1
finn 1
flies 2
flyers 1
flying 3
for 2
force 1
forced 2
forces 2
frame 1
france 2
french 2
general 1
german 1
germany 2
grandfather 2
halder 2
happened 1
harbour 2
harry 12
having 1
he 3
health 1
hearing 1
her 2
himmler 2
his 6
home 1
honourable 1
identical 1
imprisoned 1
in 17
insignia 1
inspired 1
intercepted 1
is 12
jack 3
joining 1
joins 1
kelso 2
killed 3
kills 1
kit 1
landing 1
late 1
later 4
leader 1
learn 1
learning 1
life 1
lifeboat 1
local 1
lost 1
lucky 1
luftwaffe 1
mainly 1
marry 1
mascot 2
max 11
maxso 1
me10 1
meet 3
men 1
millionaire 1
minutes 1
mission 1
mother 1
much 1
narrative 1
nazi 1
not 1
number 1
nurse 1
nursed 1
occasionally 1
of 12
oldest 1
on 1
one 1
opposing 1
original 1
orw 1
other 1
others 1
over 1
passed 1
pilot 3
pilots 1
pllot 1
plot 1
possession 1
potential 1
prologue 1
radio 1
raf 1
rank 1
remains 1
rescue 1
rescued 1
rescues 1
resistance 1
return 1
returns 4
reveals 1
rfc 1
rise 1
royal 1
see 1
selves 1
sending 1
shop 1
shot 3
skies 1
social 1
some 1
something 1
son 1
special 1
split 1
stays 2
story 4
suicide 1
summons 1
supposedly 1
surrounded 1
surviving 1
switching 1
take 1
tarquin 3
the 31
their 5
themselves 1
there 1
they 7
title 1
to 18
toss 1
tries 1
true 1
twenty 1
twins 1
twist 1
using 1
von 2
war 4
warns 1
was 3
wearing 1
what 1
when 5
where 1
whilst 1
who 2
wife 2
will 1
wins 1
with 6
world 1
younger 1
