3708005
/m/09whnm
/m/09whnm
Bernard Cornwell
1995-05-08
{"/m/0hwxm": "Historical novel"}
45th 1
74th 1
88th 1
a 13
accomplice 1
act 1
against 3
agent 2
alight 1
all 1
american 1
ammunition 3
an 2
and 29
andr 1
appalled 1
appointed 1
are 6
armies 3
arms 1
army 1
arranges 1
as 5
assaults 1
at 3
atrocities 1
attacks 2
attempts 1
avoid 1
aware 1
away 1
back 4
backed 1
battalion 1
battle 2
be 2
beat 1
becomes 1
between 1
bitterly 1
bodyguard 1
book 1
border 1
both 1
bravery 1
brigade 2
brigadiergeneral 1
british 7
buried 1
but 6
by 14
cadiz 1
captive 1
career 1
case 1
castrador 1
caught 1
chaplain 1
children 1
claude 1
colonel 1
commander 1
commits 1
compania 11
company 1
concentrated 1
concentrates 1
concerned 1
confess 1
confession 1
connaught 2
conspires 1
conversation 1
counterattacked 1
courier 1
crucial 1
cut 1
de 2
demoralised 1
desert 1
deserted 1
deserters 1
desertion 1
despite 1
deter 1
disarms 1
disaster 1
disgrace 1
disgraced 1
divert 1
dona 3
draw 1
drawn 1
drill 1
driven 1
dropped 1
drowns 1
ducos 1
duel 1
earlier 1
el 1
elia 1
encounter 1
encourage 1
encouragement 1
end 1
enemy 1
enlist 1
enquiry 1
ensure 1
entirely 1
escaped 1
evidence 1
except 1
execution 1
exiles 2
explosion 1
exposed 1
fall 1
falters 1
far 1
fat 1
father 1
fight 1
finds 2
following 1
for 2
forced 1
forces 1
ford 1
forged 2
fort 3
forward 1
french 7
friend 1
from 3
frustrating 1
fuentes 1
funeral 1
garrard 1
generalissimo 2
go 1
grave 1
grey 1
group 1
guard 1
guarding 1
guy 1
hard 1
harper 1
has 1
have 1
he 2
headquarters 1
her 2
hideout 1
highlanders 1
hill 1
him 1
himself 1
his 8
hogan 4
homeland 1
honour 2
hopes 1
however 1
idolent 1
illegal 1
imminent 1
imperative 1
in 14
including 1
infantry 1
informed 1
informs 1
instincts 1
intelligence 1
into 4
ireland 1
irish 2
irlandesa 2
irlandese 2
is 13
it 3
joined 1
juanita 4
junta 1
kiely 3
kill 2
killed 1
king 1
lack 1
lacks 1
lead 1
leader 1
led 1
left 1
lets 1
light 1
line 1
local 1
lord 1
loup 11
made 1
madrid 1
major 1
man 1
marshal 1
massacre 1
massacres 1
massna 1
mastergeneral 1
men 2
mercilessly 1
michael 1
mistress 1
moment 1
monstrously 1
morning 1
mutilate 1
native 1
near 1
newspapers 2
night 1
noblewoman 1
occupation 1
of 24
off 2
offers 1
officer 1
officers 1
on 1
only 2
onoro 1
open 1
opens 1
opposed 1
order 1
ordered 1
orders 1
other 1
out 1
over 3
parlay 1
partisan 1
party 1
personal 1
persuades 1
pierre 1
placed 1
planned 1
portuguese 3
pose 1
posed 1
prepare 1
presided 1
pride 1
prisoners 1
private 1
process 1
proof 1
push 1
rangers 2
rape 1
raping 1
real 4
regiment 2
reinforce 1
releases 1
reserves 1
resist 1
rest 1
retreat 1
retrieve 1
revenge 1
risk 1
river 1
route 1
royal 2
rumours 1
runciman 5
sacrifices 1
sarsfield 3
security 1
seem 1
sends 1
sent 1
set 1
sharpe 19
shot 3
sleeps 1
soldiers 2
soothe 1
spain 1
spanish 9
steadily 1
still 1
successful 1
suicide 1
swears 1
take 1
that 4
the 74
their 4
them 2
they 2
this 1
threat 1
threaten 1
thus 1
to 25
tom 1
treachery 1
treated 1
turn 3
uncovering 1
unfortunately 1
uniforms 1
up 2
vendetta 1
village 3
villager 1
villagers 1
wagon 1
wagons 2
wellesley 1
wellington 5
while 1
who 4
will 1
winning 1
wish 1
with 8
within 1
wound 1
wounded 1
young 1
