8646625
/m/027cdkm
/m/027cdkm
Mel Keegan
1973
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02js9": "Erotica", "/m/02xlf": "Fiction"}
72foot 1
a 10
achieved 1
active 1
actually 1
additional 1
against 1
american 1
amorous 1
an 5
and 24
appalling 1
apparent 1
are 3
artist 2
artists 1
as 3
assault 1
at 3
attitudes 1
author 1
baleful 1
be 2
before 1
bewitching 1
bisexual 1
black 2
boat 1
book 1
boys 1
brevity 1
bull 1
burroughs 1
by 3
cain 1
captain 5
catherine 2
challenging 1
character 1
characters 2
closing 1
collection 1
completely 1
concerns 1
conduct 1
corrupt 1
countess 1
crime 1
criminal 1
culminating 1
depicted 1
depraved 1
described 1
descriptions 2
detailed 2
devil 1
diesel 1
diverse 1
docks 1
dog 1
double 1
dove 1
drifter 1
either 1
elements 1
encounter 1
encounters 1
enjoy 1
ensue 1
episodes 1
equally 1
equinox 1
erogenous 1
erotica 1
evil 1
explicit 1
faust 1
first 1
for 1
friends 1
from 1
generally 1
gratification 1
gratuitous 1
gunner 1
her 1
himself 3
his 7
hypocritical 1
in 10
including 2
incorporating 1
inhabitants 1
innocent 1
inserts 1
into 1
involving 1
is 8
its 4
jonathan 1
kind 2
kirsten 1
language 1
least 1
leitmotif 1
life 1
likened 1
long 1
lost 1
lowlife 1
lynched 1
madonna 1
many 2
meets 1
mere 1
military 1
mobilises 1
modern 1
movement 1
multiple 1
myth 1
naive 1
narrative 2
nazi 1
nig 1
niger 1
novel 3
oblique 1
obscure 1
of 13
often 1
one 1
only 1
operative 1
or 1
other 1
over 1
owner 1
partners 1
passages 1
passing 1
people 1
perpetrators 1
personages 1
personification 1
perversely 1
picaresque 1
place 1
poetic 1
points 1
polymorphous 1
pornography 1
proctor 4
protected 1
punished 1
rapacious 1
rape 1
realm 1
relating 1
religious 1
removes 1
revel 1
robby 2
sailing 1
saintlike 1
satan 1
scorpion 1
sea 1
seaport 1
search 1
seems 1
seen 1
self 1
several 1
sex 1
sexual 3
sexually 1
shared 1
she 1
sheriff 1
slightness 1
sm 1
small 1
standards 1
story 1
studio 1
such 1
supposed 1
sympathetic 1
teenagers 1
tells 1
that 2
the 28
their 2
them 1
there 1
these 2
though 2
thoughtful 1
thuggish 1
thus 1
to 6
town 1
traced 1
tradition 1
trocchi 1
truly 1
twins 1
two 1
underage 1
unnamed 1
urophilic 1
vagabond 1
various 1
very 2
violent 1
wallet 1
when 1
which 1
while 1
white 1
who 1
wild 1
with 2
works 1
written 1
years 1
