14875247
/m/03g_vks
/m/03g_vks
James Patterson

106 1
a 11
adopts 1
after 2
alive 1
all 2
alone 1
along 1
although 1
an 1
and 16
anne 6
are 1
army 1
around 1
as 4
at 4
attack 1
attacked 1
attackers 1
attacking 1
attacks 2
back 1
badly 1
baldwin 4
be 5
beaten 1
been 1
before 1
beginning 1
being 2
believes 1
birth 1
black 3
boar 1
bore 3
boree 1
breaks 1
but 7
by 5
cannot 1
captive 1
carry 1
castle 2
christ 1
church 1
cities 1
colors 1
could 1
cross 3
crosses 1
crowds 1
crusades 2
daughter 2
dead 2
decides 2
destroyed 1
did 1
dirt 1
dishonored 2
does 1
du 3
dungeon 1
dungeons 1
ear 2
emilie 7
escape 1
eventually 2
evil 1
except 1
face 1
finally 1
find 1
finds 2
flees 1
flock 1
focusing 1
for 4
forest 1
france 2
freedom 1
friends 1
from 3
gave 1
get 1
goes 1
grief 1
guards 1
had 3
half 1
he 21
held 1
help 1
her 1
highborn 1
him 8
himself 1
his 13
holy 3
home 1
horror 1
however 1
hugh 13
hunting 1
husband 1
in 7
infiltrate 1
inn 1
into 2
invade 1
is 7
it 2
jester 3
jesus 1
joins 1
kidnapped 1
kill 1
killed 1
killing 3
kills 2
king 2
knights 2
knows 1
lance 2
land 1
later 1
launch 1
lay 1
lays 1
leader 1
learn 1
left 1
like 1
living 2
looking 1
lord 3
lying 1
mad 1
man 1
manage 1
marches 2
married 1
men 2
might 1
mistress 1
more 1
much 1
named 2
never 1
next 1
no 1
nobles 1
norbert 1
not 4
novel 1
now 1
object 1
of 16
on 7
once 1
one 3
onto 1
out 4
over 1
passes 1
peasant 1
peasants 2
pere 3
phillipe 1
pierced 1
plan 1
plot 1
prepared 1
pretext 1
priest 2
prisoner 1
pursuit 1
rebuff 1
recently 1
region 1
reminds 1
returned 1
returning 1
ruled 1
ruler 1
runs 2
save 1
saved 1
say 1
search 1
see 1
seeking 1
seemed 1
sees 2
sewn 1
she 1
side 2
so 3
son 1
soon 1
sophie 4
spear 1
staff 2
stephen 3
still 1
sure 1
tafurs 3
take 1
takes 1
that 4
the 35
their 1
them 2
then 4
they 5
this 2
though 1
threatened 1
three 1
time 1
to 18
took 1
townsfolk 1
traps 1
travels 1
treat 1
treille 4
try 1
tunics 1
turk 1
turn 1
turns 3
tyrannical 1
unrest 1
until 1
veille 3
village 1
wanders 1
was 2
well 1
were 1
what 1
when 2
where 1
which 4
who 5
whom 1
wife 5
winning 2
with 6
within 1
woman 1
woods 1
wore 1
wounds 1
year 1
young 1
