32551555
/m/0gw8w9b
/m/0gw8w9b
Amanda Hocking
2010-07-05
{"/m/072lff": "Paranormal romance"}
2 1
a 14
actually 1
affair 1
after 1
again 1
ago 1
aid 1
allow 1
almost 1
always 1
an 5
and 29
anger 1
angrily 1
annoyance 1
approaches 1
appropriate 1
are 3
as 3
asks 2
at 4
attack 2
attempts 2
aunt 1
away 1
baby 1
back 2
ball 2
ballroom 1
be 2
become 1
been 2
before 1
begins 2
biological 1
birthday 2
blankly 1
bloodline 1
both 1
bought 1
breaks 1
brother 1
but 1
by 1
cake 2
call 1
called 1
can 2
cannot 2
cease 1
changelings 1
child 1
children 2
chocolate 1
choosing 1
claims 1
class 1
come 1
comes 1
conforms 1
considered 1
consists 1
contains 1
contempt 1
corrupt 1
could 1
cut 1
daughter 1
day 1
demonstrates 1
disbelief 1
discovers 1
does 2
dolls 1
drive 1
eleven 1
elora 11
embarrass 1
emotion 1
enemy 1
entitled 1
escape 1
etiquette 1
even 1
exist 1
expelled 1
expresses 2
expression 1
face 1
family 2
father 1
fellow 1
finds 1
finn 15
for 2
forced 1
forcing 1
forening 2
fragile 1
from 1
future 1
get 2
gifts 1
goes 1
gown 1
had 4
halls 1
handle 1
has 5
having 1
he 5
held 2
help 1
helpful 1
her 28
herself 1
highest 2
him 2
his 3
history 1
holmes 1
home 1
honour 1
horrified 1
host 1
in 9
informs 2
injured 2
inside 2
into 1
introductory 1
involved 1
is 8
it 1
jen 2
kidnap 1
kiss 1
knife 1
knocked 1
left 2
leg 1
level 1
life 4
live 1
lives 1
locked 1
losing 1
lower 1
maggie 2
male 1
manage 1
many 1
markis 1
marksinna 1
matt 2
meets 2
member 1
mnsklig 4
modern 1
more 2
mother 4
mothers 1
move 1
much 1
mysterious 1
name 1
newstudent 1
next 1
night 1
nobles 1
not 5
of 14
on 4
once 2
one 2
only 1
other 1
painting 1
palace 1
party 1
past 1
peasantry 1
persuasion 1
persuasive 1
photos 1
place 2
platonic 1
porcelain 1
possess 1
power 2
powers 3
precognition 1
prepares 1
previously 1
princess 3
proceed 1
prologue 1
properly 1
psychokinesis 1
queen 1
queens 1
quell 1
reacts 1
real 1
realizes 1
recognizes 1
recounts 1
refuses 1
resigns 1
retaliate 1
return 1
returns 1
reunite 1
reveals 2
rhiannon 1
rhys 5
rid 1
role 1
room 1
rounds 1
royals 1
royalty 1
rules 1
rung 1
sad 1
save 1
saves 1
says 3
scheduled 1
school 2
see 1
seeing 1
share 1
she 19
show 1
sixth 1
so 1
societal 1
society 1
soliloquises 1
something 1
sort 1
speaks 1
stares 1
stocked 1
story 1
strong 1
struggles 1
successfully 1
swap 1
take 1
taken 1
taking 1
tantrum 1
teacher 1
tells 3
than 2
that 15
the 40
their 1
them 1
then 1
there 1
threat 1
threatening 1
threats 1
three 1
through 1
throws 1
thus 1
to 23
tove 1
trackers 1
transferred 1
tribe 2
troubled 1
trying 1
trylle 7
tutor 1
two 1
unconscious 1
undisplayed 1
until 2
uproot 1
uses 2
using 1
utilise 1
vittra 3
wandering 1
want 2
warns 1
we 1
wearing 1
wendy 18
what 1
when 2
which 4
whilst 2
white 1
who 4
why 1
will 2
with 7
woman 1
would 2
years 1
yet 1
young 2
