31569233
/m/0gmbz01
/m/0gmbz01
Andrew Gross


a 9
about 2
agent 1
albashir 1
all 2
along 1
an 1
and 7
another 1
apparent 1
april 1
are 1
as 3
at 1
back 3
bank 1
begins 1
blum 2
brings 1
brokerage 1
brokerages 1
but 1
ceo 2
check 1
chief 1
clearly 1
client 1
close 1
clues 1
coincidentally 1
company 1
connect 1
connects 1
dani 2
daughter 1
different 1
dollars 1
donovan 1
down 1
dramatic 1
dramatically 1
effect 1
evidence 1
extended 1
exwife 1
financial 1
find 1
firm 2
follow 1
friend 1
from 1
glassman 4
gone 1
had 1
has 2
hauck 6
having 1
he 1
her 5
hires 1
his 3
home 2
husband 1
icon 1
immediate 1
in 4
interest 1
invasions 2
investigates 1
investment 1
is 1
james 1
job 1
largest 1
leads 3
learns 1
leveraged 1
like 1
little 1
london 1
look 1
love 1
major 1
marc 3
markets 1
marty 1
meant 1
merrill 1
millions 1
most 1
murder 6
murders 1
naomi 1
new 2
of 15
officer 1
oldest 1
on 2
one 2
other 1
out 1
over 2
parallels 1
partnership 1
personal 1
peter 1
policy 1
positions 1
quickly 1
recent 1
reid 1
research 1
respected 1
reynold 1
reynolds 2
ried 1
rieds 1
royal 1
same 1
saudi 1
search 1
secretary 1
security 1
see 1
serbia 1
silenced 1
simons 2
started 1
street 2
string 2
suicide 1
suspicions 1
suspicious 1
takes 1
talon 1
team 1
that 2
the 15
their 2
them 1
thibault 4
this 1
to 12
trader 2
trail 2
transfers 1
treasury 2
ty 1
unravel 1
up 2
very 1
violate 1
wall 2
was 1
washington 2
watches 1
way 2
whose 1
with 2
witnesses 1
world 1
