13008961
/m/02z35t0
/m/02z35t0
Jon Haylett
2007
{"/m/05hgj": "Novel"}
a 1
africa 1
african 1
africas 1
an 1
and 4
are 2
armstrong 1
as 1
behind 1
bird 1
body 1
boromundi 1
bring 1
by 1
civil 1
country 1
cries 1
dead 1
death 1
decide 1
during 1
enters 1
execute 1
faced 1
festivities 1
finds 1
for 1
from 2
government 1
hands 1
her 3
home 1
husband 1
in 2
ineffective 1
justice 2
killers 1
kisasi 1
legal 1
lover 1
mackay 2
men 2
minibus 1
murders 1
mutilated 1
of 2
one 1
other 1
out 4
own 1
pulled 1
raped 1
ravaged 1
seek 1
set 1
system 1
take 1
the 11
their 1
themselves 1
to 3
truth 1
two 2
violent 1
wake 1
war 1
weaken 1
with 1
womans 1
women 1
womens 1
