32055636
/m/0gx0pmz
/m/0gx0pmz
Anthony Horowitz
2011-11-01
a 14
accord 1
afghan 1
after 1
aid 1
aide 1
albeit 1
also 1
ambushed 1
an 2
and 9
appears 1
are 3
arrests 1
arrive 1
arrives 2
art 1
arthur 1
as 3
assassinated 1
at 1
author 1
baker 1
be 2
been 1
begins 1
being 1
boy 2
boys 1
brief 1
brutally 1
by 8
cap 2
carnival 1
carstairs 3
case 5
circumstances 1
client 3
club 1
come 1
conan 1
currently 1
customers 1
dealer 1
despite 1
destroyed 1
detective 2
discovers 1
disguised 1
doctor 1
does 1
doyle 1
draw 1
due 1
edmund 1
employs 1
escaped 1
events 1
except 1
failure 1
family 1
fear 1
finally 1
first 1
flat 2
for 3
found 1
framed 1
free 1
from 1
gang 3
govern 1
group 1
had 1
has 1
having 1
he 5
him 1
hired 1
his 2
holmes 8
horrorstricken 1
hotel 1
house 5
however 1
in 1
including 1
inexplicably 1
informed 1
inroads 1
introduced 1
involved 1
irish 2
irregulars 2
is 8
it 1
keelan 1
key 1
later 1
leader 1
leaders 1
leads 1
lestrade 2
like 1
locating 1
makes 2
man 2
meanwhile 1
meeting 1
meets 1
member 1
members 1
mention 1
moriarty 2
motives 1
mr 1
mrs 1
much 1
murder 2
murdered 1
name 1
named 1
newest 1
not 1
now 1
odonaghue 1
of 24
on 1
once 1
one 2
operated 1
original 1
orphanage 1
outside 1
own 2
paintings 1
part 1
particulars 1
party 1
pastor 1
person 1
personal 1
prison 4
professor 2
promptly 1
provides 1
purportedly 1
reader 1
recounting 1
recruit 1
regarding 1
rent 1
responsible 1
revealed 2
rid 1
robbers 1
ross 2
rounded 1
royal 1
saved 1
scarlet 1
scotland 1
second 1
sent 1
sherlock 1
shocking 1
silk 5
sir 1
stationed 1
staying 1
street 1
study 1
supposed 1
that 4
the 41
their 2
them 1
they 1
thugs 1
to 12
too 1
traveling 1
trial 1
true 1
turns 1
uncertain 1
until 2
up 1
upon 1
various 1
wait 1
war 1
was 1
watson 6
way 1
wealthy 1
were 1
when 3
where 1
wherein 1
who 3
whose 1
wife 1
will 1
wishes 1
with 3
world 1
yard 1
