3247367
/m/09127g
/m/09127g
George Saunders
2005-09-06
{"/m/06nbt": "Satire", "/m/05qt0": "Politics", "/m/014dfn": "Speculative fiction"}
a 2
abusing 1
accept 1
all 1
an 2
and 5
are 1
around 1
as 5
at 2
attempted 1
begins 1
between 1
border 1
but 1
chronicles 1
close 1
could 1
countries 1
country 4
courtesy 1
day 1
decides 1
disassembling 1
disputes 1
do 1
embittered 1
end 1
enforcers 1
every 1
evil 1
fit 1
five 1
focuses 1
for 1
former 1
gaining 1
genocide 1
giants 1
good 1
had 1
have 2
he 1
hiring 1
his 3
horner 3
hornerite 3
hornerites 7
in 6
inner 7
inside 1
is 1
leisure 1
live 1
math 1
morning 1
nothing 1
of 7
on 1
one 2
only 1
other 2
outer 7
own 1
payment 1
personal 1
phil 3
policy 1
power 1
proofs 1
puny 1
received 1
reenter 1
residency 1
rise 1
seen 1
settles 1
shortterm 1
six 1
small 1
so 2
solving 1
stand 2
standing 1
staying 1
story 2
stretch 1
sufficient 1
support 1
surrounding 1
tax 1
that 3
the 19
their 4
they 4
threat 1
time 2
timidly 1
to 8
together 1
turn 1
turns 1
two 1
tyrannical 1
understood 1
vast 1
very 2
wait 2
which 1
while 1
will 1
zone 1
