13575671
/m/03c9vtz
/m/03c9vtz
Joe Keenan
1988
{"/m/05hgj": "Novel"}
100000 1
a 13
about 1
accidental 1
acquant 1
afford 1
agrees 1
all 1
already 2
an 3
and 24
anything 1
appearance 1
are 3
arrives 1
as 4
asks 1
aspiring 1
at 4
attempting 2
aversion 1
banker 1
bathroom 1
be 2
became 1
becomes 2
being 1
best 2
blackmail 1
blown 1
bombelli 2
both 1
brainy 1
broadway 1
bullets 1
business 1
but 6
by 2
cannot 1
cant 1
cash 2
caught 1
cavanaugh 1
cellini 2
checks 1
christmas 1
claire 3
clan 1
clear 1
colludes 1
cologne 1
come 1
comes 1
comingsandgoings 1
common 1
computer 1
confides 1
confirm 1
convince 1
couple 2
cousin 1
cracks 1
cut 1
deaths 1
decent 2
decides 1
design 1
destroy 1
disastrous 1
divorcing 1
do 1
doesnt 1
dollars 1
dorsetshire 1
doubling 1
dress 1
duchess 3
duke 1
each 2
effect 1
embezzle 1
enough 2
enraged 1
estimates 1
events 1
everything 1
extremely 1
facts 1
fallout 1
family 5
far 1
fat 1
finch 1
find 1
first 2
for 6
former 1
freddy 2
friend 1
from 3
fund 2
funding 1
funds 1
future 1
gangster 1
gay 1
generous 1
get 2
getrichquick 1
gifts 1
gilbert 17
going 1
gunther 2
hard 1
has 5
have 4
having 1
he 3
hearing 1
heartbeat 1
her 4
herself 1
high 1
him 3
his 5
homosexuality 1
honest 1
if 1
in 5
induced 1
infamous 1
ingratiated 1
inheritance 1
inlaws 2
intend 1
interval 1
into 1
investment 1
is 6
it 1
just 1
likely 1
likewise 1
living 1
look 1
lover 1
lunch 1
maddie 1
mafia 1
mafiosos 3
make 2
man 1
married 1
marrying 1
might 1
moira 13
more 2
mother 2
much 1
mysterious 1
naive 1
narrator 1
needs 1
nervous 1
new 1
no 1
normally 1
notion 1
number 1
of 10
offers 1
on 2
one 1
only 3
other 1
over 1
overwhelmingly 1
part 1
partner 1
partnered 1
party 1
patriarch 1
pay 3
perky 1
phase 1
philip 2
phillip 6
phone 1
plan 4
poised 1
politics 1
pooch 1
preposterous 1
previous 1
production 1
promise 1
pull 1
quick 1
quickly 1
ready 1
realized 1
recently 1
reimburse 1
revealing 1
rice 1
ruin 1
says 1
schemes 2
scotch 1
second 1
seduction 1
seems 1
selwyn 1
several 1
she 7
shower 1
sleeping 1
smoothly 1
snag 1
so 2
some 1
someone 2
songwriter 1
songwriting 1
soon 1
spent 1
stand 1
starts 1
steffy 1
stepfamilies 1
stepfather 3
stiegel 1
story 1
stupid 1
successfully 1
suffered 1
suicidal 1
surprisingly 1
suspect 1
suspects 1
swear 1
swindle 1
take 2
tens 1
than 1
that 11
the 30
then 1
there 1
they 3
things 1
thousands 1
throw 1
tightfisted 1
to 22
together 2
tony 2
tossed 1
transvestitism 1
trust 2
two 2
until 4
up 2
usually 1
victims 1
von 1
vulpina 1
wants 1
was 1
wealthy 1
wedding 9
went 2
what 1
where 2
wholl 1
will 1
winslow 1
with 9
wolves 1
work 2
worth 1
would 1
wrong 1
zany 1
