10362761
/m/02q9gv9
/m/02q9gv9
Sister Souljah

15year 1
16th 1
a 18
about 1
across 1
after 2
afterward 2
again 1
aids 1
air 1
also 1
an 3
and 20
another 1
apart 1
aptly 1
are 1
arrested 1
arrive 1
arrives 1
at 5
attacked 1
attained 1
attend 1
aunt 2
aunts 1
away 1
baby 1
back 2
bag 1
bail 1
be 1
beat 1
beating 1
because 1
becomes 1
being 2
believing 1
belongings 1
benefit 2
best 1
birthday 1
boldly 1
book 1
booster 1
born 1
bottle 1
boyfriend 2
broken 1
brooklyn 1
bullet 4
bureau 1
business 1
but 4
buy 1
by 8
cab 1
can 3
cannot 1
car 3
cause 1
cheating 1
child 2
cigarettes 1
clothes 2
coldest 1
comes 1
continues 1
crashes 1
crowd 2
custody 2
date 1
daughter 2
dealer 1
decides 1
designer 1
determined 1
disperse 1
divulged 1
do 1
does 3
doesnt 1
down 1
downward 1
drug 3
drugs 1
during 1
empire 1
ending 1
escapes 2
eventually 1
ever 1
face 2
falls 1
family 2
father 7
fbi 1
fight 1
finds 2
focus 1
foes 1
for 6
former 1
friend 4
friends 2
from 3
funeral 1
gathers 2
get 2
gets 2
girlfriend 1
girls 1
go 1
goes 1
goods 1
group 1
growing 1
gs 1
gun 1
had 1
hair 1
has 5
he 2
help 1
her 30
hiphop 1
his 7
hivaids 1
home 3
hooks 1
hotel 1
house 3
housemates 2
hustling 2
illegal 1
in 11
infant 1
into 2
introduction 1
is 13
island 1
jail 2
jailed 1
jersey 1
jewels 1
join 1
juncture 1
just 2
know 1
later 1
lauren 1
lavishes 1
leaves 1
leaving 1
led 1
let 1
lexus 1
life 1
like 1
liked 1
live 1
living 1
location 2
long 1
looks 1
lord 1
loses 1
makes 1
making 1
man 2
mandatory 1
mansion 1
mc 1
mercedes 1
miscarriage 1
money 8
months 1
mother 3
mothers 1
murdered 1
named 2
natalie 2
needs 1
neighborhood 1
never 2
new 4
no 3
not 4
notorious 1
nowpregnant 1
obtains 1
of 14
old 3
on 2
once 1
one 2
out 6
over 1
pack 1
pampered 1
parents 1
party 1
people 1
persuades 1
placed 1
police 1
porsche 1
possessions 1
pregnant 1
pretending 1
prison 4
prized 1
probably 1
projects 1
protection 1
put 1
rashida 1
rather 1
realizes 1
rebellious 1
release 1
relocate 1
rental 1
returns 1
revealed 1
ricky 1
running 1
rushes 1
santiaga 3
sees 1
seizes 1
selling 1
sells 1
sends 1
sentence 1
set 1
sever 1
she 15
shortly 2
shot 1
simone 9
sister 3
sisters 2
slashes 1
snowstorms 1
so 1
some 1
someone 1
son 1
soon 1
souljah 3
spirals 1
starts 1
stated 1
stays 1
steals 2
still 1
stop 1
story 1
substantial 1
success 2
suddenly 1
surprises 1
surroundings 1
suspected 1
suspicious 1
switches 1
taken 1
takes 1
talked 1
tears 1
teenage 2
than 1
that 7
the 28
their 2
then 1
they 1
things 1
thinks 1
this 2
three 1
through 1
ties 1
to 21
transporting 1
tricked 1
tricks 1
trying 1
turned 2
tutelage 1
under 1
unemployed 1
unknown 1
until 1
up 2
upon 1
upside 1
uses 1
visiting 1
volunteers 1
wait 1
wants 1
was 6
watch 1
waving 1
way 2
wealth 1
welfare 1
whatever 2
when 5
which 2
while 5
who 6
whom 1
wife 1
winter 39
with 9
world 2
worst 1
york 2
younger 2
