15895443
/m/03qf4sq
/m/03qf4sq
Maxine Paetro
2006-02-27
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery"}
5th 1
a 8
about 1
accompanied 1
administration 1
against 1
all 1
among 1
an 1
and 2
apocalypse 1
appalling 1
are 2
as 2
at 2
battle 1
be 2
begins 1
best 1
bill 1
boxer 1
breath 1
bring 1
button 1
by 2
call 1
case 1
cases 1
castellano 1
clean 1
close 1
club 3
coincidences 1
completely 1
conditions 1
costs 1
could 1
court 1
death 1
deeper 1
determined 1
devastating 1
did 1
dies 1
doctors 1
entire 1
esteemed 1
exhibit 1
explosive 1
fails 1
fears 1
first 1
for 3
francisco 1
frightening 1
gasping 1
god 1
grips 1
happen 1
health 1
help 1
her 1
horseman 1
hospital 5
how 1
hunt 1
in 3
incidents 1
into 1
investigation 1
is 6
it 1
its 2
just 2
killer 1
lieutenant 1
lindsay 4
lives 1
maniac 1
medical 1
member 1
merciless 1
mother 1
murder 3
mystified 1
nation 2
nears 1
newest 1
no 1
not 1
of 3
one 1
or 1
patients 1
people 1
playing 1
probes 1
race 1
recuperating 1
released 1
reputation 1
reveals 1
rides 1
safe 1
same 1
san 1
she 1
shield 1
some 1
somebody 1
someone 1
staff 1
such 1
suddenly 1
symptoms 1
take 1
that 1
the 16
their 1
these 1
this 2
time 2
to 5
turn 1
wages 1
when 2
while 1
wild 1
with 2
women 3
worse 1
young 1
yuki 1
