1140187
/m/049t08
/m/049t08
Zoë Heller

15yearold 1
a 18
about 6
accommodation 1
account 1
accusation 1
accused 1
accuses 1
advances 1
advice 1
affair 6
after 1
afterwards 1
again 1
aging 1
alludes 1
although 1
an 4
and 24
angered 1
any 1
apparently 1
ardor 1
are 2
art 1
as 5
asks 1
assault 1
at 2
aware 1
background 1
bangs 3
barbara 20
bathsheba 1
beauty 1
because 1
become 1
becomes 1
been 2
behaviour 1
being 1
believing 1
ben 1
betrayed 1
between 2
boarding 1
boy 2
boys 1
break 1
brian 1
brother 1
but 1
by 2
cannot 1
chance 1
changing 1
charged 1
charmed 1
children 1
claiming 1
close 4
closed 1
colleagues 1
complaints 1
comprehensive 1
conceal 1
confesses 2
confession 1
confide 1
connolly 8
considers 2
contact 1
contacting 1
cool 1
council 1
couple 1
courage 1
covered 1
critics 1
culprit 1
cynotes 1
date 1
daughter 1
de 1
demanding 1
demands 1
demoralised 1
deprived 1
despite 1
deteriorates 1
did 2
difficult 1
discouraged 1
discover 1
discovers 1
disintegrating 1
disinterested 1
distraught 1
dodd 1
does 1
domineering 1
done 1
down 1
during 2
dynamics 1
eager 1
early 3
ecstatic 1
eleven 1
ends 1
enormous 1
escndalo 1
esdiario 1
especially 1
ethe 1
even 2
events 1
eventually 1
expulsion 1
expurgated 1
faculty 1
falls 1
family 4
fatherdaughter 1
fawkes 1
feel 1
feelings 1
feels 2
find 1
finds 2
first 1
firstperson 1
flat 1
for 1
forces 1
former 1
frequently 1
friend 3
friends 1
friendship 3
from 6
furious 2
further 1
girl 1
gives 2
glad 1
grows 1
guilt 1
guy 1
had 1
hampstead 1
happened 1
hart 1
has 12
have 3
having 1
he 3
headmaster 2
heath 1
heba 1
her 30
herself 1
highly 1
hill 1
him 2
himself 1
hired 1
his 4
home 1
hopes 1
house 2
how 1
however 1
husband 2
i 2
idealized 1
if 1
illicit 1
immediately 1
implied 1
in 11
including 1
indecent 1
infatuation 1
information 1
informed 1
initially 1
injunction 1
intensify 1
interest 1
into 2
invites 1
is 17
it 2
ja 1
jealousy 1
jennifer 1
job 1
judgements 1
kiss 1
know 1
last 1
leading 1
lease 1
least 1
leave 1
letters 1
life 4
likes 1
literacy 1
london 1
lonely 1
love 2
lunch 3
made 1
make 1
manuscript 1
mathematics 1
matter 1
mean 1
means 1
meanwhile 1
member 1
men 2
might 1
moment 1
mother 1
moves 1
mrkmed 1
much 1
narrator 1
needier 1
neglect 1
neither 1
new 1
night 1
nor 1
not 5
novel 1
obsession 1
occasions 1
of 12
off 1
offers 1
older 1
on 9
one 2
only 2
open 1
out 1
overcome 1
own 2
parents 1
paused 1
people 1
personally 1
polly 4
power 1
presence 1
prevents 1
previous 1
primrose 1
private 1
problems 1
prove 1
pupil 2
qualities 1
quickly 1
rather 1
realise 1
rebellious 1
refuses 1
rejects 1
relationship 7
relative 1
reliable 1
report 1
residence 1
resigning 1
results 1
retirement 1
reveals 1
richard 1
rid 1
right 1
saturday 1
scandal 1
school 4
secret 1
seeing 1
sees 1
senses 1
seventeenyearold 1
severest 1
sex 1
she 22
sheba 30
significance 1
significantly 1
situation 1
sixties 1
skandaali 1
small 1
some 2
somehow 1
sometimes 1
son 1
special 1
stages 1
start 1
starts 1
steven 1
story 1
successfully 2
summon 1
sunday 1
suspended 1
syndrome 1
talking 1
teacher 3
tell 1
tells 1
temporary 1
than 1
that 11
the 26
their 7
they 2
threatened 1
thrives 1
to 20
told 1
tracks 1
trapped 1
tried 2
trouble 1
two 1
un 1
unable 1
unfulfilled 1
unknown 1
unlikely 1
unmarried 1
unruly 1
unusually 1
up 2
using 1
version 1
veteran 1
visits 2
waning 1
was 1
waste 1
weeks 1
what 3
when 6
which 1
while 1
who 3
whose 1
will 1
with 16
witness 1
woman 1
wracked 1
write 1
writing 1
written 1
year 1
yet 1
you 2
younger 2
youth 1
