7093327
/m/0h3tck
/m/0h3tck
Scott Westerfeld
2006-03
a 16
able 1
about 3
accepts 1
accidentally 1
adopted 2
advanced 1
after 2
agents 1
alert 1
all 3
allowing 1
along 1
although 2
amazed 1
ambushed 1
among 1
an 3
and 30
andrew 1
anger 1
anyone 1
are 3
armory 4
arrived 1
arriving 1
as 6
assists 1
at 3
attack 7
attempt 3
authorities 1
away 1
be 2
became 1
become 2
becoming 1
been 4
before 3
begin 1
beginning 1
begins 4
being 2
believes 1
blaming 1
body 1
both 1
boyfriend 1
bracelets 1
brain 9
break 1
breaks 1
bubbly 1
but 11
by 8
cable 10
called 2
calling 1
can 1
capture 1
catch 1
change 1
chase 1
chosen 1
circumstances 3
city 7
clearcutting 1
clearheaded 1
cliff 1
clique 1
complications 1
confronts 1
confusion 1
consent 2
continues 1
control 2
crash 2
crims 2
culture 1
cure 6
cured 3
curing 1
cut 1
cutters 7
damage 1
damaged 1
david 4
decides 1
despecialized 1
destroy 1
did 1
died 1
diego 6
discovers 1
disguise 1
disgusts 1
doctors 1
dr 10
during 1
eager 1
electrical 1
elite 1
encourages 1
enhanced 2
ensuring 1
escape 1
escapee 1
escapes 3
euphoria 1
evacuation 1
events 1
eventually 1
excesses 1
expand 1
experiments 1
fall 1
fausto 3
feeds 1
feelings 2
finds 3
fingernails 1
flashes 1
follow 1
following 2
follows 1
for 10
forcibly 1
forest 1
form 1
found 1
founded 1
free 2
freely 1
friend 1
friends 1
from 6
full 1
get 1
girl 2
give 1
given 3
gives 1
giving 2
going 1
griefstricken 1
grip 1
group 3
guide 2
had 1
has 8
have 3
having 3
he 5
headquarters 1
hear 1
hearing 1
helicopter 1
help 4
helpless 1
her 22
herself 2
high 1
him 2
his 4
horrified 1
hospital 1
hospitalized 1
hoverboard 1
how 1
if 1
immediately 1
imminent 1
imprisoned 1
in 13
including 1
infirmity 1
inform 1
informed 1
infrared 1
injected 1
injector 2
injured 1
insist 1
insists 2
intended 1
international 1
into 4
invented 1
is 11
journey 2
jumps 1
just 4
kidnap 1
kiss 1
knows 1
last 1
learns 1
leave 1
leaves 2
left 1
lesions 4
lethal 1
like 1
live 1
locked 1
look 1
loses 1
made 2
make 1
mankind 1
masking 1
meets 1
member 1
members 1
month 1
months 1
morphilogical 1
much 1
nature 1
necklace 1
new 8
newly 1
not 1
notices 1
novel 1
now 2
of 22
off 2
old 1
on 12
one 1
only 3
operation 1
option 1
order 1
originally 1
other 2
out 3
outraged 1
over 1
own 2
pair 2
party 2
physical 1
picked 1
pills 2
places 1
please 1
pretties 1
pretty 4
prettyminded 1
primitive 1
protect 1
protected 1
publishes 1
putting 1
rather 1
reaches 1
realizes 2
reasons 1
received 3
receives 1
reflexes 1
rejected 1
remain 1
remaining 1
removing 1
repulsed 1
reservation 1
resists 1
responsible 1
returns 1
rid 1
ritual 1
ruins 1
rules 1
runaways 2
runs 1
rusties 1
rusty 1
scans 1
search 1
secret 1
secretly 1
see 1
seize 1
selfharm 1
senses 1
series 1
shay 7
she 16
show 1
simpson 1
since 1
slowly 1
smith 1
smoke 5
smokies 2
sneak 1
so 2
socalled 1
something 1
special 12
specials 3
spite 1
split 1
spread 1
stabbing 1
standard 1
staying 1
steal 1
still 3
straight 1
strength 2
succeed 1
successfully 1
suffered 1
suits 1
superhumans 1
superiority 2
surgeons 1
surgery 7
surgically 1
system 2
take 2
taken 2
talk 1
tally 25
technology 1
teenagers 1
teeth 1
tell 1
tells 1
than 1
that 13
the 73
their 2
themselves 1
then 1
they 9
think 1
third 1
this 4
time 1
to 35
took 1
town 1
track 1
tracking 1
tremors 2
tricks 1
true 1
truth 1
turned 1
two 1
uglies 3
uglyville 1
unconsenting 1
underground 1
unusually 1
up 3
use 2
used 1
violation 1
waiting 1
want 1
was 1
watching 1
way 2
weapons 1
weaponsharp 1
were 3
when 3
which 5
while 1
who 4
widely 1
wild 3
will 3
wishes 1
with 8
without 1
wonder 1
working 1
world 1
youngblood 1
youngest 1
zane 9
