6844543
/m/0gs70_
/m/0gs70_
Christopher Brookmyre
1998
a 3
actress 1
after 1
an 1
and 1
apocalypse 1
are 1
as 2
attacks 1
babysitting 1
back 1
becomes 1
bmovie 1
but 1
certain 1
christian 1
clear 1
content 1
cop 1
death 1
disappearance 1
easing 1
exporn 1
festival 1
film 1
for 1
freeman 1
given 1
group 1
himself 1
his 1
into 1
investigates 1
is 1
it 1
lapd 1
larry 2
maddy 1
madeline 1
not 1
oceanic 1
of 4
on 1
parties 1
rightwing 1
son 1
soon 1
survey 1
targets 1
task 1
that 1
the 5
things 1
to 1
turn 1
vessel 1
violent 1
wait 1
way 1
when 1
witherson 1
work 1
