4082312
/m/0bh3lv
/m/0bh3lv
Larry Dixon
1995
34victory34 1
34why 1
a 75
abilities 1
ability 3
about 3
according 1
account 1
achieve 1
across 1
actions 1
active 1
advantages 1
advice 1
after 15
against 1
ago 1
air 1
alive 1
all 6
allegiance 1
allowing 1
alone 1
along 1
already 4
also 10
am 1
amberdrake 17
among 2
amount 1
an 9
analyzed 1
and 100
angry 1
animal 1
animals 1
another 6
any 2
anything 1
appear 1
appearance 1
appears 1
are 15
area 3
army 1
around 4
arrives 1
artifacts 1
as 14
asked 1
asks 3
assassination 1
assigning 1
assumed 1
at 11
attack 3
attacks 1
attempt 1
aubri 12
away 2
back 4
backhand 1
backing 1
bad 1
badly 1
bag 1
battle 5
battles 1
be 9
because 12
become 1
been 4
before 2
begin 3
beginning 1
begins 4
behind 2
being 4
believe 2
believes 3
better 1
between 1
black 2
blushes 1
body 1
book 2
books 1
boost 1
both 1
box 2
brainless 1
bring 1
brings 1
brought 3
built 1
burned 1
but 12
by 13
called 1
callous 1
callousness 1
calls 2
camp 1
can 6
capture 1
captured 1
care 2
carried 1
caught 1
caused 2
causing 1
celebration 1
certain 1
chase 1
check 1
child 2
childish 1
children 5
choice 1
chosen 1
cinnabar 9
circling 1
city 1
client 1
climate 1
close 1
closes 1
coin 2
coins 1
cold 1
collapse 1
collapsing 1
coma 2
come 4
comes 2
command 2
commander 3
commanders 1
commanding 1
complains 1
completely 1
confesses 2
confidence 1
confrontation 1
confronts 2
conn 13
consensus 1
containing 1
continued 1
continues 1
control 3
controlled 1
conversation 1
convince 1
could 3
counter 1
couples 1
course 3
crashlands 1
created 6
creates 1
creations 1
creature 1
creatures 4
creeps 1
curious 1
dangerous 1
dangers 1
day 3
days 2
dead 1
deadly 1
dealing 2
death 2
decide 2
decided 2
decisions 1
declares 1
deformities 1
demanded 1
demands 1
demeaning 1
departure 1
deserted 1
desirable 1
desire 1
destroy 1
determines 1
develops 1
device 6
did 4
die 2
died 1
different 1
diffuse 1
directly 1
discover 1
discovers 1
distance 1
does 4
doesn3t 1
doing 1
don3t 1
doomed 1
door 2
doors 1
double 1
drake 6
due 4
during 3
dying 1
edge 1
either 2
elsewhere 1
encampment 1
encourages 1
ends 2
enemy 1
energy 1
enough 1
enticing 1
entire 1
especially 1
evacuate 2
evacuated 3
even 1
events 1
exits 1
experience 1
experiencing 1
expert 1
explains 1
explosion 1
fact 1
fallen 1
families 1
fast 1
fault 1
fear 1
feast 1
feather 1
feeling 1
feelings 2
female 2
females 1
fetched 1
field 1
fight 2
fighting 1
figured 1
finally 2
find 1
finds 1
fire 1
first 5
fixing 1
flaws 1
flies 1
flight 1
flinger 1
floating 1
fly 1
food 1
fool 1
for 35
forage 1
forces 2
form 1
formula 2
fought 1
friend 2
friendly 1
from 8
furious 1
garber 8
garrisons 1
gate 9
gated 1
gathered 1
gave 1
general 1
gesten 3
get 4
gets 1
getting 2
give 3
given 1
gives 1
go 5
goes 4
good 2
gorge 1
grabs 1
greatest 1
gryfalcon 2
gryphon 19
gryphons 15
guard 1
guards 1
had 5
hands 2
happened 1
happier 1
harming 1
has 12
have 21
he 45
he3d 1
he3ll 1
heading 1
heal 4
healed 1
healer 2
healers 2
healing 3
heals 2
help 6
helping 3
helps 2
her 32
herself 2
hertasi 6
hidden 1
hiding 1
high 1
him 14
himself 2
his 15
history 1
holding 1
holds 1
hotly 1
hours 1
how 5
huge 1
human 2
humans 3
hundreds 1
i 6
idea 1
if 2
ignored 1
immediately 1
implanted 1
in 48
inform 1
information 2
injured 4
injuries 1
injury 1
inside 2
interested 1
interesting 1
into 16
invited 1
invites 1
involved 1
is 51
it 8
it3s 1
its 1
itself 1
jealous 1
joins 1
judging 1
just 4
kechara 9
keeping 1
keeps 1
kept 2
kestrachern 3
key 2
keys 1
kidnapped 1
kill 1
king 1
king3s 1
kiyamvir 1
knew 2
know 1
knows 3
lacked 1
lady 1
land 2
large 2
last 1
late 1
later 2
lay 1
laying 1
lazy 1
leads 1
learn 1
learned 3
learning 2
learns 1
least 1
leave 4
leaves 2
left 3
letting 1
levas 11
levas3 1
library 1
life 1
like 3
likely 1
listens 1
little 1
live 1
lizardlike 1
lock 1
locking 1
long 2
look 2
looking 1
losing 1
lot 1
love 2
lover 1
loving 1
ma3ar 11
ma3ar3s 2
maar 1
mage 9
mages 4
magic 2
magical 1
makaar 3
make 5
makes 1
male 2
man 1
many 4
map 1
master 1
match 1
mate 2
mating 5
matter 3
may 2
me 2
meanwhile 4
meeting 4
mercenary 1
messed 1
met 1
mindspeaker 1
miranda 1
misborn 1
mission 1
mistreated 1
models 3
mold 1
moment 1
more 2
most 3
much 4
must 3
mutual 1
my 2
name 2
named 1
nature 2
need 6
needs 1
negative 1
new 2
no 3
noncombatants 1
none 1
nonhuman 1
nonhumans 2
normally 1
not 11
notices 1
now 2
observe 1
obtained 1
of 65
off 2
offduty 1
offer 1
offers 1
officer 1
offspring 1
often 1
old 2
on 13
once 1
one 7
ones 1
only 7
open 4
opened 1
opens 2
or 5
order 2
ordered 1
orders 4
original 1
other 3
others 2
otherwise 1
our 1
out 10
outspokenness 1
over 1
overexerting 1
own 3
painting 1
pairings 1
palace 4
parents 3
particular 1
passage 2
past 1
patience 1
pay 1
people 3
perhaps 1
permission 1
permissions 1
person 2
personnel 1
physical 1
physically 1
piss 1
place 3
plan 1
plans 2
point 1
pop 1
position 2
positions 1
powerful 1
pretends 1
private 1
problem 1
problems 2
process 1
produce 1
promises 1
protect 1
protected 1
pursued 1
pushes 1
put 5
questioning 1
quiet 1
rashkae 1
ready 1
real 2
realizes 2
really 2
reanna 2
reason 4
recognizes 2
recovering 1
recuperating 1
refused 1
relationship 2
relax 1
relaxing 1
replaced 1
replica 1
report 2
reproduce 1
request 1
requests 1
respect 1
retrieve 1
return 3
reveals 2
revelation 2
revolt 2
revolting 1
reward 2
rewards 1
rid 1
right 1
rips 1
room 5
rushes 1
rushing 1
safe 1
said 1
same 4
saw 1
say 1
says 2
scouting 1
second 1
secret 3
secretly 1
see 2
seed 1
seek 1
seen 1
seer 1
sees 3
sends 1
senses 2
sent 3
seriously 1
service 2
services 2
session 1
set 2
sets 1
several 1
shadow 1
shaiknam 12
shape 1
she 22
shields 2
should 1
showing 1
shrills 1
shy 1
shyness 1
sight 1
signaling 1
single 1
singlehandedly 1
sitting 1
sixth 6
skan 53
skan3s 1
skandranon 3
skilled 1
skirmish 1
sky 1
slash 1
sleep 1
snapping 1
snowstar 2
so 3
some 7
something 1
son 1
speak 1
special 2
spells 1
spend 1
spine 1
split 1
spreading 1
stable 2
stands 1
start 2
starting 1
starts 2
stating 1
still 3
stop 2
storm 1
stuck 1
such 2
suggested 1
suggests 2
surgery 1
surprise 1
surprises 2
surprising 1
sustained 1
table 1
take 2
takes 4
taking 1
talk 2
talking 1
talks 1
talon 1
tamsin 5
task 1
taunting 1
tell 2
telling 2
tells 9
tent 6
territory 1
than 1
that 65
that34 1
the 158
their 8
them 13
themselves 4
then 6
there 3
these 2
they 19
things 4
think 1
this 17
thorns 1
those 3
though 1
three 1
threw 1
throat 1
through 4
throws 1
time 11
timid 1
to 99
together 1
too 5
towards 1
tower 4
traded 1
training 7
traps 1
treatment 1
tries 1
trip 1
trondi3irns 1
trondiirn 3
true 2
try 2
trying 1
turns 1
two 2
types 1
unconditional 1
understand 1
understanding 2
unfit 1
unfortunately 1
uninjured 1
unintelligent 1
unknown 1
unlock 2
unready 1
unstable 1
until 2
up 9
upon 1
upset 1
urtho 47
urtho3s 1
use 4
used 2
uses 1
using 3
usually 1
very 4
vikteren 7
visit 3
visiting 1
vote 1
waiting 1
walks 2
want 1
wanted 1
warned 1
was 11
watch 2
watching 1
way 5
we 3
weapon 3
weapons 2
welcome 1
well 2
went 2
were 8
what 4
when 6
where 3
which 3
while 11
white 1
who 7
why 2
will 11
wing 7
wings 1
winterhart 22
wish 1
with 26
without 2
wonders 1
work 3
working 1
world 1
would 9
wouldbe 1
you 1
young 1
zhaneel 19
zhaneel3s 2
