26225546
/m/0b76mzs
/m/0b76mzs
Iain Pears

{"/m/02n4kr": "Mystery", "/m/0hwxm": "Historical novel"}
10 1
153 1
180 3
1867 1
a 8
about 2
accounts 1
acquaintance 1
actual 1
addressed 1
after 3
aging 1
all 1
an 3
and 7
andor 1
approached 1
approaching 1
are 1
article 1
articles 1
as 4
attempt 1
attend 1
back 1
baron 1
bbc 1
be 2
beautiful 1
becomes 1
been 1
believable 1
between 1
born 1
braddock 5
bureau 1
but 1
by 2
came 1
can 1
challenged 1
chancing 1
characters 1
citations 1
cort 1
curious 1
days 1
death 2
deceased 1
decides 1
deliver 1
documents 1
earlier 1
edition 1
eg 1
elizabeth 1
equally 1
errors 1
especially 1
events 4
existing 1
extraordinary 1
facts 2
fall 3
familiar 1
farewell 1
few 1
fiction 1
fictional 2
final 1
find 1
fingerpost 1
firm 1
follow 1
for 2
form 1
found 1
from 2
funeral 1
hardcover 1
has 2
he 5
henry 1
her 1
him 1
himself 1
his 2
historical 6
historicalfiction 1
historicalmystery 1
history 1
holding 1
husband 1
in 9
include 1
includes 1
inconsistencies 1
information 1
instance 1
instructions 1
internal 1
introduces 1
involved 1
is 5
it 2
john 1
known 1
later 3
learn 1
liberties 2
life 1
links 1
listing 1
lists 1
london 1
longdelayed 1
manuscripts 1
many 3
matthew 1
mentioned 1
met 1
middle 1
more 1
mysterious 2
name 1
next 1
not 2
notices 1
novel 3
novels 1
numbers 1
obituary 1
occurring 1
of 9
old 1
on 2
only 1
opens 1
or 2
other 1
own 1
package 2
page 1
pair 1
panic 1
paris 1
pears 2
persons 2
place 1
places 1
portrait 1
presented 1
quotations 1
rather 1
ravenscliff 1
reader 2
recollections 1
references 1
reminisces 1
reporter 1
researched 1
respectively 1
retirement 1
same 1
section 3
seen 1
service 1
setting 1
solicitor 1
stone 4
stranger 1
structure 1
surprises 1
than 1
that 3
the 25
their 1
these 1
this 2
those 1
threepart 1
to 10
tour 1
trip 1
true 1
two 1
underlying 1
upon 1
verified 1
visiting 1
was 1
when 1
where 1
who 1
wikipedia 1
william 1
with 4
woman 2
written 1
years 2
youth 1
