4911894
/m/0ctvcq
/m/0ctvcq
Paul Davids

{"/m/06n90": "Science Fiction"}
4 1
a 8
able 4
about 3
again 1
all 1
also 2
although 1
altogether 1
an 3
and 20
are 7
arzid 1
as 4
assignments 1
at 3
back 1
base 3
be 4
becomes 1
before 1
being 1
believe 1
betray 2
betrayals 1
betrays 1
bred 1
brought 2
built 1
but 2
by 4
captive 1
capture 1
captured 2
caretaker 1
certain 1
chewbacca 1
children 1
city 8
come 1
computer 1
cruelest 1
crying 1
dark 2
deactivate 1
death 2
decides 1
decoy 3
deejay 1
defense 1
defenses 1
destroys 1
doesn3t 1
down 1
droids 2
dying 1
earthquake 1
emperor 2
ends 1
escape 1
evade 1
evading 1
false 2
father 3
files 1
finally 1
find 1
for 2
force 1
forests 1
found 1
free 1
from 3
get 1
give 1
goes 1
grand 2
grandfather 1
guards 1
han 2
happen 1
has 1
he 8
her 1
him 2
his 7
hissa 2
hissa3s 1
homework 1
hutt 1
if 2
imperial 2
imperials 1
implant 2
in 5
information 3
into 1
is 8
it 2
jedi 3
kadann 4
ken 10
ken3s 1
killing 1
knight 1
know 1
lava 1
lay 1
leader 1
leads 1
leak 1
leia 2
location 1
lost 2
loyalest 1
luke 7
made 1
main 2
make 1
making 1
manages 1
meaning 1
meanwhile 2
meeting 1
moff 1
moffs 2
moffship 1
motivation 1
mushroom 1
new 1
not 2
now 1
of 15
on 3
once 1
order 1
other 2
others 1
parentage 1
pay 1
planet 1
plans 3
preparing 1
prince 1
probe 2
promise 1
promises 1
prompting 1
prophecy 1
prophet 1
prophets 4
proposes 1
put 1
reach 1
real 1
realize 1
rebel 2
rebels 1
rescued 1
rescues 1
rest 1
return 2
reveal 1
reveals 1
says 1
scardia 2
sea 1
see 1
seeing 1
send 1
sends 1
sentenced 1
shall 1
shut 1
side 2
skywalker 1
sleepwalking 1
sneak 1
space 1
speak 1
station 1
steam 1
stop 1
stormtroopers 1
story 1
supporter 1
supreme 1
surface 1
surprised 1
tell 1
tells 1
terms 1
that 9
the 47
their 2
them 4
then 1
there 3
these 1
they 5
threatens 1
through 3
to 28
told 1
tooth 1
transmits 1
transport 3
transporter 1
trapped 1
trial 1
triclops 5
trioculus 3
twins 1
two 1
unable 1
underground 1
using 1
vent 1
vision 1
wanting 1
warn 1
was 2
wedding 1
went 1
when 2
which 2
while 4
who 1
will 4
with 7
witness 1
wondering 1
would 1
yavin 3
zorba 2
