27066456
/m/0bs6jvx
/m/0bs6jvx
Grant Blackwood
2010-12-07

100 1
a 5
actions 1
and 5
announce 1
any 1
are 1
assemble 1
at 1
based 1
before 1
blank 1
both 1
by 2
campus 1
candidacy 1
carrying 1
chavez 1
choose 1
cia 1
clark 1
collect 1
country 1
crack 1
decides 1
detonate 1
device 1
ding 2
domingo 1
ed 1
enough 1
extremists 1
facility 1
field 1
for 4
forcibly 1
from 1
group 1
had 1
he 2
his 2
in 2
information 1
intelligence 1
is 1
islamic 1
jack 4
john 2
join 1
jr 2
kealty 1
left 1
may 1
meanwhile 1
nuclear 2
of 3
office 1
on 1
order 1
organization 1
pardons 1
plot 1
poison 1
president 2
presidential 1
privatelyrun 1
rainbow 1
responsibility 1
retired 1
running 1
ryan 3
signed 1
sr 2
states 2
storage 1
subsequently 1
successor 1
table 1
take 2
that 1
the 9
they 4
to 5
train 1
try 1
united 2
waste 1
water 1
way 1
western 1
when 1
while 1
work 1
