603551
/m/02vlm6
/m/02vlm6
Henry James
1881
a 4
accept 1
accepts 1
accomplished 1
actively 1
actually 1
adulterous 1
affection 1
again 2
albany 1
also 1
although 2
ambiguous 1
american 2
an 2
and 14
another 1
archer 1
art 1
at 5
aunt 1
away 1
be 1
been 1
begs 2
boston 1
both 1
but 5
by 3
caspar 2
charismatic 1
close 1
collector 1
come 1
comfort 1
commitment 1
conflict 1
continent 1
cousin 1
creates 1
daniel 1
daughter 2
day 2
death 3
declines 1
demand 1
desperately 1
drawn 1
due 1
dying 2
edward 1
egotism 1
elder 1
embraces 1
encounters 1
ending 1
england 2
estate 5
even 1
expatriate 2
father 1
feels 1
feigning 1
final 2
first 1
flees 1
florence 1
following 1
fond 1
for 5
freedom 1
friendly 1
from 2
genuine 1
get 1
gilbert 1
go 1
going 1
goodwood 4
grant 1
grows 2
had 4
hand 1
has 2
he 1
heir 1
her 16
him 2
his 10
hours 1
however 1
husband 2
ill 1
imagine 1
in 6
independence 1
interest 1
invalid 1
invited 1
is 9
isabel 19
just 1
kisses 1
lack 1
large 1
later 1
learns 2
leave 2
leaves 2
left 1
legacy 1
london 1
lord 1
lydia 2
madame 2
marriage 8
marry 1
maternal 1
may 1
meanwhile 1
meets 2
merle 2
met 1
mill 1
more 1
much 1
near 1
neighbor 1
new 1
next 1
noble 1
of 12
off 1
opposes 1
or 1
originally 1
osmond 11
out 2
overwhelming 1
owner 1
pansy 7
passionately 1
pays 1
perhaps 1
plan 1
precludes 1
prepares 1
presumed 1
previously 2
promises 1
promoted 1
proposal 3
proposed 1
ralph 4
rapidly 1
rather 1
reader 1
rejected 1
rejects 1
relationship 1
reluctantly 1
remains 1
request 1
rescue 1
return 1
returned 1
rich 1
robust 1
rome 2
rosier 1
sacrifice 1
sake 1
seeks 1
selfishly 1
set 1
settle 1
several 1
she 9
sisterinlaw 1
snobbish 1
some 1
something 1
son 2
sours 1
spiteful 1
strain 1
such 1
sudden 1
suffer 1
suspects 1
telling 1
that 5
the 19
their 1
then 2
there 1
this 2
to 20
told 1
touchett 3
touchetts 2
tragedy 1
travels 1
unaware 1
uncle 1
unhappy 1
until 1
untrustworthy 1
upon 1
visit 2
wants 1
warburton 5
wealthy 1
where 1
whether 2
which 1
who 3
whom 1
wife 1
wish 1
with 3
within 1
without 1
would 2
years 1
york 1
young 1
