10365053
/m/02q9j3k
/m/02q9j3k
Sarnath Banerjee
2007-01
{"/m/0py0z": "Graphic novel"}
150s 1
18th 1
a 2
about 1
abravanel 1
administrators 1
affairs 1
aharon 1
although 1
an 1
and 1
as 3
at 1
away 1
barn 2
basically 1
belongings 1
ben 2
book 3
british 1
calcutta 1
called 2
capers 2
century 1
chatterjee 1
childhood 1
death 1
favorites 1
find 1
found 1
gave 1
grandfather 1
has 1
her 1
his 3
husband 1
in 4
is 1
it 1
its 1
jew 1
jewish 2
kabariti 1
kolkata 1
legend 1
lived 1
merchant 1
montmartre 1
narrator 2
novel 2
obadiah 1
of 3
old 1
once 1
one 1
other 1
owl 2
pablo 2
paris 1
quest 1
recorded 1
recover 1
reinvents 1
scandalous 1
several 1
shop 1
subplots 1
the 12
to 2
tries 1
trinket 1
upon 1
wandering 1
was 1
well 1
which 2
who 2
wife 1
wondrous 2
