3608636
/m/09pn_9
/m/09pn_9
Anita Shreve
1998-05
a 3
about 2
airlines 1
and 2
as 1
atlantic 1
bombarded 1
by 1
coast 1
cope 1
crash 2
daughter 1
dies 1
double 1
find 1
finds 1
for 1
from 1
has 1
he 1
head 1
her 3
herself 1
husband 2
in 1
ireland 1
is 1
jack 1
kathryn 1
kept 1
knew 1
life 1
lived 1
loss 1
lyons 2
malin 1
mattie 1
never 1
novel 1
ocean 1
of 2
off 1
over 1
plane 1
press 1
realizes 1
reason 1
secrets 1
series 1
she 6
slowly 1
sudden 1
that 1
the 7
this 1
to 2
try 2
unravels 1
until 1
while 1
whose 1
with 1
